date,year_low
"Oct. 10, 2018",291.52
"Oct. 9, 2018",291.52
"Oct. 8, 2018",291.52
"Oct. 5, 2018",291.52
"Oct. 4, 2018",291.52
"Oct. 3, 2018",291.52
"Oct. 2, 2018",291.52
"Oct. 1, 2018",291.52
"Sept. 28, 2018",291.52
"Sept. 27, 2018",291.52
"Sept. 26, 2018",291.52
"Sept. 25, 2018",291.52
"Sept. 24, 2018",291.52
"Sept. 21, 2018",291.52
"Sept. 20, 2018",291.52
"Sept. 19, 2018",291.52
"Sept. 18, 2018",291.52
"Sept. 17, 2018",291.52
"Sept. 14, 2018",291.52
"Sept. 13, 2018",291.52
"Sept. 12, 2018",291.52
"Sept. 11, 2018",291.52
"Sept. 10, 2018",291.52
"Sept. 7, 2018",291.52
"Sept. 6, 2018",291.52
"Sept. 5, 2018",291.52
"Sept. 4, 2018",291.52
"Aug. 31, 2018",291.52
"Aug. 30, 2018",291.52
"Aug. 29, 2018",291.52
"Aug. 28, 2018",291.52
"Aug. 27, 2018",291.52
"Aug. 24, 2018",291.52
"Aug. 23, 2018",291.52
"Aug. 22, 2018",291.52
"Aug. 21, 2018",291.52
"Aug. 20, 2018",291.52
"Aug. 17, 2018",291.52
"Aug. 16, 2018",291.52
"Aug. 15, 2018",291.52
"Aug. 14, 2018",291.52
"Aug. 13, 2018",291.52
"Aug. 10, 2018",291.52
"Aug. 9, 2018",291.52
"Aug. 8, 2018",291.52
"Aug. 7, 2018",291.52
"Aug. 6, 2018",291.52
"Aug. 3, 2018",291.52
"Aug. 2, 2018",291.52
"Aug. 1, 2018",291.52
"July 31, 2018",291.52
"July 30, 2018",291.03
"July 27, 2018",286.58
"July 26, 2018",286.17
"July 25, 2018",286.17
"July 24, 2018",286.17
"July 23, 2018",286.17
"July 20, 2018",286.17
"July 19, 2018",286.17
"July 18, 2018",286.17
"July 17, 2018",286.03
"July 16, 2018",286.03
"July 13, 2018",286.03
"July 12, 2018",285.78
"July 11, 2018",285.78
"July 10, 2018",285.06
"July 9, 2018",284.22
"July 6, 2018",281.50
"July 5, 2018",280.40
"July 3, 2018",277.20
"July 2, 2018",277.20
"June 29, 2018",276.32
"June 28, 2018",274.69
"June 27, 2018",274.69
"June 26, 2018",274.69
"June 25, 2018",274.69
"June 22, 2018",274.69
"June 21, 2018",274.69
"June 20, 2018",274.69
