Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Income,665.00M,819.00M,968.00M,505.00M,820.00M,798.00M,972.00M,616.00M,740.00M,845.00M,1.215B,606.00M,607.00M,695.00M,1.276B,944.00M,1.033B,1.231B,1.088B,803.00M,668.00M,637.00M,813.00M,233.00M,405.00M,418.00M,459.00M,83.00M,106.00M,196.00M,471.00M,35.00M,184.00M,247.00M,265.00M,131.00M,223.00M,356.00M,363.00M,54.00M,-1.187B,500.00M,575.00M,372.00M,477.00M,496.00M,599.00M,506.00M,483.00M,617.00M,688.00M,84.00M,174.00M,261.00M,402.00M,98.00M,3.679B,248.00M,256.00M,81.00M,-4.155B,191.00M,197.00M,-996.00M,2.903B,-803.00M,-814.00M,46.00M,-2.201B,-426.00M,-338.00M,-464.00M,1.511B,-412.57M,-640.79M,-688.81M,2.792B,-566.86M,-527.49M,-675.16M,-1.567B,-213.00M,-165.97M,-235.13M,-1.333B,-184.00M,-178.90M,-258.80M,-1.392B,-221.90M,-201.80M,-269.50M,-1.425B,-248.20M,-192.90M,-268.80M,-238.00M,-180.70M,-184.70M,-247.80M,-230.10M,-155.90M,-149.40M,76.00M,85.80M,86.80M,74.80M,44.60M,52.30M,53.90M,45.40M,31.20M,21.80M,31.20M,20.50M,-10.50M,-4.20M,36.70M,41.30M,8.20M,14.40M,32.60M,28.70M,21.90M,-548.70M,239.10M,216.90M,178.60M,-567.20M,200.70M,205.30M,178.40M,-498.70M,207.60M,193.90M,173.30M,-422.40M,199.50M,169.80M,135.70M,-333.90M,139.80M,137.60M,125.10M
Non-Operating Interest Income,20.00M,23.00M,24.00M,23.00M,22.00M,20.00M,15.00M,12.00M,11.00M,9.00M,8.00M,7.00M,7.00M,6.00M,6.00M,5.00M,4.00M,2.00M,2.00M,1.00M,2.00M,2.00M,2.00M,2.00M,1.00M,1.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,1.00M,4.00M,3.00M,3.00M,2.00M,4.00M,3.00M,2.00M,3.00M,8.00M,4.00M,8.00M,7.00M,5.00M,15.00M,19.00M,22.00M,28.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Operating Interest Expense,19.00M,20.00M,22.00M,22.00M,23.00M,24.00M,23.00M,22.00M,19.00M,13.00M,14.00M,18.00M,16.00M,19.00M,21.00M,19.00M,21.00M,22.00M,22.00M,26.00M,28.00M,25.00M,28.00M,26.00M,27.00M,31.00M,25.00M,24.00M,30.00M,30.00M,32.00M,35.00M,47.00M,47.00M,49.00M,40.00M,38.00M,38.00M,37.00M,36.00M,41.00M,43.00M,47.00M,38.00M,30.00M,29.00M,26.00M,28.00M,33.00M,28.00M,29.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,1.00M,3.00M,2.00M,1.00M,-1.00M,-4.00M,-8.00M,-10.00M,-8.00M,-4.00M,-6.00M,-11.00M,-9.00M,-13.00M,-15.00M,-14.00M,-17.00M,-20.00M,-20.00M,-25.00M,-26.00M,-23.00M,-26.00M,-24.00M,-26.00M,-30.00M,-23.00M,-22.00M,-28.00M,-28.00M,-30.00M,-33.00M,-45.00M,-46.00M,-45.00M,-37.00M,-35.00M,-36.00M,-33.00M,-33.00M,-39.00M,-40.00M,-39.00M,-34.00M,-22.00M,-22.00M,-21.00M,-13.00M,-14.00M,-6.00M,-1.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,0.00,-3.00M,-2.00M,-2.00M,-2.00M,-8.00M,-4.00M,-4.00M,3.00M,-9.00M,-44.00M,-63.00M,114.00M,-64.00M,43.00M,-114.00M,-169.00M,-278.00M,-91.00M,-55.00M,-341.00M,-89.00M,-41.00M,35.00M,-46.00M,31.00M,-73.00M,33.00M,47.00M,-135.00M,-73.00M,157.00M,116.00M,-427.00M,55.00M,-76.00M,25.00M,12.00M,-146.00M,-4.00M,56.00M,-2.00M,23.00M,-23.00M,-130.00M,-269.00M,345.00M,-38.00M,71.00M,32.00M,120.00M,-49.00M,79.00M,192.00M,-100.00M,18.00M,45.00M,-76.00M,40.00M,12.00M,50.00M,26.00M,35.00M,20.00M,,-7.00M,265.00M,,-9.00M,46.00M,-7.00M,-2.00M,,150.83M,2.813M,-5.525M,,6.819M,10.62M,11.14M,-0.20M,-0.10M,-0.40M,-9.60M,4.50M,6.00M,6.60M,4.00M,20.86M,-0.10M,-0.20M,-1.00M,40.44M,-0.50M,1.60M,1.30M,0.50M,0.10M,-1.50M,0.10M,0.60M,0.10M,0.10M,2.00M,3.00M,0.50M,2.00M,2.90M,2.00M,1.90M,3.00M,1.00M,2.50M,2.70M,2.10M,2.10M,1.10M,4.30M,1.00M,4.60M,3.90M,11.20M,7.10M,14.40M,,,,,,,,,,,,,,,,,,,,
Net Interest Income,1.00M,3.00M,2.00M,1.00M,-1.00M,-4.00M,-8.00M,-10.00M,-8.00M,-4.00M,-6.00M,-11.00M,-9.00M,-13.00M,-15.00M,-14.00M,-17.00M,-20.00M,-20.00M,-25.00M,-26.00M,-23.00M,-26.00M,-24.00M,-26.00M,-30.00M,-23.00M,-22.00M,-28.00M,-28.00M,-30.00M,-33.00M,-45.00M,-46.00M,-45.00M,-37.00M,-35.00M,-36.00M,-33.00M,-33.00M,-39.00M,-40.00M,-39.00M,-34.00M,-22.00M,-22.00M,-21.00M,-13.00M,-14.00M,-6.00M,-1.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,666.00M,819.00M,968.00M,504.00M,817.00M,786.00M,960.00M,602.00M,735.00M,832.00M,1.165B,532.00M,712.00M,618.00M,1.304B,816.00M,847.00M,933.00M,977.00M,723.00M,301.00M,525.00M,746.00M,244.00M,333.00M,419.00M,363.00M,94.00M,125.00M,33.00M,368.00M,159.00M,255.00M,-226.00M,275.00M,18.00M,213.00M,332.00M,184.00M,17.00M,184.00M,-20.00M,107.00M,-107.00M,-83.00M,-205.00M,529.00M,37.00M,184.00M,277.00M,447.00M,149.00M,101.00M,78.00M,515.00M,96.00M,112.00M,343.00M,235.00M,89.00M,88.00M,181.00M,179.00M,41.00M,-3.00M,171.00M,397.00M,39.00M,-12.00M,124.00M,169.00M,35.00M,97.84M,245.87M,287.45M,196.50M,250.09M,301.07M,310.86M,155.97M,153.30M,208.00M,256.60M,156.10M,163.51M,211.00M,216.60M,114.00M,129.36M,150.40M,153.80M,83.40M,46.36M,100.30M,140.00M,54.80M,70.00M,114.20M,100.80M,20.00M,35.70M,97.10M,97.10M,69.50M,77.30M,77.80M,67.80M,36.70M,42.70M,43.90M,38.30M,22.00M,14.20M,25.80M,16.90M,-13.00M,-7.20M,36.50M,37.40M,8.00M,13.10M,38.10M,29.60M,30.20M,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,153.00M,160.00M,227.00M,117.00M,163.00M,171.00M,227.00M,139.00M,-1.012B,304.00M,422.00M,193.00M,251.00M,230.00M,484.00M,303.00M,311.00M,349.00M,369.00M,270.00M,111.00M,196.00M,281.00M,92.00M,121.00M,160.00M,139.00M,35.00M,47.00M,17.00M,140.00M,61.00M,103.00M,-86.00M,114.00M,13.00M,82.00M,127.00M,72.00M,6.00M,69.00M,-4.00M,16.00M,-16.00M,-27.00M,-85.00M,208.00M,3.00M,72.00M,115.00M,169.00M,56.00M,44.00M,30.00M,182.00M,35.00M,42.00M,133.00M,91.00M,30.00M,33.00M,62.00M,66.00M,15.00M,1.00M,65.00M,151.00M,15.00M,22.00M,49.00M,67.00M,14.00M,34.33M,94.91M,111.82M,75.46M,,116.78M,120.24M,60.33M,59.10M,81.00M,98.80M,60.30M,63.08M,81.40M,83.20M,44.00M,48.78M,57.90M,60.00M,32.50M,18.22M,39.40M,54.70M,21.80M,26.70M,46.50M,41.10M,8.20M,15.40M,38.50M,38.60M,27.70M,31.50M,33.90M,25.90M,14.00M,15.60M,17.00M,14.80M,8.50M,5.40M,10.10M,6.30M,-4.80M,-2.60M,13.50M,13.90M,2.90M,4.90M,13.50M,10.40M,10.60M,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,513.00M,659.00M,741.00M,387.00M,654.00M,615.00M,733.00M,463.00M,1.747B,528.00M,743.00M,339.00M,461.00M,388.00M,820.00M,513.00M,536.00M,584.00M,608.00M,453.00M,190.00M,329.00M,465.00M,152.00M,212.00M,259.00M,224.00M,59.00M,78.00M,16.00M,228.00M,98.00M,152.00M,-140.00M,161.00M,5.00M,131.00M,205.00M,112.00M,11.00M,115.00M,-16.00M,91.00M,-91.00M,-56.00M,-120.00M,321.00M,34.00M,112.00M,162.00M,278.00M,93.00M,57.00M,48.00M,333.00M,61.00M,70.00M,210.00M,144.00M,59.00M,55.00M,119.00M,113.00M,26.00M,-4.00M,106.00M,246.00M,24.00M,42.00M,75.00M,102.00M,21.00M,63.50M,150.96M,175.63M,121.04M,155.44M,184.30M,190.62M,95.64M,93.80M,127.00M,157.80M,95.80M,100.40M,129.60M,133.40M,70.00M,80.57M,92.50M,93.80M,50.90M,28.14M,60.90M,85.30M,33.00M,43.30M,67.70M,59.70M,11.80M,20.30M,58.60M,58.50M,41.80M,45.80M,43.90M,41.90M,22.70M,27.10M,26.90M,23.50M,13.50M,8.80M,15.70M,10.60M,-8.20M,-4.60M,23.00M,23.50M,5.10M,8.20M,24.60M,19.20M,19.60M,16.10M,26.60M,15.10M,0.20M,9.00M,20.40M,0.60M,-9.80M,9.00M,21.20M,17.10M,2.70M,6.00M,16.80M,19.20M,5.30M,11.40M,14.20M,13.90M,10.20M
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,0.00,0.00,-22.13M,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,15.30M,0.00,,,12.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,513.00M,659.00M,741.00M,387.00M,654.00M,615.00M,733.00M,463.00M,1.747B,528.00M,743.00M,339.00M,461.00M,388.00M,820.00M,513.00M,536.00M,584.00M,608.00M,453.00M,190.00M,329.00M,465.00M,152.00M,212.00M,259.00M,224.00M,59.00M,78.00M,16.00M,228.00M,98.00M,152.00M,-140.00M,161.00M,5.00M,131.00M,205.00M,112.00M,11.00M,115.00M,-16.00M,91.00M,-91.00M,-56.00M,-120.00M,321.00M,34.00M,112.00M,162.00M,278.00M,93.00M,57.00M,48.00M,333.00M,61.00M,70.00M,210.00M,144.00M,59.00M,55.00M,119.00M,113.00M,26.00M,-4.00M,106.00M,246.00M,24.00M,42.00M,75.00M,102.00M,21.00M,63.50M,150.96M,175.63M,121.04M,177.57M,184.30M,190.62M,73.51M,94.40M,127.00M,157.80M,95.80M,100.43M,129.60M,133.40M,70.00M,80.57M,92.50M,93.80M,50.90M,28.14M,60.90M,85.30M,33.00M,43.30M,67.70M,59.70M,11.80M,20.30M,58.60M,58.50M,41.80M,45.80M,43.90M,41.90M,38.00M,27.10M,26.90M,23.50M,26.00M,8.80M,15.70M,10.60M,-8.20M,-4.60M,23.00M,23.50M,5.10M,8.20M,24.60M,19.20M,19.60M,16.10M,26.60M,15.10M,0.20M,9.00M,20.40M,0.60M,-9.80M,9.00M,21.20M,17.10M,2.70M,6.00M,16.80M,19.20M,5.30M,11.40M,14.20M,13.90M,10.20M
Normalized Income,513.00M,659.00M,741.00M,387.00M,654.00M,615.00M,733.00M,463.00M,1.747B,530.54M,771.07M,380.34M,461.00M,428.82M,792.95M,585.34M,643.58M,758.03M,666.47M,487.48M,407.14M,384.18M,491.79M,130.75M,241.92M,241.70M,269.04M,38.34M,48.67M,101.80M,272.02M,0.974M,-36.40M,124.51M,125.25M,54.40M,50.43M,197.59M,200.87M,13.59M,80.00M,-14.40M,71.44M,-71.44M,31.71M,54.85M,111.65M,68.92M,68.78M,141.20M,203.37M,123.58M,9.60M,-70.15M,397.66M,49.56M,41.88M,256.53M,119.49M,51.04M,23.75M,101.91M,90.91M,13.32M,-4.00M,110.34M,81.79M,24.00M,47.40M,47.18M,106.22M,22.20M,63.50M,58.35M,173.91M,124.45M,155.44M,180.12M,184.11M,88.81M,94.52M,127.06M,158.05M,101.69M,97.67M,125.91M,129.34M,67.54M,67.58M,92.56M,93.92M,51.51M,3.591M,61.20M,84.33M,32.22M,42.99M,67.64M,60.60M,11.74M,19.94M,58.54M,58.44M,40.60M,44.00M,43.60M,40.66M,20.91M,25.83M,25.74M,21.66M,12.89M,7.251M,14.06M,9.283M,-9.525M,-5.303M,20.29M,22.87M,2.168M,5.759M,17.37M,14.59M,10.25M,16.10M,26.60M,15.10M,0.20M,9.00M,20.40M,0.60M,-9.80M,9.00M,21.20M,17.10M,2.70M,6.00M,16.80M,19.20M,5.30M,11.40M,14.20M,13.90M,10.20M
EBITDA,998.00M,1.147B,1.292B,823.00M,1.171B,1.111B,1.275B,901.00M,1.033B,1.147B,1.498B,868.00M,1.046B,952.00M,1.624B,1.125B,1.132B,1.213B,1.249B,993.00M,580.00M,788.00M,1.002B,491.00M,584.00M,671.00M,601.00M,328.00M,379.00M,280.00M,602.00M,395.00M,494.00M,12.00M,500.00M,213.00M,410.00M,531.00M,375.00M,207.00M,379.00M,185.00M,304.00M,81.00M,101.00M,-24.00M,703.00M,210.00M,361.00M,445.00M,613.00M,219.00M,308.00M,392.00M,529.00M,222.00M,3.80B,369.00M,372.00M,193.00M,-4.042B,300.00M,304.00M,-893.00M,3.002B,-706.00M,-719.00M,139.00M,-2.108B,-334.00M,-252.00M,-379.00M,1.591B,-330.85M,-562.58M,-611.12M,2.866B,-495.35M,-458.97M,-608.46M,-1.485B,-149.20M,-106.47M,-178.33M,-1.273B,-124.40M,-124.90M,-206.80M,-1.343B,-172.00M,-154.30M,-221.10M,-1.378B,-202.00M,-146.80M,-224.80M,-202.60M,-141.90M,-146.40M,-210.50M,-209.80M,-119.60M,-115.60M,108.50M,121.90M,116.40M,102.30M,70.80M,79.40M,81.10M,70.00M,53.50M,45.20M,52.90M,41.40M,9.80M,16.10M,56.80M,61.20M,27.30M,33.40M,51.30M,46.50M,38.80M,-548.70M,239.10M,216.90M,178.60M,-567.20M,200.70M,205.30M,178.40M,-498.70M,207.60M,193.90M,173.30M,-422.40M,199.50M,169.80M,135.70M,-333.90M,139.80M,137.60M,125.10M
Reconciled Depreciation,313.00M,308.00M,302.00M,297.00M,331.00M,301.00M,292.00M,277.00M,279.00M,302.00M,319.00M,318.00M,318.00M,315.00M,299.00M,290.00M,264.00M,258.00M,250.00M,244.00M,251.00M,238.00M,228.00M,221.00M,224.00M,221.00M,213.00M,210.00M,224.00M,217.00M,202.00M,201.00M,192.00M,191.00M,176.00M,155.00M,159.00M,161.00M,154.00M,154.00M,154.00M,162.00M,150.00M,150.00M,154.00M,152.00M,148.00M,145.00M,144.00M,139.00M,137.00M,135.00M,134.00M,131.00M,126.00M,124.00M,121.00M,121.00M,115.00M,112.00M,113.00M,109.00M,106.00M,103.00M,99.00M,97.00M,95.00M,93.00M,93.00M,92.00M,86.00M,85.00M,80.20M,81.72M,78.21M,77.69M,74.54M,71.51M,68.52M,66.70M,82.30M,63.80M,59.50M,56.80M,59.61M,59.60M,54.00M,52.00M,49.77M,49.90M,47.50M,48.40M,47.17M,46.20M,46.10M,44.00M,35.40M,38.80M,38.30M,37.30M,20.30M,36.30M,33.80M,32.50M,36.10M,29.60M,27.40M,26.20M,27.10M,27.20M,24.60M,22.30M,23.40M,21.70M,20.80M,20.30M,20.30M,20.10M,19.90M,19.10M,19.00M,18.70M,17.70M,16.90M,,,,,,,,,,,,,,,,,,,,
EBIT,685.00M,839.00M,990.00M,526.00M,840.00M,810.00M,983.00M,624.00M,754.00M,845.00M,1.179B,550.00M,728.00M,637.00M,1.325B,835.00M,868.00M,955.00M,999.00M,749.00M,329.00M,550.00M,774.00M,270.00M,360.00M,450.00M,388.00M,118.00M,155.00M,63.00M,400.00M,194.00M,302.00M,-179.00M,324.00M,58.00M,251.00M,370.00M,221.00M,53.00M,225.00M,23.00M,154.00M,-69.00M,-53.00M,-176.00M,555.00M,65.00M,217.00M,305.00M,476.00M,84.00M,174.00M,261.00M,402.00M,98.00M,3.679B,248.00M,256.00M,81.00M,-4.155B,191.00M,197.00M,-996.00M,2.903B,-803.00M,-814.00M,46.00M,-2.201B,-426.00M,-338.00M,-464.00M,1.511B,-412.57M,-640.79M,-688.81M,2.792B,-566.86M,-527.49M,-675.16M,-1.567B,-213.00M,-165.97M,-235.13M,-1.333B,-184.00M,-178.90M,-258.80M,-1.392B,-221.90M,-201.80M,-269.50M,-1.425B,-248.20M,-192.90M,-268.80M,-238.00M,-180.70M,-184.70M,-247.80M,-230.10M,-155.90M,-149.40M,76.00M,85.80M,86.80M,74.80M,44.60M,52.30M,53.90M,45.40M,31.20M,21.80M,31.20M,20.50M,-10.50M,-4.20M,36.70M,41.30M,8.20M,14.40M,32.60M,28.70M,21.90M,-548.70M,239.10M,216.90M,178.60M,-567.20M,200.70M,205.30M,178.40M,-498.70M,207.60M,193.90M,173.30M,-422.40M,199.50M,169.80M,135.70M,-333.90M,139.80M,137.60M,125.10M
EPS Basic from Continuing Operations,0.98,1.24,1.37,0.70,1.17,1.08,1.27,0.79,3.19,0.88,1.23,0.55,0.85,0.63,1.30,0.80,0.83,0.89,0.91,0.67,0.28,0.48,0.67,0.22,0.30,0.37,0.31,0.08,0.11,0.02,0.30,0.13,0.20,-0.18,0.21,0.01,0.18,0.27,0.15,0.01,0.15,-0.02,0.12,-0.12,-0.08,-0.16,0.44,0.05,0.15,0.22,0.36,0.12,0.07,0.06,0.42,0.08,0.08,0.27,0.18,0.08,0.07,0.15,0.14,0.03,0.00,0.14,0.32,0.03,0.0541,0.10,0.13,0.03,0.08,0.20,0.23,0.16,0.2133,0.2467,0.2533,0.1267,0.12,0.17,0.21,0.13,0.13,0.17,0.18,0.09,0.1196,0.12,0.12,0.07,0.0406,0.08,0.11,0.05,0.06,0.09,0.08,0.01,0.03,0.08,0.08,0.06,0.06,0.06,0.06,0.03,0.04,0.04,0.03,0.02,0.01,0.03,0.02,-0.01,-0.01,0.03,0.04,0.01,0.01,0.03,0.03,0.03,0.02,0.04,0.02,0.01,0.0127,0.03,0.01,-0.01,0.01,0.03,0.02,0.01,0.01,0.02,0.03,0.01,0.01,0.02,0.02,0.01
EPS Basic from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0267,0.00,0.00,-0.0267,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EPS Basic from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Basic EPS,0.98,1.24,1.37,0.70,1.17,1.08,1.27,0.79,3.19,0.8843,1.276,0.6174,0.85,0.6961,1.257,0.9128,0.9958,1.156,0.9979,0.7212,0.6003,0.5608,0.7088,0.1896,0.3429,0.3454,0.3731,0.0515,0.0699,0.1361,0.3582,0.0042,-0.0425,0.1540,0.1642,0.0760,0.0724,0.2601,0.2693,0.0135,0.1028,-0.0178,0.0936,-0.0936,0.0388,0.0776,0.1540,0.0976,0.0916,0.1919,0.2630,0.1589,0.0093,-0.0898,0.5010,0.0658,0.0455,0.3290,0.1488,0.0699,0.0298,0.1281,0.1118,0.0138,0.00,0.1455,0.1095,0.03,0.0610,0.0640,0.1355,0.0316,0.08,0.0788,0.2277,0.1645,0.2133,0.2411,0.2446,0.1175,0.1202,0.1701,0.2103,0.1380,0.1264,0.1652,0.1745,0.0868,0.1000,0.1201,0.1202,0.0708,0.0069,0.0804,0.1087,0.0488,0.0596,0.0899,0.0812,0.0099,0.0295,0.0799,0.0799,0.0583,0.0576,0.0596,0.0582,0.0276,0.0381,0.0383,0.0276,0.0191,0.0082,0.0269,0.0175,-0.0116,-0.0109,0.0265,0.0389,0.0042,0.0067,0.0212,0.0228,0.0157,0.02,0.04,0.02,0.01,0.0127,0.03,0.01,-0.01,0.01,0.03,0.02,0.01,0.01,0.02,0.03,0.01,0.01,0.02,0.02,0.01
EPS Basic,0.98,1.24,1.37,0.70,1.17,1.08,1.27,0.79,3.19,0.88,1.23,0.55,0.85,0.63,1.30,0.80,0.83,0.89,0.91,0.67,0.28,0.48,0.67,0.22,0.30,0.37,0.31,0.08,0.11,0.02,0.30,0.13,0.20,-0.18,0.21,0.01,0.18,0.27,0.15,0.01,0.15,-0.02,0.12,-0.12,-0.08,-0.16,0.44,0.05,0.15,0.22,0.36,0.12,0.07,0.06,0.42,0.08,0.08,0.27,0.18,0.08,0.07,0.15,0.14,0.03,0.00,0.14,0.32,0.03,0.0541,0.10,0.13,0.03,0.08,0.20,0.23,0.16,0.24,0.2467,0.2533,0.10,0.12,0.17,0.21,0.13,0.13,0.17,0.18,0.09,0.1196,0.12,0.12,0.07,0.0406,0.08,0.11,0.05,0.06,0.09,0.08,0.01,0.03,0.08,0.08,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.03,0.04,0.01,0.03,0.02,-0.01,-0.01,0.03,0.04,0.01,0.01,0.03,0.03,0.03,0.02,0.04,0.02,0.01,0.0127,0.03,0.01,-0.01,0.01,0.03,0.02,0.01,0.01,0.02,0.03,0.01,0.01,0.02,0.02,0.01
EPS Diluted from Continuing Operations,0.98,1.23,1.37,0.70,1.17,1.08,1.27,0.79,3.18,0.88,1.23,0.55,0.84,0.62,1.28,0.79,0.82,0.88,0.90,0.66,0.28,0.48,0.67,0.22,0.30,0.37,0.31,0.08,0.11,0.02,0.30,0.13,0.20,-0.18,0.21,0.01,0.17,0.27,0.15,0.01,0.15,-0.02,0.12,-0.12,-0.08,-0.16,0.44,0.05,0.15,0.22,0.36,0.12,0.07,0.06,0.40,0.07,0.08,0.26,0.18,0.07,0.06,0.15,0.14,0.03,0.00,0.13,0.30,0.03,-0.02,0.09,0.13,0.03,0.08,0.19,0.22,0.15,0.1967,0.2333,0.24,0.12,0.12,0.16,0.19,0.12,0.1267,0.17,0.17,0.09,0.1048,0.12,0.12,0.07,0.0406,0.08,0.11,0.05,0.06,0.09,0.08,0.01,0.03,0.08,0.08,0.06,0.06,0.06,0.06,0.03,0.04,0.04,0.03,0.02,0.01,0.03,0.02,-0.01,-0.01,0.03,0.04,0.01,0.01,0.03,0.03,0.03,0.02,0.04,0.02,0.01,0.0127,0.03,0.01,-0.01,0.01,0.03,0.02,0.01,0.01,0.02,0.03,0.01,0.01,0.02,0.02,0.01
EPS Diluted from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0267,0.00,0.00,-0.0267,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EPS Diluted from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,0.00,0.00,-0.0297,,,,,,,,,,,,,,,,,,,,,,,,,-0.0003,,,0.0201,0.0001,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
