date,operating_pe_ratio
"Jan. 11, 2019",11.57
"Jan. 10, 2019",11.57
"Jan. 9, 2019",11.38
"Jan. 8, 2019",11.47
"Jan. 7, 2019",11.29
"Jan. 4, 2019",11.27
"Jan. 3, 2019",11.15
"Jan. 2, 2019",11.14
"Dec. 31, 2018",11.40
"Dec. 28, 2018",10.30
"Dec. 27, 2018",10.31
"Dec. 26, 2018",10.24
"Dec. 24, 2018",10.10
"Dec. 21, 2018",10.57
"Dec. 20, 2018",10.55
"Dec. 19, 2018",10.53
"Dec. 18, 2018",10.55
"Dec. 17, 2018",10.50
"Dec. 14, 2018",10.84
"Dec. 13, 2018",10.81
"Dec. 12, 2018",10.80
"Dec. 11, 2018",10.80
"Dec. 10, 2018",10.83
"Dec. 7, 2018",10.82
"Dec. 6, 2018",10.80
"Dec. 4, 2018",10.81
"Dec. 3, 2018",10.71
"Nov. 30, 2018",10.68
"Nov. 29, 2018",10.52
"Nov. 28, 2018",10.55
"Nov. 27, 2018",10.49
"Nov. 26, 2018",10.41
"Nov. 23, 2018",10.33
"Nov. 21, 2018",10.35
"Nov. 20, 2018",10.47
"Nov. 19, 2018",10.62
"Nov. 16, 2018",10.57
"Nov. 15, 2018",10.49
"Nov. 14, 2018",10.42
"Nov. 13, 2018",10.57
"Nov. 12, 2018",10.53
"Nov. 9, 2018",10.37
"Nov. 8, 2018",10.31
"Nov. 7, 2018",10.29
"Nov. 6, 2018",10.21
"Nov. 5, 2018",10.18
"Nov. 2, 2018",9.996
"Nov. 1, 2018",10.05
"Oct. 31, 2018",10.09
"Oct. 30, 2018",10.22
"Oct. 29, 2018",10.15
"Oct. 26, 2018",10.05
"Oct. 25, 2018",10.10
"Oct. 24, 2018",10.25
"Oct. 23, 2018",10.03
"Oct. 22, 2018",10.02
"Oct. 19, 2018",10.16
"Oct. 18, 2018",9.922
"Oct. 17, 2018",9.902
"Oct. 16, 2018",10.01
"Oct. 15, 2018",9.911
"Oct. 12, 2018",9.883
"Oct. 11, 2018",9.842
"Oct. 10, 2018",10.03
"Oct. 9, 2018",10.14
"Oct. 8, 2018",10.14
"Oct. 5, 2018",10.09
"Oct. 4, 2018",9.959
"Oct. 3, 2018",9.927
"Oct. 2, 2018",10.14
"Oct. 1, 2018",9.998
"Sept. 30, 2018",
"Sept. 28, 2018",9.288
"Sept. 27, 2018",9.107
"Sept. 26, 2018",8.977
"Sept. 25, 2018",9.058
"Sept. 24, 2018",9.190
"Sept. 21, 2018",9.285
"Sept. 20, 2018",9.23
"Sept. 19, 2018",9.198
"Sept. 18, 2018",9.402
"Sept. 17, 2018",9.460
"Sept. 14, 2018",9.377
"Sept. 13, 2018",9.453
"Sept. 12, 2018",9.385
"Sept. 11, 2018",9.402
"Sept. 10, 2018",9.492
"Sept. 7, 2018",9.375
"Sept. 6, 2018",9.436
"Sept. 5, 2018",9.402
"Sept. 4, 2018",9.358
"Aug. 31, 2018",9.298
"Aug. 30, 2018",9.347
"Aug. 29, 2018",9.322
"Aug. 28, 2018",9.232
"Aug. 27, 2018",9.285
"Aug. 24, 2018",9.366
"Aug. 23, 2018",9.338
"Aug. 22, 2018",9.345
"Aug. 21, 2018",9.379
"Aug. 20, 2018",9.415
"Aug. 17, 2018",9.472
"Aug. 16, 2018",9.43
"Aug. 15, 2018",9.281
"Aug. 14, 2018",9.222
"Aug. 13, 2018",9.213
"Aug. 10, 2018",9.175
"Aug. 9, 2018",9.226
"Aug. 8, 2018",9.115
"Aug. 7, 2018",9.098
"Aug. 6, 2018",9.064
"Aug. 3, 2018",9.039
"Aug. 2, 2018",8.996
"Aug. 1, 2018",8.934
"July 31, 2018",9.041
"July 30, 2018",8.892
"July 27, 2018",8.977
"July 26, 2018",8.992
"July 25, 2018",8.909
"July 24, 2018",8.860
"July 23, 2018",8.851
"July 20, 2018",8.945
"July 19, 2018",8.985
"July 18, 2018",8.917
"July 17, 2018",8.917
"July 16, 2018",8.966
"July 13, 2018",9.017
"July 12, 2018",9.009
"July 11, 2018",9.030
"July 10, 2018",8.970
"July 9, 2018",8.902
"July 6, 2018",9.166
"July 5, 2018",9.130
"July 3, 2018",9.107
"July 2, 2018",9.126
"June 30, 2018",
"June 29, 2018",10.45
"June 28, 2018",10.38
"June 27, 2018",10.36
"June 26, 2018",10.31
"June 25, 2018",10.27
"June 22, 2018",10.18
"June 21, 2018",10.17
"June 20, 2018",10.26
"June 19, 2018",10.21
"June 18, 2018",10.24
"June 15, 2018",10.18
"June 14, 2018",10.08
"June 13, 2018",9.943
"June 12, 2018",9.936
"June 11, 2018",9.799
"June 8, 2018",9.816
"June 7, 2018",9.850
"June 6, 2018",9.745
"June 5, 2018",9.921
"June 4, 2018",9.948
"June 1, 2018",10.06
"May 31, 2018",10.16
"May 30, 2018",10.12
"May 29, 2018",9.99
"May 25, 2018",9.980
"May 24, 2018",9.946
"May 23, 2018",9.889
"May 22, 2018",9.784
"May 21, 2018",9.727
"May 18, 2018",9.678
"May 17, 2018",9.656
"May 16, 2018",9.764
"May 15, 2018",9.867
"May 14, 2018",9.899
"May 11, 2018",9.973
"May 10, 2018",9.963
"May 9, 2018",9.808
"May 8, 2018",9.997
"May 7, 2018",10.13
"May 4, 2018",10.08
"May 3, 2018",10.02
"May 2, 2018",9.909
"May 1, 2018",9.853
"April 30, 2018",9.737
"April 27, 2018",9.779
"April 26, 2018",9.696
"April 25, 2018",9.610
"April 24, 2018",9.614
"April 23, 2018",9.487
"April 20, 2018",9.472
"April 19, 2018",9.561
"April 18, 2018",9.556
"April 17, 2018",9.588
"April 16, 2018",9.470
"April 13, 2018",9.408
"April 12, 2018",9.266
"April 11, 2018",9.443
"April 10, 2018",9.489
"April 9, 2018",9.470
"April 6, 2018",9.480
"April 5, 2018",9.570
"April 4, 2018",9.516
"April 3, 2018",9.509
"April 2, 2018",9.389
"March 31, 2018",
"March 29, 2018",9.399
"March 28, 2018",9.285
"March 27, 2018",9.268
"March 26, 2018",9.179
"March 23, 2018",9.085
"March 22, 2018",9.244
"March 21, 2018",9.172
"March 20, 2018",9.23
"March 19, 2018",9.208
"March 16, 2018",9.247
"March 15, 2018",9.124
"March 14, 2018",9.114
"March 13, 2018",9.020
"March 12, 2018",9.042
"March 9, 2018",9.035
"March 8, 2018",9.023
"March 7, 2018",8.871
"March 6, 2018",8.955
"March 5, 2018",9.078
"March 2, 2018",8.895
"March 1, 2018",8.900
"Feb. 28, 2018",8.924
"Feb. 27, 2018",8.972
"Feb. 26, 2018",9.162
"Feb. 23, 2018",9.213
"Feb. 22, 2018",8.972
"Feb. 21, 2018",8.929
"Feb. 20, 2018",9.078
"Feb. 16, 2018",9.102
"Feb. 15, 2018",9.035
"Feb. 14, 2018",8.818
"Feb. 13, 2018",8.917
"Feb. 12, 2018",8.955
"Feb. 9, 2018",8.881
"Feb. 8, 2018",8.669
"Feb. 7, 2018",8.710
"Feb. 6, 2018",8.787
"Feb. 5, 2018",8.895
"Feb. 2, 2018",9.088
"Feb. 1, 2018",9.117
"Jan. 31, 2018",9.278
"Jan. 30, 2018",9.225
"Jan. 29, 2018",9.235
"Jan. 26, 2018",9.362
"Jan. 25, 2018",9.319
"Jan. 24, 2018",9.206
"Jan. 23, 2018",9.283
"Jan. 22, 2018",9.167
"Jan. 19, 2018",9.148
"Jan. 18, 2018",9.297
"Jan. 17, 2018",9.418
"Jan. 16, 2018",9.268
"Jan. 12, 2018",9.249
"Jan. 11, 2018",9.254
"Jan. 10, 2018",9.143
"Jan. 9, 2018",9.194
"Jan. 8, 2018",9.300
"Jan. 5, 2018",9.201
"Jan. 4, 2018",9.278
"Jan. 3, 2018",9.411
"Jan. 2, 2018",9.538
"Dec. 31, 2017",
"Dec. 29, 2017",9.824
"Dec. 28, 2017",9.796
"Dec. 27, 2017",9.719
"Dec. 26, 2017",9.674
"Dec. 22, 2017",9.724
"Dec. 21, 2017",9.739
"Dec. 20, 2017",9.732
"Dec. 19, 2017",9.876
"Dec. 18, 2017",10.09
"Dec. 15, 2017",10.16
"Dec. 14, 2017",10.17
"Dec. 13, 2017",10.25
"Dec. 12, 2017",10.22
"Dec. 11, 2017",10.45
"Dec. 8, 2017",10.23
"Dec. 7, 2017",10.17
"Dec. 6, 2017",10.25
"Dec. 5, 2017",10.28
"Dec. 4, 2017",10.36
"Dec. 1, 2017",10.43
"Nov. 30, 2017",10.40
"Nov. 29, 2017",10.39
"Nov. 28, 2017",10.46
"Nov. 27, 2017",10.38
"Nov. 24, 2017",10.38
"Nov. 22, 2017",10.34
"Nov. 21, 2017",10.32
"Nov. 20, 2017",10.31
