date,enterprise_value
"June 1, 2017",4.025B
"May 31, 2017",3.962B
"May 30, 2017",3.947B
"May 26, 2017",3.931B
"May 25, 2017",3.952B
"May 24, 2017",3.933B
"May 23, 2017",3.908B
"May 22, 2017",3.867B
"May 19, 2017",3.884B
"May 18, 2017",3.867B
"May 17, 2017",3.879B
"May 16, 2017",3.887B
"May 15, 2017",3.901B
"May 12, 2017",3.901B
"May 11, 2017",3.912B
"May 10, 2017",3.914B
"May 9, 2017",3.914B
"May 8, 2017",3.960B
"May 5, 2017",4.014B
"May 4, 2017",4.003B
"May 3, 2017",3.988B
"May 2, 2017",4.010B
"May 1, 2017",4.002B
"April 28, 2017",4.003B
"April 27, 2017",4.040B
"April 26, 2017",4.018B
"April 25, 2017",4.026B
"April 24, 2017",4.051B
"April 21, 2017",4.020B
"April 20, 2017",3.997B
"April 19, 2017",4.014B
"April 18, 2017",4.029B
"April 17, 2017",4.037B
"April 13, 2017",4.012B
"April 12, 2017",4.036B
"April 11, 2017",4.029B
"April 10, 2017",4.015B
"April 7, 2017",4.016B
"April 6, 2017",4.023B
"April 5, 2017",4.034B
"April 4, 2017",3.992B
"April 3, 2017",3.964B
"March 31, 2017",3.980B
"March 30, 2017",4.067B
"March 29, 2017",4.060B
"March 28, 2017",4.076B
"March 27, 2017",4.067B
"March 24, 2017",4.091B
"March 23, 2017",4.069B
"March 22, 2017",4.080B
"March 21, 2017",4.049B
"March 20, 2017",4.033B
"March 17, 2017",4.049B
"March 16, 2017",4.011B
"March 15, 2017",4.048B
"March 14, 2017",3.981B
"March 13, 2017",4.005B
"March 10, 2017",3.966B
"March 9, 2017",3.961B
"March 8, 2017",3.955B
"March 7, 2017",4.013B
"March 6, 2017",4.004B
"March 3, 2017",4.053B
"March 2, 2017",4.056B
"March 1, 2017",4.064B
"Feb. 28, 2017",4.047B
"Feb. 27, 2017",4.044B
"Feb. 24, 2017",4.032B
"Feb. 23, 2017",4.000B
"Feb. 22, 2017",3.979B
"Feb. 21, 2017",3.995B
"Feb. 17, 2017",3.983B
"Feb. 16, 2017",3.989B
"Feb. 15, 2017",3.963B
"Feb. 14, 2017",4.027B
"Feb. 13, 2017",4.091B
"Feb. 10, 2017",4.096B
"Feb. 9, 2017",4.093B
"Feb. 8, 2017",4.086B
"Feb. 7, 2017",4.085B
"Feb. 6, 2017",4.091B
"Feb. 3, 2017",4.071B
"Feb. 2, 2017",4.048B
"Feb. 1, 2017",4.022B
"Jan. 31, 2017",4.063B
"Jan. 30, 2017",4.000B
"Jan. 27, 2017",3.981B
"Jan. 26, 2017",4.005B
"Jan. 25, 2017",4.020B
"Jan. 24, 2017",4.025B
"Jan. 23, 2017",4.013B
"Jan. 20, 2017",4.032B
"Jan. 19, 2017",4.020B
"Jan. 18, 2017",4.070B
"Jan. 17, 2017",4.076B
"Jan. 13, 2017",4.055B
"Jan. 12, 2017",4.064B
"Jan. 11, 2017",4.068B
"Jan. 10, 2017",4.018B
"Jan. 9, 2017",3.992B
"Jan. 6, 2017",4.047B
"Jan. 5, 2017",3.999B
"Jan. 4, 2017",4.012B
"Jan. 3, 2017",3.998B
"Dec. 31, 2016",4.019B
"Dec. 30, 2016",4.152B
"Dec. 29, 2016",4.183B
"Dec. 28, 2016",4.141B
"Dec. 27, 2016",4.199B
"Dec. 23, 2016",4.212B
"Dec. 22, 2016",4.214B
"Dec. 21, 2016",4.215B
"Dec. 20, 2016",4.208B
"Dec. 19, 2016",4.229B
"Dec. 16, 2016",4.185B
"Dec. 15, 2016",4.142B
"Dec. 14, 2016",4.085B
"Dec. 13, 2016",4.150B
"Dec. 12, 2016",4.137B
"Dec. 9, 2016",4.081B
"Dec. 8, 2016",4.075B
"Dec. 7, 2016",3.961B
"Dec. 6, 2016",3.920B
"Dec. 5, 2016",3.975B
"Dec. 2, 2016",3.970B
"Dec. 1, 2016",3.897B
"Nov. 30, 2016",3.906B
"Nov. 29, 2016",4.003B
"Nov. 28, 2016",3.968B
"Nov. 25, 2016",3.896B
"Nov. 23, 2016",3.880B
"Nov. 22, 2016",3.889B
"Nov. 21, 2016",3.857B
"Nov. 18, 2016",3.786B
"Nov. 17, 2016",3.807B
"Nov. 16, 2016",3.817B
"Nov. 15, 2016",3.791B
"Nov. 14, 2016",3.750B
"Nov. 11, 2016",3.755B
"Nov. 10, 2016",3.705B
"Nov. 9, 2016",3.747B
"Nov. 8, 2016",3.820B
"Nov. 7, 2016",3.799B
"Nov. 4, 2016",3.686B
"Nov. 3, 2016",3.670B
"Nov. 2, 2016",3.664B
"Nov. 1, 2016",3.709B
"Oct. 31, 2016",3.765B
"Oct. 28, 2016",3.719B
"Oct. 27, 2016",3.713B
"Oct. 26, 2016",3.705B
"Oct. 25, 2016",3.698B
"Oct. 24, 2016",3.688B
"Oct. 21, 2016",3.676B
"Oct. 20, 2016",3.710B
"Oct. 19, 2016",3.719B
"Oct. 18, 2016",3.704B
"Oct. 17, 2016",3.699B
"Oct. 14, 2016",3.691B
"Oct. 13, 2016",3.699B
"Oct. 12, 2016",3.681B
"Oct. 11, 2016",3.645B
"Oct. 10, 2016",3.686B
"Oct. 7, 2016",3.650B
"Oct. 6, 2016",3.673B
"Oct. 5, 2016",3.684B
"Oct. 4, 2016",3.703B
"Oct. 3, 2016",3.761B
"Sept. 30, 2016",3.802B
"Sept. 29, 2016",4.110B
