date,shares_outstanding
"Dec. 31, 2006",206.60M
"Nov. 1, 2006",206.26M
"Sept. 30, 2006",206.20M
"July 31, 2006",205.87M
"June 30, 2006",205.80M
"May 3, 2006",205.35M
"March 31, 2006",205.20M
"Feb. 1, 2006",204.75M
"Dec. 31, 2005",204.70M
"Nov. 1, 2005",204.27M
"Sept. 30, 2005",204.20M
"Aug. 1, 2005",203.77M
"June 30, 2005",203.80M
"May 2, 2005",195.91M
"March 31, 2005",195.80M
"Feb. 11, 2005",195.30M
"Dec. 31, 2004",195.20M
"Sept. 30, 2004",194.80M
"July 30, 2004",194.27M
"June 30, 2004",183.30M
"April 30, 2004",182.64M
"March 31, 2004",182.50M
"Feb. 13, 2004",182.03M
"Dec. 31, 2003",162.90M
"Nov. 7, 2003",162.40M
"Sept. 30, 2003",162.30M
"Aug. 11, 2003",161.80M
"June 30, 2003",161.80M
"May 9, 2003",161.22M
"March 31, 2003",161.10M
"March 21, 2003",160.72M
"Dec. 31, 2002",154.10M
"Nov. 12, 2002",153.61M
"Sept. 30, 2002",153.50M
"Aug. 9, 2002",144.95M
"June 30, 2002",144.80M
"May 10, 2002",144.35M
"March 31, 2002",144.20M
"March 21, 2002",143.95M
"Dec. 31, 2001",138.05M
"Nov. 13, 2001",137.62M
"Sept. 30, 2001",137.54M
"Aug. 14, 2001",137.22M
"June 30, 2001",137.22M
"April 30, 2001",137.22M
"March 31, 2001",137.22M
"March 8, 2001",137.22M
"Dec. 31, 2000",137.22M
"Oct. 31, 2000",137.22M
"Sept. 30, 2000",137.22M
"July 31, 2000",137.22M
"June 30, 2000",137.22M
"April 30, 2000",137.22M
"March 31, 2000",137.22M
"March 6, 2000",137.22M
"Dec. 31, 1999",137.22M
"Sept. 30, 1999",137.22M
"June 30, 1999",137.22M
"March 31, 1999",137.22M
"March 5, 1999",137.22M
"Dec. 31, 1998",137.22M
"Sept. 30, 1998",137.22M
"June 30, 1998",137.22M
"March 31, 1998",137.22M
"March 20, 1998",137.22M
"Dec. 31, 1997",137.22M
"Sept. 30, 1997",137.22M
"June 30, 1997",137.22M
"March 31, 1997",137.22M
