Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Total Operating Expenses,16.40M,16.40M,16.51M,16.58M,15.21M,14.85M,14.24M,14.60M,13.24M,13.43M,13.06M,13.34M,12.67M,11.70M,11.17M,11.35M,11.42M,10.89M,10.70M,10.56M,9.567M,9.925M,9.854M,10.31M,9.322M,9.993M,9.464M,8.998M,7.532M,8.302M,8.219M,8.645M,-57.96M,28.90M,29.75M,29.48M,-53.59M,27.39M,27.29M,28.51M,23.94M,15.76M,16.42M,17.18M,-138.32M,48.53M,64.73M,86.23M,62.02M,40.43M,48.81M,78.94M,52.63M,34.82M,41.10M,79.51M,66.07M,35.25M,39.90M,66.34M,,26.33M,32.13M,53.06M,40.12M,23.30M,27.92M,50.65M,30.20M,22.29M,12.58M,13.39M,104.44M,11.70M,11.62M,13.02M,9.880M,11.16M,11.12M,11.40M,10.10M,9.80M,9.60M,9.80M,8.00M,9.40M,9.30M,9.20M,8.70M,8.70M,8.70M,8.40M,11.20M,8.70M,9.10M,9.50M,9.20M,8.00M,7.30M,7.60M,7.90M,7.20M,7.20M,7.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,29.77M,14.36M,17.31M,43.99M,29.00M,12.88M,13.12M,40.41M,26.07M,14.63M,13.93M,35.10M,23.71M,10.16M,15.61M,36.38M,16.17M,10.91M,11.67M,37.51M,19.29M,7.792M,10.46M,31.62M,18.31M,8.72M,9.152M,26.55M,18.54M,7.564M,10.46M,20.07M,15.50M,5.594M,7.776M,24.84M,14.19M,4.583M,7.761M,25.40M,12.66M,2.257M,2.856M,15.97M,8.938M,1.170M,4.329M,14.04M,8.816M,0.9856M,3.688M,14.58M,8.171M,0.3227M,3.205M,11.44M,8.191M,-0.0991M,2.325M,11.50M,164.81M,0.2827M,2.163M,10.70M,6.254M,0.1526M,2.862M,12.31M,5.748M,-0.2782M,1.946M,8.946M,3.985M,0.0564M,2.144M,10.04M,5.320M,-0.7451M,1.385M,10.07M,4.70M,-0.60M,2.043M,8.70M,4.70M,-1.30M,1.00M,7.10M,4.40M,-0.60M,1.80M,6.30M,3.50M,-0.60M,1.50M,9.40M,4.00M,2.00M,1.90M,6.30M,2.70M,0.10M,0.20M,6.70M,24.70M,13.90M,17.30M,30.00M,23.70M,12.50M,15.30M,24.40M,16.90M,11.90M,15.00M,26.00M,24.20M,14.70M,16.70M,31.40M,22.70M,13.50M,18.80M,25.30M,16.80M,10.50M,11.90M,19.40M,14.40M,10.70M,12.90M,17.70M,11.80M,7.40M,11.40M,19.10M,12.40M,9.00M,8.20M,16.30M,19.30M,19.50M,15.00M,15.00M
Non-Operating Interest Expense,5.641M,5.403M,5.655M,5.71M,4.382M,4.357M,3.881M,3.664M,3.397M,3.321M,3.073M,2.739M,2.643M,2.722M,2.624M,2.65M,2.581M,2.492M,2.485M,2.448M,2.528M,2.495M,2.303M,2.155M,2.12M,2.026M,2.016M,2.072M,2.09M,2.126M,2.241M,2.291M,2.346M,2.389M,2.114M,2.15M,2.222M,2.256M,2.305M,2.363M,2.331M,1.54M,1.573M,1.642M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-5.641M,-5.403M,-5.655M,-5.71M,-4.382M,-4.357M,-3.881M,-3.664M,-3.397M,-3.321M,-3.073M,-2.739M,-2.643M,-2.722M,-2.624M,-2.65M,-2.581M,-2.492M,-2.485M,-2.448M,-2.528M,-2.495M,-2.303M,-2.155M,-2.12M,-2.026M,-2.016M,-2.072M,-2.09M,-2.126M,-2.241M,-2.291M,-2.346M,-2.389M,-2.114M,-2.15M,-2.222M,-2.256M,-2.305M,-2.363M,-2.331M,-1.54M,-1.573M,-1.642M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,-1.231M,-0.35M,-0.186M,-0.045M,-0.565M,-0.004M,-0.132M,0.068M,-0.479M,-0.154M,-0.872M,-0.70M,-2.26M,-0.028M,0.122M,-0.034M,0.296M,0.036M,1.329M,0.133M,-0.021M,-0.032M,0.405M,0.006M,-0.041M,0.101M,0.024M,0.289M,0.059M,-0.136M,0.153M,0.196M,0.207M,0.649M,0.027M,0.022M,-0.011M,0.102M,-0.011M,0.115M,0.146M,-0.026M,0.012M,0.033M,0.1135M,-0.0916M,0.0635M,0.0176M,0.0141M,-0.0135M,0.2342M,0.0534M,0.0589M,-0.0121M,0.0637M,0.0786M,0.0523M,0.0195M,0.2285M,0.0824M,,0.0384M,0.0742M,0.1025M,0.1752M,-0.0249M,0.0343M,0.0539M,0.1060M,0.0343M,0.0396M,0.2110M,0.3827M,0.0626M,0.1143M,0.1349M,0.0095M,0.1569M,0.0555M,0.0269M,0.80M,0.10M,0.10M,0.10M,-0.10M,,0.10M,0.10M,0.00,0.10M,0.10M,0.10M,0.10M,0.10M,0.10M,0.10M,-0.10M,0.10M,0.10M,,-0.30M,0.10M,,0.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-5.641M,-5.403M,-5.655M,-5.71M,-4.382M,-4.357M,-3.881M,-3.664M,-3.397M,-3.321M,-3.073M,-2.739M,-2.643M,-2.722M,-2.624M,-2.65M,-2.581M,-2.492M,-2.485M,-2.448M,-2.528M,-2.495M,-2.303M,-2.155M,-2.12M,-2.026M,-2.016M,-2.072M,-2.09M,-2.126M,-2.241M,-2.291M,-2.346M,-2.389M,-2.114M,-2.15M,-2.222M,-2.256M,-2.305M,-2.363M,-2.331M,-1.54M,-1.573M,-1.642M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,22.90M,8.605M,11.46M,38.24M,24.06M,8.518M,9.105M,36.81M,22.19M,11.16M,9.986M,31.66M,18.80M,7.406M,13.11M,33.70M,13.89M,8.453M,10.51M,35.19M,16.74M,5.265M,8.559M,29.47M,16.15M,6.795M,7.16M,24.77M,16.51M,5.302M,8.367M,17.98M,13.36M,3.854M,5.689M,22.71M,11.96M,2.429M,5.445M,23.15M,10.47M,0.691M,1.295M,14.36M,7.364M,-0.4090M,3.004M,12.46M,7.130M,-0.7234M,2.328M,13.04M,6.789M,-1.029M,1.768M,10.02M,6.934M,-1.352M,1.280M,10.31M,,-1.004M,0.9088M,9.475M,5.038M,-1.292M,1.467M,10.90M,4.457M,-1.420M,0.7735M,7.923M,3.281M,-1.181M,1.070M,8.735M,4.167M,-1.746M,0.4690M,9.095M,4.60M,-1.40M,1.20M,7.90M,3.70M,-2.10M,0.40M,6.40M,3.80M,-1.30M,1.10M,5.70M,3.10M,-1.10M,1.00M,8.80M,3.20M,1.50M,1.30M,5.70M,1.80M,-0.50M,-0.40M,6.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,5.736M,2.36M,3.161M,9.574M,6.314M,2.428M,2.718M,9.955M,-6.111M,4.324M,3.94M,12.52M,6.94M,2.99M,5.081M,13.33M,5.267M,3.334M,4.22M,14.08M,6.642M,2.085M,3.425M,11.79M,6.468M,2.916M,2.804M,9.898M,6.655M,2.083M,3.307M,7.251M,5.399M,1.457M,2.169M,8.964M,4.841M,0.801M,2.105M,9.176M,4.282M,0.383M,0.489M,5.764M,2.952M,-0.2108M,1.185M,4.891M,3.052M,-0.3635M,0.8458M,5.045M,2.825M,-0.4679M,0.6352M,3.926M,2.570M,-0.6581M,0.4843M,4.076M,,-0.4201M,0.2973M,3.701M,1.820M,-0.5823M,0.5322M,4.262M,1.707M,-0.6082M,0.2438M,3.039M,1.298M,-0.5060M,0.4031M,3.369M,1.622M,-0.7012M,0.1495M,3.426M,1.30M,-0.60M,0.40M,3.00M,1.40M,-0.80M,0.10M,2.40M,1.30M,-0.50M,0.40M,2.30M,1.00M,-0.40M,0.50M,2.80M,1.00M,0.50M,0.50M,2.00M,0.70M,-0.20M,-0.30M,2.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,17.16M,6.245M,8.304M,28.66M,17.74M,6.09M,6.387M,26.86M,28.30M,6.833M,6.046M,19.14M,11.86M,4.416M,8.029M,20.37M,8.619M,5.119M,6.294M,21.11M,10.10M,3.18M,5.134M,17.68M,9.683M,3.879M,4.356M,14.87M,9.857M,3.219M,5.06M,10.73M,7.958M,2.397M,3.52M,13.75M,7.114M,1.628M,3.34M,13.97M,6.191M,0.308M,0.806M,8.593M,4.412M,-0.1983M,1.819M,7.574M,4.079M,-0.3600M,1.482M,7.991M,3.965M,-0.5615M,1.133M,6.096M,4.364M,-0.6938M,0.7959M,6.233M,3.749M,-0.5842M,0.6115M,5.774M,3.218M,-0.7098M,0.9345M,6.637M,2.750M,-0.8121M,0.5297M,4.883M,1.983M,-0.6750M,0.6667M,5.365M,2.545M,-1.045M,0.3195M,5.669M,3.30M,-0.80M,0.80M,4.90M,2.30M,-1.30M,0.30M,4.00M,2.50M,-0.80M,0.70M,3.40M,2.10M,-0.70M,0.50M,6.00M,2.20M,1.00M,0.80M,3.70M,1.10M,-0.30M,-0.10M,3.70M,1.70M,-0.70M,,2.90M,1.50M,-0.70M,0.10M,2.50M,1.20M,-0.50M,-0.20M,2.70M,1.00M,-0.40M,-0.10M,2.60M,1.90M,-0.60M,0.30M,2.00M,0.70M,-0.10M,0.30M,1.90M,1.10M,0.20M,0.40M,1.70M,0.70M,0.10M,0.40M,1.30M,1.10M,0.50M,0.30M,1.00M,0.60M,0.90M,0.50M,1.00M
Income from Discontinued Operations,5.399M,-0.624M,,,0.057M,-0.552M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021M,0.0041M,,,-0.0305M,-0.0951M,,,,,,,-0.0337M,-0.0720M,0.0191M,-0.0343M,-0.4748M,-0.1501M,-0.0004M,-0.1623M,-1.587M,-0.1271M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,-1.916M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,22.56M,5.621M,8.304M,28.66M,17.80M,5.538M,6.387M,26.86M,26.10M,6.833M,6.046M,19.14M,11.86M,4.416M,8.029M,20.37M,8.619M,5.119M,6.294M,21.11M,10.10M,3.18M,5.134M,17.68M,9.683M,3.879M,4.356M,14.87M,9.857M,3.219M,5.06M,10.73M,7.958M,2.397M,3.52M,13.75M,7.114M,1.628M,3.34M,13.97M,6.191M,0.308M,0.806M,8.593M,4.412M,-0.1983M,1.819M,7.574M,4.081M,-0.3559M,1.482M,7.991M,3.934M,-0.6566M,1.133M,6.096M,4.133M,-0.6938M,0.7959M,6.233M,3.715M,-0.6562M,0.6307M,5.739M,2.743M,-0.8599M,0.9341M,6.475M,1.163M,-0.9392M,0.5297M,2.967M,1.335M,-0.6750M,0.6667M,5.365M,2.545M,-1.045M,0.3195M,5.669M,3.30M,-0.80M,0.80M,4.90M,2.30M,-1.30M,0.30M,4.00M,2.50M,-0.80M,0.70M,3.40M,2.10M,-0.70M,0.50M,6.00M,2.20M,1.00M,0.80M,3.70M,1.10M,-0.30M,-0.10M,3.70M,1.70M,-0.70M,,3.00M,1.60M,-0.70M,0.10M,2.50M,0.60M,-0.50M,-0.20M,2.70M,1.00M,-0.40M,-0.10M,2.60M,1.90M,-0.60M,0.30M,2.00M,0.70M,-0.10M,0.30M,1.90M,1.10M,0.20M,0.40M,1.70M,0.70M,0.10M,0.40M,1.30M,1.10M,0.50M,0.30M,1.00M,0.60M,0.90M,0.50M,1.00M
Normalized Income,17.16M,6.245M,8.210M,28.66M,17.74M,6.09M,6.296M,26.86M,28.30M,6.833M,5.967M,19.14M,11.86M,4.416M,7.949M,20.37M,8.619M,5.119M,5.394M,21.11M,9.941M,3.18M,5.134M,17.68M,9.683M,3.879M,4.356M,14.87M,9.857M,3.219M,5.06M,10.73M,7.958M,1.993M,3.503M,13.73M,7.114M,1.560M,3.347M,13.90M,6.096M,0.3249M,0.7985M,8.573M,4.344M,-0.1387M,1.780M,7.564M,4.069M,-0.3512M,1.333M,7.958M,3.929M,-0.5543M,1.092M,6.049M,4.331M,-0.7055M,0.6539M,6.183M,3.749M,-0.6072M,0.5616M,5.711M,3.106M,-0.6949M,0.9127M,6.604M,2.684M,-0.8327M,0.5026M,4.753M,1.752M,-0.7125M,0.5955M,5.283M,2.539M,-1.139M,0.2818M,5.653M,2.726M,-0.86M,0.7333M,4.838M,2.362M,-1.30M,0.225M,3.938M,2.50M,-0.8615M,0.6364M,3.34M,2.032M,-0.7636M,0.44M,5.932M,2.269M,0.9333M,0.7385M,3.70M,1.283M,-0.36M,-0.10M,3.64M,1.70M,-0.70M,,2.90M,1.50M,-0.70M,0.10M,2.50M,1.20M,-0.50M,-0.20M,2.70M,1.00M,-0.40M,-0.10M,2.60M,1.90M,-0.60M,0.30M,2.00M,,,,,,,,,,,,,,,,,,,,
EBITDA,42.76M,27.43M,30.92M,57.16M,41.14M,25.54M,24.98M,52.45M,37.05M,25.89M,24.15M,45.15M,32.09M,20.26M,25.30M,45.50M,25.98M,20.38M,22.34M,46.30M,26.86M,16.24M,19.26M,40.05M,25.78M,16.57M,16.71M,34.14M,25.17M,14.59M,17.78M,27.43M,22.28M,12.50M,14.16M,30.94M,19.76M,10.42M,13.35M,31.50M,17.96M,5.338M,5.935M,19.05M,11.95M,4.172M,7.080M,16.62M,11.85M,3.983M,6.901M,17.74M,11.17M,3.151M,6.005M,14.16M,10.76M,2.469M,4.906M,14.06M,167.30M,2.806M,4.605M,13.14M,8.946M,2.723M,5.482M,14.93M,9.205M,1.979M,4.328M,11.72M,6.903M,2.158M,4.530M,12.59M,6.540M,2.483M,3.610M,12.35M,6.70M,1.20M,3.743M,10.70M,6.40M,0.50M,2.60M,8.80M,6.10M,1.00M,3.30M,7.80M,4.80M,1.70M,2.80M,10.80M,5.90M,3.50M,3.30M,7.70M,4.40M,1.40M,1.60M,8.10M,24.70M,13.90M,17.30M,30.00M,23.70M,12.50M,15.30M,24.40M,16.90M,11.90M,15.00M,26.00M,24.20M,14.70M,16.70M,31.40M,22.70M,13.50M,18.80M,25.30M,16.80M,10.50M,11.90M,19.40M,14.40M,10.70M,12.90M,17.70M,11.80M,7.40M,11.40M,19.10M,12.40M,9.00M,8.20M,16.30M,19.30M,19.50M,15.00M,15.00M
