Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,227.10M,303.80M,277.20M,,231.70M,,,175.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,225.70M,237.60M,212.20M,190.90M,235.40M,221.00M,174.60M,160.90M,176.30M,203.90M,183.20M,184.80M,248.70M,262.90M,236.80M,226.10M,206.90M,183.70M,175.50M,159.50M,187.40M,200.10M,188.10M,159.10M,142.80M,152.50M,145.50M,141.70M,162.80M,190.60M,192.90M,186.20M,169.70M,142.40M,121.90M,112.60M,143.80M,409.90M,357.10M,360.70M,238.30M,763.30M,806.50M,461.50M,466.30M,1.168B,1.151B,895.50M,721.10M,656.40M,429.80M,699.80M,874.40M,997.40M,1.229B,1.156B,1.079B,803.30M,592.30M,749.70M,813.10M,672.60M,608.00M,724.60M,994.60M,646.20M,627.90M,337.80M,604.00M,405.70M,677.10M,637.70M,1.072B,1.127B,846.60M,831.50M,2.188B,587.27M,389.26M,230.00M,132.10M,83.20M,42.70M,47.00M,87.50M,66.70M,59.50M,71.30M,120.80M,91.70M,85.30M,132.90M,137.80M,118.00M,128.60M,81.30M,27.50M,28.20M,22.00M,13.00M,38.70M,15.10M,19.50M,20.30M
Total Current Assets,1.854B,1.378B,1.578B,1.916B,2.055B,1.369B,1.316B,1.634B,1.763B,1.332B,1.281B,1.471B,1.762B,1.378B,1.260B,1.395B,1.577B,1.638B,2.336B,2.261B,2.194B,2.012B,2.054B,2.320B,2.159B,1.746B,1.708B,2.032B,2.368B,1.839B,1.752B,1.970B,2.269B,1.860B,1.745B,1.985B,2.426B,2.196B,1.893B,2.197B,2.224B,2.563B,2.437B,2.632B,3.410B,3.126B,2.680B,2.522B,2.460B,2.269B,2.150B,2.261B,2.783B,2.523B,2.289B,2.743B,3.061B,3.213B,1.730B,2.404B,2.284B,1.761B,1.389B,1.833B,2.063B,1.876B,1.658B,2.258B,1.870B,1.631B,1.584B,1.946B,2.567B,2.634B,2.770B,3.648B,4.918B,1.345B,1.113B,915.27M,806.00M,678.30M,610.10M,661.90M,606.90M,482.20M,475.20M,587.80M,630.70M,523.90M,527.70M,592.30M,523.20M,414.10M,362.10M,384.20M,316.60M,260.30M,263.00M,283.10M,327.90M,271.40M,270.60M,335.20M
Other Properties,192.60M,18.00M,18.30M,18.60M,194.50M,17.20M,16.80M,130.70M,764.60M,290.70M,296.60M,309.80M,786.70M,17.10M,17.40M,17.60M,148.40M,17.40M,401.90M,376.20M,43.10M,344.00M,330.40M,320.60M,360.50M,301.30M,297.60M,284.20M,298.60M,195.70M,143.20M,136.80M,131.40M,125.50M,114.10M,92.80M,94.70M,,,,34.00M,,,,18.08B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.290B,8.507B,8.518B,,7.967B,,7.848B,6.520B,6.411B,6.368B,6.324B,6.323B,6.289B,6.314B,6.423B,5.824B,5.792B,5.746B,5.709B,5.666B,5.551B,5.510B,5.435B,5.389B,5.331B,5.304B,5.280B
Construction in Progress,457.30M,,,,474.80M,,,,950.50M,,,,663.10M,,,,453.60M,,,,573.00M,,,,728.80M,,,,737.30M,,,,,,,,,,,,,,,,445.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.73M,273.31M,256.61M,,316.50M,,257.30M,197.10M,233.70M,223.20M,205.50M,188.70M,184.10M,170.00M,147.90M,166.80M,144.10M,139.80M,140.10M,145.10M,197.40M,190.20M,228.90M,221.80M,210.00M,210.20M,201.00M
Gross PP&E,24.54B,24.04B,23.59B,23.10B,22.82B,22.35B,21.93B,21.50B,21.65B,20.95B,20.50B,19.99B,20.05B,19.87B,19.60B,19.22B,18.99B,18.50B,26.63B,25.97B,17.71B,25.12B,24.53B,24.02B,23.66B,23.17B,22.64B,22.19B,21.94B,21.50B,21.03B,20.71B,20.43B,20.22B,19.90B,19.67B,19.59B,19.37B,19.35B,19.14B,19.08B,18.87B,18.78B,18.61B,18.52B,18.34B,18.11B,17.50B,17.36B,17.68B,17.80B,17.68B,17.54B,17.34B,17.21B,17.13B,17.11B,16.92B,16.79B,16.70B,16.62B,16.58B,16.50B,16.52B,16.39B,16.85B,16.75B,18.30B,16.58B,19.12B,17.90B,17.30B,17.25B,17.12B,16.93B,16.96B,16.86B,8.595B,8.780B,8.775B,7.915B,8.284B,8.204B,8.106B,6.717B,6.645B,6.591B,6.529B,6.512B,6.473B,6.484B,6.571B,5.991B,5.936B,5.886B,5.849B,5.811B,5.748B,5.701B,5.664B,5.610B,5.541B,5.514B,5.481B
Accumulated D&A,-7.630B,-7.563B,-7.461B,-7.357B,-7.277B,-7.171B,-7.084B,-7.048B,-7.290B,-6.906B,-6.834B,-6.702B,-6.982B,-7.020B,-7.040B,-6.957B,-6.877B,-6.812B,-9.719B,-9.687B,-6.654B,-9.533B,-9.444B,-9.359B,-9.299B,-9.259B,-9.170B,-9.075B,-9.025B,-8.957B,-8.883B,-8.806B,-8.652B,-8.672B,-8.603B,-8.528B,-8.493B,-8.445B,-8.547B,-8.444B,-8.387B,-8.286B,-8.233B,-8.134B,-8.134B,-8.078B,-7.982B,-7.819B,-7.787B,-7.813B,-8.00B,-7.940B,-7.85B,-7.788B,-7.711B,-7.637B,-7.557B,-7.496B,-7.416B,-7.341B,-7.248B,-7.204B,-7.147B,-7.163B,-7.096B,-8.121B,-8.044B,-8.247B,-7.860B,-9.036B,-7.826B,-7.833B,-7.691B,-7.668B,-7.544B,-7.441B,-7.308B,-3.693B,-3.562B,-3.567B,-3.318B,-3.384B,-3.318B,-3.263B,-2.968B,-2.913B,-2.858B,-2.806B,-2.760B,-2.770B,-2.723B,-2.679B,-2.546B,-2.524B,-2.469B,-2.422B,-2.374B,-2.332B,-2.283B,-2.248B,-2.202B,-2.162B,-2.136B,-2.095B
Net PP&E,16.91B,16.48B,16.13B,15.74B,15.54B,15.17B,14.85B,14.46B,14.36B,14.04B,13.67B,13.29B,13.07B,12.85B,12.56B,12.27B,12.11B,11.69B,16.91B,16.28B,11.06B,15.59B,15.09B,14.66B,14.37B,13.91B,13.47B,13.12B,12.92B,12.54B,12.15B,11.90B,11.78B,11.55B,11.30B,11.14B,11.10B,10.92B,10.80B,10.70B,10.69B,10.58B,10.54B,10.48B,10.39B,10.26B,10.13B,9.676B,9.576B,9.871B,9.805B,9.741B,9.694B,9.552B,9.502B,9.497B,9.554B,9.426B,9.374B,9.358B,9.374B,9.379B,9.358B,9.357B,9.291B,8.732B,8.707B,10.05B,8.720B,10.09B,10.07B,9.467B,9.555B,9.449B,9.385B,9.514B,9.547B,4.902B,5.218B,5.207B,4.596B,4.900B,4.885B,4.843B,3.749B,3.732B,3.734B,3.723B,3.752B,3.703B,3.761B,3.892B,3.445B,3.412B,3.417B,3.426B,3.437B,3.417B,3.418B,3.416B,3.408B,3.378B,3.378B,3.386B
Goodwill,1.486B,1.691B,1.691B,1.691B,1.691B,1.691B,1.691B,1.691B,1.691B,1.691B,1.691B,1.691B,1.691B,1.691B,1.691B,1.691B,1.691B,1.691B,3.666B,3.666B,1.691B,3.666B,3.666B,3.666B,3.666B,3.666B,3.666B,3.666B,3.677B,3.677B,3.677B,3.677B,3.677B,3.677B,3.677B,3.677B,3.677B,3.677B,3.677B,3.677B,3.677B,3.677B,3.677B,3.677B,3.677B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,,212.50M,215.20M,218.00M,220.70M,223.50M,226.20M,228.90M,231.70M,234.40M,237.20M,239.90M,242.70M,245.40M,246.40M,250.90M,253.70M,256.40M,258.40M,261.90M,264.70M,267.40M,270.20M,272.90M,275.70M,278.40M,281.20M,283.90M,286.60M,289.40M,292.10M,294.90M,297.60M,300.40M,303.10M,305.90M,308.60M,311.40M,314.10M,316.80M,319.60M,322.40M,325.10M,327.80M,330.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,1.486B,1.903B,1.906B,1.909B,1.911B,1.914B,1.917B,1.920B,1.922B,1.925B,1.928B,1.931B,1.933B,1.936B,1.937B,1.942B,1.944B,1.947B,3.925B,3.928B,1.955B,3.934B,3.936B,3.939B,3.942B,3.945B,3.947B,3.950B,3.964B,3.967B,3.969B,3.972B,3.975B,3.978B,3.980B,3.983B,3.986B,3.989B,3.991B,3.994B,3.997B,4.000B,4.002B,4.005B,4.008B,4.011B,4.013B,4.016B,4.019B,4.103B,4.106B,4.110B,4.113B,4.155B,4.167B,4.17B,4.173B,4.176B,4.190B,4.203B,4.208B,4.220B,4.224B,4.228B,4.214B,3.728B,3.750B,3.763B,3.752B,3.725B,3.727B,3.731B,3.738B,3.704B,3.673B,3.621B,3.604B,75.18M,134.19M,136.79M,125.80M,121.70M,123.40M,80.60M,65.00M,65.80M,66.20M,67.40M,68.20M,85.40M,86.00M,80.50M,,,,,,,,,,,,
Long Term Investments,230.20M,219.70M,217.60M,210.60M,206.10M,217.10M,203.80M,206.30M,209.60M,213.30M,201.10M,200.60M,199.90M,207.00M,196.90M,201.50M,194.60M,202.50M,653.00M,656.60M,213.10M,655.20M,639.00M,610.20M,577.70M,529.40M,468.50M,451.20M,437.70M,411.70M,368.30M,361.30M,355.60M,364.50M,348.00M,338.90M,340.60M,354.50M,278.60M,308.80M,295.00M,453.10M,438.30M,276.40M,250.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Instruments,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,33.90M,36.10M,40.70M,72.10M,90.30M,114.70M,188.70M,191.40M,190.60M,188.30M,240.30M,,,,237.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,163.70M,157.00M,146.80M,134.00M,86.50M,117.20M,104.90M,98.00M,82.00M,90.40M,84.20M,86.90M,91.80M,72.10M,66.60M,65.00M,65.00M,70.30M,111.60M,86.60M,79.00M,82.30M,85.00M,85.30M,87.80M,89.00M,88.10M,94.10M,94.40M,94.50M,143.10M,150.20M,130.90M,134.60M,120.70M,140.60M,132.70M,123.80M,125.40M,140.20M,152.10M,125.30M,125.60M,117.40M,123.50M,117.80M,114.20M,120.80M,121.50M,154.30M,163.60M,162.10M,170.20M,188.00M,191.70M,178.40M,167.40M,181.40M,185.90M,185.60M,189.50M,169.50M,152.60M,148.30M,157.80M,131.00M,132.50M,179.70M,139.20M,290.90M,375.30M,389.20M,431.00M,423.70M,502.50M,439.90M,367.70M,,,,264.10M,,,,,,,,,,,,84.50M,72.20M,63.70M,57.80M,33.40M,14.60M,14.30M,15.70M,15.40M,18.10M,18.20M,18.90M
Other Long Term Assets,,,,,,,,,,,,,,,,,,,,,7.546B,,,,,,,,,0.20M,0.20M,0.20M,0.20M,2.30M,2.30M,2.30M,7.90M,1.921B,1.936B,1.991B,14.60M,1.657B,1.668B,1.832B,1.841B,1.582B,1.682B,1.852B,1.834B,1.254B,1.280B,1.281B,1.396B,899.10M,939.30M,972.90M,1.003B,986.00M,978.10M,952.90M,932.50M,932.80M,879.20M,909.80M,898.50M,1.237B,2.275B,1.002B,2.472B,894.60M,997.50M,1.138B,1.084B,1.112B,1.365B,1.273B,1.261B,762.76M,727.94M,696.00M,636.20M,807.70M,783.10M,641.10M,565.90M,557.50M,538.80M,522.10M,485.90M,484.00M,481.50M,346.10M,236.30M,213.50M,212.90M,211.90M,212.40M,203.50M,197.40M,196.10M,195.50M,231.40M,210.10M,195.70M
Total Long Term Assets,20.81B,20.75B,20.40B,19.97B,19.75B,19.33B,18.99B,18.46B,18.20B,17.94B,17.54B,17.16B,16.93B,16.69B,16.36B,16.08B,15.92B,15.42B,23.27B,22.64B,22.40B,21.70B,21.20B,20.79B,20.49B,20.34B,19.91B,19.60B,19.48B,19.00B,18.66B,18.48B,18.44B,17.88B,17.60B,17.49B,17.49B,17.33B,17.15B,17.15B,17.05B,16.83B,16.79B,16.72B,16.62B,15.97B,15.94B,15.67B,15.55B,15.38B,15.36B,15.29B,15.37B,14.79B,14.80B,14.82B,14.90B,14.77B,14.73B,14.70B,14.70B,14.70B,14.61B,14.64B,14.56B,13.83B,14.86B,14.99B,15.08B,15.00B,15.17B,14.73B,14.81B,14.69B,14.93B,14.85B,14.78B,5.739B,6.081B,6.040B,5.623B,5.829B,5.792B,5.564B,4.380B,4.355B,4.339B,4.313B,4.306B,4.272B,4.329B,4.318B,3.766B,3.698B,3.693B,3.696B,3.683B,3.635B,3.629B,3.628B,3.619B,3.628B,3.607B,3.601B
Total Assets,22.66B,22.13B,21.97B,21.89B,21.80B,20.70B,20.31B,20.10B,19.96B,19.27B,18.82B,18.64B,18.69B,18.07B,17.62B,17.47B,17.49B,17.06B,25.61B,24.90B,24.59B,23.71B,23.26B,23.11B,22.65B,22.08B,21.62B,21.64B,21.84B,20.84B,20.41B,20.45B,20.71B,19.74B,19.35B,19.48B,19.91B,19.53B,19.05B,19.35B,19.27B,19.39B,19.22B,19.35B,20.03B,19.10B,18.62B,18.19B,18.01B,17.65B,17.50B,17.56B,18.16B,17.32B,17.09B,17.56B,17.96B,17.98B,16.46B,17.10B,16.99B,16.46B,16.00B,16.48B,16.62B,15.70B,16.52B,17.25B,16.95B,16.63B,16.76B,16.67B,17.37B,17.32B,17.70B,18.50B,19.70B,7.084B,7.194B,6.956B,6.429B,6.507B,6.402B,6.226B,4.986B,4.837B,4.814B,4.900B,4.937B,4.796B,4.856B,4.911B,4.289B,4.112B,4.056B,4.080B,4.000B,3.895B,3.892B,3.911B,3.947B,3.899B,3.877B,3.936B
Accounts Payable,666.00M,494.90M,552.20M,675.20M,883.80M,433.70M,455.00M,497.30M,625.60M,447.40M,451.10M,461.60M,539.40M,352.20M,371.20M,392.70M,433.40M,349.20M,429.20M,563.90M,610.10M,427.70M,459.60M,714.40M,619.00M,369.60M,393.00M,527.40M,538.90M,300.10M,292.10M,380.70M,434.80M,244.40M,316.20M,429.60M,581.80M,242.90M,278.90M,407.10M,502.30M,214.00M,240.90M,531.60M,693.90M,498.00M,665.20M,755.90M,713.00M,449.70M,1.047B,659.50M,713.10M,461.00M,329.80M,538.70M,866.70M,535.20M,390.90M,502.30M,648.40M,295.10M,482.80M,426.20M,496.60M,397.50M,486.60M,715.90M,489.40M,331.90M,391.40M,452.60M,646.60M,531.70M,492.00M,741.80M,1.117B,368.02M,349.86M,268.05M,255.80M,265.30M,243.50M,255.00M,251.40M,189.90M,201.10M,203.90M,226.80M,179.20M,177.90M,299.80M,251.70M,146.10M,156.40M,180.60M,151.70M,115.00M,114.80M,146.00M,158.70M,148.20M,152.70M,202.10M
Dividends Payable,,94.10M,82.80M,94.00M,,82.40M,70.80M,65.80M,,58.90M,57.00M,56.70M,,53.10M,53.00M,49.70M,,49.30M,,82.40M,,82.10M,82.00M,78.70M,,78.30M,78.10M,74.80M,,74.30M,68.30M,65.30M,,64.70M,64.60M,64.50M,0.10M,64.20M,64.10M,64.00M,0.20M,63.50M,63.30M,63.20M,0.00,63.10M,63.10M,63.10M,,63.10M,63.10M,,,62.80M,62.80M,63.80M,1.10M,63.80M,63.70M,63.60M,1.10M,61.70M,61.70M,61.70M,1.80M,62.00M,77.60M,77.30M,1.10M,62.00M,62.00M,61.90M,1.80M,64.70M,60.80M,61.40M,1.00M,33.68M,33.64M,34.14M,34.50M,32.90M,32.90M,33.20M,31.10M,29.50M,30.30M,30.90M,30.80M,29.20M,29.40M,27.90M,28.30M,26.80M,27.00M,27.10M,28.20M,26.60M,26.70M,27.10M,27.10M,25.50M,25.70M,26.80M
Current Tax Payable,231.60M,157.80M,167.30M,232.80M,222.70M,150.00M,165.80M,212.80M,208.10M,148.40M,152.20M,216.60M,195.40M,130.90M,140.90M,203.10M,183.50M,137.00M,221.50M,287.10M,169.20M,189.30M,216.10M,278.60M,254.80M,181.30M,202.10M,258.20M,235.50M,172.00M,185.50M,237.30M,220.90M,157.80M,179.50M,244.40M,221.10M,168.40M,227.80M,296.80M,212.90M,148.00M,209.10M,259.40M,206.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Payables,59.70M,54.80M,42.30M,15.50M,85.50M,58.20M,36.90M,11.50M,59.60M,68.00M,46.60M,23.30M,83.70M,58.20M,37.70M,25.80M,62.30M,66.80M,63.90M,65.80M,101.50M,143.10M,139.20M,143.10M,186.40M,207.30M,126.30M,76.00M,146.20M,124.70M,101.40M,66.30M,168.20M,178.30M,155.40M,139.40M,266.10M,211.00M,207.10M,151.40M,222.20M,240.10M,319.40M,339.00M,555.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
