date,shares_outstanding
"June 30, 1988",44.55M
"March 31, 1988",44.55M
"Dec. 31, 1987",44.55M
"Sept. 30, 1987",44.48M
"June 30, 1987",44.45M
"March 31, 1987",44.40M
"Dec. 31, 1986",44.37M
"Sept. 30, 1986",43.97M
"June 30, 1986",43.48M
"March 31, 1986",43.12M
"Dec. 31, 1985",43.45M
"Sept. 30, 1985",42.78M
"June 30, 1985",42.03M
"March 31, 1985",42.03M
"Dec. 31, 1984",42.01M
"Sept. 30, 1984",41.18M
"June 30, 1984",40.72M
"March 31, 1984",40.69M
