date,market_cap
"Sept. 28, 2017",68.97B
"Sept. 27, 2017",68.63B
"Sept. 26, 2017",69.31B
"Sept. 25, 2017",68.89B
"Sept. 22, 2017",68.68B
"Sept. 21, 2017",68.87B
"Sept. 20, 2017",68.86B
"Sept. 19, 2017",69.41B
"Sept. 18, 2017",69.59B
"Sept. 15, 2017",70.43B
"Sept. 14, 2017",70.17B
"Sept. 13, 2017",69.53B
"Sept. 12, 2017",69.98B
"Sept. 11, 2017",71.04B
"Sept. 8, 2017",69.57B
"Sept. 7, 2017",70.15B
"Sept. 6, 2017",69.56B
"Sept. 5, 2017",70.51B
"Sept. 1, 2017",70.46B
"Aug. 31, 2017",70.62B
"Aug. 30, 2017",70.68B
"Aug. 29, 2017",70.72B
"Aug. 28, 2017",70.80B
"Aug. 25, 2017",70.43B
"Aug. 24, 2017",70.06B
"Aug. 23, 2017",70.22B
"Aug. 22, 2017",70.78B
"Aug. 21, 2017",70.60B
"Aug. 18, 2017",70.35B
"Aug. 17, 2017",69.73B
"Aug. 16, 2017",70.38B
"Aug. 15, 2017",69.94B
"Aug. 14, 2017",69.47B
"Aug. 11, 2017",69.06B
"Aug. 10, 2017",69.32B
"Aug. 9, 2017",69.09B
"Aug. 8, 2017",69.14B
"Aug. 7, 2017",69.02B
"Aug. 4, 2017",68.86B
"Aug. 3, 2017",69.23B
"Aug. 2, 2017",68.86B
"Aug. 1, 2017",68.78B
"July 31, 2017",68.55B
"July 28, 2017",68.10B
"July 27, 2017",67.87B
"July 26, 2017",68.27B
"July 25, 2017",67.15B
"July 24, 2017",67.17B
"July 21, 2017",67.74B
"July 20, 2017",67.33B
"July 19, 2017",66.54B
"July 18, 2017",66.39B
"July 17, 2017",66.15B
"July 14, 2017",66.47B
"July 13, 2017",65.96B
"July 12, 2017",66.06B
"July 11, 2017",66.04B
"July 10, 2017",66.18B
"July 7, 2017",65.92B
"July 6, 2017",65.49B
"July 5, 2017",65.14B
"July 3, 2017",65.51B
"June 30, 2017",65.75B
"June 29, 2017",65.53B
"June 28, 2017",66.02B
"June 27, 2017",66.61B
"June 26, 2017",67.52B
"June 23, 2017",67.01B
"June 22, 2017",66.29B
"June 21, 2017",66.04B
"June 20, 2017",66.46B
"June 19, 2017",66.66B
"June 16, 2017",66.87B
"June 15, 2017",66.42B
"June 14, 2017",66.08B
"June 13, 2017",65.52B
"June 12, 2017",65.27B
"June 9, 2017",65.66B
"June 8, 2017",66.22B
"June 7, 2017",66.75B
"June 6, 2017",66.44B
"June 5, 2017",66.41B
"June 2, 2017",66.81B
"June 1, 2017",66.43B
"May 31, 2017",66.22B
"May 30, 2017",65.85B
"May 26, 2017",65.88B
"May 25, 2017",65.87B
"May 24, 2017",65.61B
"May 23, 2017",65.06B
"May 22, 2017",64.77B
"May 19, 2017",64.27B
"May 18, 2017",64.11B
"May 17, 2017",63.88B
"May 16, 2017",63.62B
"May 15, 2017",63.73B
"May 12, 2017",63.46B
"May 11, 2017",63.03B
"May 10, 2017",62.81B
"May 9, 2017",62.63B
"May 8, 2017",63.18B
"May 5, 2017",62.89B
"May 4, 2017",62.89B
"May 3, 2017",62.43B
"May 2, 2017",62.74B
"May 1, 2017",62.28B
"April 28, 2017",62.53B
"April 27, 2017",62.51B
"April 26, 2017",62.19B
"April 25, 2017",62.23B
"April 24, 2017",62.15B
"April 21, 2017",62.28B
"April 20, 2017",61.27B
"April 19, 2017",61.56B
"April 18, 2017",61.77B
"April 17, 2017",61.29B
"April 13, 2017",61.22B
"April 12, 2017",61.10B
"April 11, 2017",60.54B
"April 10, 2017",60.59B
"April 7, 2017",60.36B
"April 6, 2017",60.75B
"April 5, 2017",61.16B
"April 4, 2017",60.65B
"April 3, 2017",60.26B
"March 31, 2017",60.10B
"March 30, 2017",59.99B
"March 29, 2017",61.12B
"March 28, 2017",61.45B
"March 27, 2017",61.38B
"March 24, 2017",62.17B
"March 23, 2017",61.84B
"March 22, 2017",61.91B
"March 21, 2017",61.65B
"March 20, 2017",60.73B
"March 17, 2017",60.89B
"March 16, 2017",60.74B
"March 15, 2017",61.67B
"March 14, 2017",61.05B
"March 13, 2017",61.00B
"March 10, 2017",60.81B
"March 9, 2017",60.20B
"March 8, 2017",60.52B
"March 7, 2017",61.09B
"March 6, 2017",61.08B
"March 3, 2017",61.16B
"March 2, 2017",61.23B
"March 1, 2017",60.51B
"Feb. 28, 2017",61.25B
"Feb. 27, 2017",60.72B
"Feb. 24, 2017",61.23B
"Feb. 23, 2017",60.40B
"Feb. 22, 2017",60.06B
"Feb. 21, 2017",59.97B
"Feb. 17, 2017",59.32B
"Feb. 16, 2017",59.00B
"Feb. 15, 2017",58.58B
"Feb. 14, 2017",58.92B
"Feb. 13, 2017",58.92B
"Feb. 10, 2017",58.67B
"Feb. 9, 2017",58.28B
"Feb. 8, 2017",59.06B
"Feb. 7, 2017",58.13B
"Feb. 6, 2017",57.91B
"Feb. 3, 2017",58.08B
"Feb. 2, 2017",57.73B
"Feb. 1, 2017",57.33B
"Jan. 31, 2017",57.85B
"Jan. 30, 2017",57.31B
"Jan. 27, 2017",56.80B
"Jan. 26, 2017",55.58B
"Jan. 25, 2017",55.70B
"Jan. 24, 2017",55.60B
"Jan. 23, 2017",55.59B
"Jan. 20, 2017",55.81B
"Jan. 19, 2017",55.82B
"Jan. 18, 2017",56.17B
"Jan. 17, 2017",56.26B
"Jan. 13, 2017",55.72B
"Jan. 12, 2017",55.93B
"Jan. 11, 2017",55.88B
"Jan. 10, 2017",55.50B
"Jan. 9, 2017",55.39B
"Jan. 6, 2017",55.53B
"Jan. 5, 2017",55.69B
"Jan. 4, 2017",55.72B
"Jan. 3, 2017",55.56B
"Dec. 30, 2016",55.82B
"Dec. 29, 2016",56.16B
"Dec. 28, 2016",55.44B
"Dec. 27, 2016",55.72B
"Dec. 23, 2016",55.71B
"Dec. 22, 2016",55.56B
"Dec. 21, 2016",55.42B
"Dec. 20, 2016",55.75B
"Dec. 19, 2016",55.71B
"Dec. 16, 2016",55.56B
"Dec. 15, 2016",54.68B
"Dec. 14, 2016",54.22B
"Dec. 13, 2016",55.61B
"Dec. 12, 2016",54.88B
"Dec. 9, 2016",54.43B
"Dec. 8, 2016",54.61B
"Dec. 7, 2016",54.99B
"Dec. 6, 2016",53.62B
"Dec. 5, 2016",53.74B
"Dec. 2, 2016",53.46B
"Dec. 1, 2016",52.78B
"Nov. 30, 2016",53.38B
"Nov. 29, 2016",54.80B
"Nov. 28, 2016",54.34B
"Nov. 25, 2016",53.62B
