date,max_drawdown_all
"Nov. 30, 1996",67.35%
"Oct. 31, 1996",67.35%
"Sept. 30, 1996",67.35%
"Aug. 31, 1996",67.35%
"July 31, 1996",67.35%
"June 30, 1996",67.35%
"May 31, 1996",67.35%
"April 30, 1996",67.35%
"March 31, 1996",67.35%
"Feb. 29, 1996",67.35%
"Jan. 31, 1996",67.35%
"Dec. 31, 1995",67.35%
"Nov. 30, 1995",67.35%
"Oct. 31, 1995",67.35%
"Sept. 30, 1995",67.35%
"Aug. 31, 1995",67.35%
"July 31, 1995",67.35%
"June 30, 1995",67.35%
"May 31, 1995",67.35%
"April 30, 1995",67.35%
"March 31, 1995",67.35%
"Feb. 28, 1995",67.35%
"Jan. 31, 1995",67.35%
"Dec. 31, 1994",67.35%
"Nov. 30, 1994",67.35%
"Oct. 31, 1994",67.35%
"Sept. 30, 1994",67.35%
"Aug. 31, 1994",67.35%
"July 31, 1994",67.35%
"June 30, 1994",67.35%
"May 31, 1994",67.35%
"April 30, 1994",67.35%
"March 31, 1994",67.35%
"Feb. 28, 1994",67.35%
"Jan. 31, 1994",67.35%
"Dec. 31, 1993",67.35%
"Nov. 30, 1993",67.35%
"Oct. 31, 1993",67.35%
"Sept. 30, 1993",67.35%
"Aug. 31, 1993",67.35%
"July 31, 1993",67.35%
"June 30, 1993",67.35%
"May 31, 1993",67.35%
"April 30, 1993",67.35%
"March 31, 1993",67.35%
"Feb. 28, 1993",67.35%
"Jan. 31, 1993",67.35%
"Dec. 31, 1992",67.35%
"Nov. 30, 1992",67.35%
"Oct. 31, 1992",67.35%
"Sept. 30, 1992",67.35%
"Aug. 31, 1992",67.35%
"July 31, 1992",67.35%
"June 30, 1992",67.35%
"May 31, 1992",67.35%
"April 30, 1992",67.35%
"March 31, 1992",67.35%
"Feb. 29, 1992",67.35%
"Jan. 31, 1992",67.35%
"Dec. 31, 1991",67.35%
"Nov. 30, 1991",67.35%
"Oct. 31, 1991",67.35%
"Sept. 30, 1991",67.35%
"Aug. 31, 1991",67.35%
"July 31, 1991",67.35%
"June 30, 1991",67.35%
"May 31, 1991",67.35%
"April 30, 1991",67.35%
"March 31, 1991",67.35%
"Feb. 28, 1991",67.35%
"Jan. 31, 1991",67.35%
"Dec. 31, 1990",67.35%
"Nov. 30, 1990",67.35%
"Oct. 31, 1990",67.35%
"Sept. 30, 1990",67.35%
"Aug. 31, 1990",67.35%
"July 31, 1990",67.35%
"June 30, 1990",67.35%
"May 31, 1990",67.35%
"April 30, 1990",67.35%
"March 31, 1990",67.35%
"Feb. 28, 1990",67.35%
"Jan. 31, 1990",67.35%
"Dec. 31, 1989",67.35%
"Nov. 30, 1989",67.35%
"Oct. 31, 1989",67.35%
"Sept. 30, 1989",67.35%
"Aug. 31, 1989",67.35%
"July 31, 1989",67.35%
"June 30, 1989",67.35%
"May 31, 1989",67.35%
"April 30, 1989",67.35%
"March 31, 1989",67.35%
"Feb. 28, 1989",67.35%
"Jan. 31, 1989",67.35%
"Dec. 31, 1988",67.35%
"Nov. 30, 1988",67.35%
"Oct. 31, 1988",67.35%
"Sept. 30, 1988",67.35%
"Aug. 31, 1988",67.35%
"July 31, 1988",67.35%
"June 30, 1988",67.35%
"May 31, 1988",67.35%
"April 30, 1988",67.35%
"March 31, 1988",67.35%
"Feb. 29, 1988",67.35%
"Jan. 31, 1988",67.35%
"Dec. 31, 1987",67.35%
"Nov. 30, 1987",67.35%
"Oct. 31, 1987",67.35%
"Sept. 30, 1987",67.35%
"Aug. 31, 1987",67.35%
"July 31, 1987",67.35%
"June 30, 1987",67.35%
"May 31, 1987",67.35%
"April 30, 1987",67.35%
"March 31, 1987",67.35%
"Feb. 28, 1987",67.35%
"Jan. 31, 1987",67.35%
"Dec. 31, 1986",67.35%
"Nov. 30, 1986",67.35%
"Oct. 31, 1986",67.35%
"Sept. 30, 1986",67.35%
"Aug. 31, 1986",67.35%
"July 31, 1986",67.35%
"June 30, 1986",67.35%
"May 31, 1986",67.35%
"April 30, 1986",67.35%
"March 31, 1986",67.35%
"Feb. 28, 1986",67.35%
"Jan. 31, 1986",67.35%
"Dec. 31, 1985",67.35%
"Nov. 30, 1985",67.35%
"Oct. 31, 1985",67.35%
"Sept. 30, 1985",67.35%
"Aug. 31, 1985",67.35%
"July 31, 1985",67.35%
"June 30, 1985",67.35%
"May 31, 1985",67.35%
"April 30, 1985",67.35%
"March 31, 1985",67.35%
"Feb. 28, 1985",67.35%
"Jan. 31, 1985",67.35%
"Dec. 31, 1984",67.35%
"Nov. 30, 1984",67.35%
"Oct. 31, 1984",67.35%
"Sept. 30, 1984",67.35%
"Aug. 31, 1984",67.35%
"July 31, 1984",67.35%
"June 30, 1984",67.35%
"May 31, 1984",67.35%
"April 30, 1984",67.35%
"March 31, 1984",67.35%
"Feb. 29, 1984",67.35%
"Jan. 31, 1984",67.35%
"Dec. 31, 1983",67.35%
"Nov. 30, 1983",67.35%
"Oct. 31, 1983",67.35%
"Sept. 30, 1983",67.35%
"Aug. 31, 1983",67.35%
"July 31, 1983",67.35%
"June 30, 1983",67.35%
"May 31, 1983",67.35%
"April 30, 1983",67.35%
"March 31, 1983",67.35%
"Feb. 28, 1983",67.35%
"Jan. 31, 1983",67.35%
