date,shares_outstanding
"June 30, 1993",370.96M
"March 31, 1993",370.74M
"Dec. 31, 1992",365.58M
"Sept. 30, 1992",357.40M
"June 30, 1992",349.73M
"March 31, 1992",346.79M
"Dec. 31, 1991",341.51M
"Sept. 30, 1991",329.03M
"June 30, 1991",324.38M
"March 31, 1991",323.33M
"Dec. 31, 1990",322.13M
"Sept. 30, 1990",273.11M
"June 30, 1990",271.46M
"March 31, 1990",270.13M
"Dec. 31, 1989",264.44M
"Sept. 30, 1989",262.99M
"June 30, 1989",262.24M
"March 31, 1989",260.06M
"Dec. 31, 1988",262.24M
"Sept. 30, 1988",260.06M
"June 30, 1988",260.06M
"March 31, 1988",260.06M
"Dec. 31, 1987",260.06M
"Sept. 30, 1987",260.06M
"June 30, 1987",260.06M
"March 31, 1987",260.06M
"Dec. 31, 1986",260.06M
"Sept. 30, 1986",255.64M
"June 30, 1986",251.17M
"March 31, 1986",250.34M
"Dec. 31, 1985",242.10M
"Sept. 30, 1985",239.53M
"June 30, 1985",236.54M
"March 31, 1985",236.54M
"Dec. 31, 1984",236.54M
"Sept. 30, 1984",231.78M
"June 30, 1984",231.78M
"March 31, 1984",231.78M
