date,shares_outstanding
"April 17, 2003",778.90M
"March 31, 2003",778.90M
"Dec. 31, 2002",776.66M
"Oct. 25, 2002",774.65M
"Sept. 30, 2002",774.65M
"July 24, 2002",772.92M
"June 30, 2002",772.92M
"April 26, 2002",771.68M
"March 31, 2002",771.68M
"Dec. 31, 2001",766.77M
"Nov. 9, 2001",765.35M
"Sept. 30, 2001",765.35M
"July 27, 2001",763.40M
"June 30, 2001",763.40M
"April 27, 2001",761.64M
"March 31, 2001",757.16M
"Jan. 12, 2001",757.54M
"Dec. 31, 2000",756.24M
"Oct. 26, 2000",752.78M
"Sept. 30, 2000",752.78M
"July 31, 2000",747.85M
"June 30, 2000",747.85M
"April 26, 2000",744.34M
"March 31, 2000",744.34M
"Feb. 29, 2000",746.12M
"Dec. 31, 1999",749.14M
"Sept. 30, 1999",756.65M
"June 30, 1999",756.42M
"March 31, 1999",755.03M
"March 1, 1999",752.41M
"Dec. 31, 1998",747.68M
"Sept. 30, 1998",756.81M
"June 30, 1998",755.49M
"March 31, 1998",753.15M
"March 2, 1998",751.37M
"Dec. 31, 1997",746.57M
"Sept. 30, 1997",744.93M
"June 30, 1997",739.14M
"March 31, 1997",737.01M
"Feb. 28, 1997",735.76M
"Dec. 31, 1996",734.63M
"Sept. 30, 1996",734.23M
"June 30, 1996",733.64M
"March 31, 1996",732.58M
"Feb. 29, 1996",731.02M
"Dec. 31, 1995",729.17M
"Sept. 30, 1995",728.65M
"June 30, 1995",727.92M
"March 31, 1995",741.82M
"Feb. 28, 1995",725.76M
"Dec. 31, 1994",723.79M
"Sept. 30, 1994",744.32M
"June 30, 1994",744.59M
"March 31, 1994",722.39M
"Dec. 31, 1993",721.26M
"Sept. 30, 1993",702.82M
"June 30, 1993",702.16M
"March 31, 1993",701.34M
"Dec. 31, 1992",700.44M
"Sept. 30, 1992",699.78M
"June 30, 1992",699.53M
"March 31, 1992",699.09M
"Dec. 31, 1991",639.62M
"Sept. 30, 1991",639.33M
"June 30, 1991",638.90M
"March 31, 1991",638.89M
"Dec. 31, 1990",638.66M
"Sept. 30, 1990",638.51M
"June 30, 1990",641.96M
"March 31, 1990",652.05M
"Dec. 31, 1989",663.71M
"Sept. 30, 1989",680.39M
"June 30, 1989",680.39M
"March 31, 1989",680.39M
"Dec. 31, 1988",712.23M
"Sept. 30, 1988",711.02M
"June 30, 1988",711.02M
"March 31, 1988",732.59M
"Dec. 31, 1987",711.02M
"Sept. 30, 1987",732.59M
"June 30, 1987",732.59M
"March 31, 1987",732.59M
"Dec. 31, 1986",732.59M
"Sept. 30, 1986",732.59M
"June 30, 1986",732.59M
"March 31, 1986",732.59M
"Dec. 31, 1985",731.74M
"Sept. 30, 1985",690.87M
"June 30, 1985",670.78M
"March 31, 1985",670.78M
"Dec. 31, 1984",669.92M
"Sept. 30, 1984",668.81M
"June 30, 1984",668.81M
"March 31, 1984",668.81M
