date,market_cap
"Jan. 7, 2019",83.58B
"Jan. 4, 2019",83.86B
"Jan. 3, 2019",81.04B
"Jan. 2, 2019",83.41B
"Dec. 31, 2018",83.68B
"Dec. 28, 2018",82.94B
"Dec. 27, 2018",84.02B
"Dec. 26, 2018",83.01B
"Dec. 24, 2018",77.24B
"Dec. 21, 2018",80.34B
"Dec. 20, 2018",80.72B
"Dec. 19, 2018",81.04B
"Dec. 18, 2018",83.59B
"Dec. 17, 2018",83.23B
"Dec. 14, 2018",84.77B
"Dec. 13, 2018",86.59B
"Dec. 12, 2018",86.96B
"Dec. 11, 2018",89.00B
"Dec. 10, 2018",89.70B
"Dec. 7, 2018",90.49B
"Dec. 6, 2018",92.83B
"Dec. 4, 2018",91.74B
"Dec. 3, 2018",99.04B
"Nov. 30, 2018",99.06B
"Nov. 29, 2018",97.32B
"Nov. 28, 2018",97.57B
"Nov. 27, 2018",95.81B
"Nov. 26, 2018",95.06B
"Nov. 23, 2018",93.39B
"Nov. 21, 2018",93.46B
"Nov. 20, 2018",93.23B
"Nov. 19, 2018",95.62B
"Nov. 16, 2018",94.59B
"Nov. 15, 2018",94.90B
"Nov. 14, 2018",94.09B
"Nov. 13, 2018",94.00B
"Nov. 12, 2018",92.56B
"Nov. 9, 2018",94.09B
"Nov. 8, 2018",95.80B
"Nov. 7, 2018",95.49B
"Nov. 6, 2018",93.35B
"Nov. 5, 2018",91.78B
"Nov. 2, 2018",91.07B
"Nov. 1, 2018",92.38B
"Oct. 31, 2018",91.54B
"Oct. 30, 2018",92.00B
"Oct. 29, 2018",90.33B
"Oct. 26, 2018",90.49B
"Oct. 25, 2018",92.64B
"Oct. 24, 2018",92.74B
"Oct. 23, 2018",98.13B
"Oct. 22, 2018",99.33B
"Oct. 19, 2018",100.06B
"Oct. 18, 2018",98.55B
"Oct. 17, 2018",101.37B
"Oct. 16, 2018",100.92B
"Oct. 15, 2018",99.45B
"Oct. 12, 2018",99.33B
"Oct. 11, 2018",97.72B
"Oct. 10, 2018",100.20B
"Oct. 9, 2018",101.29B
"Oct. 8, 2018",102.03B
"Oct. 5, 2018",100.71B
"Oct. 4, 2018",100.77B
"Oct. 3, 2018",101.17B
"Oct. 2, 2018",100.49B
"Oct. 1, 2018",100.90B
"Sept. 28, 2018",100.45B
"Sept. 27, 2018",100.43B
"Sept. 26, 2018",100.40B
"Sept. 25, 2018",100.02B
"Sept. 24, 2018",100.94B
"Sept. 21, 2018",101.94B
"Sept. 20, 2018",102.48B
"Sept. 19, 2018",101.74B
"Sept. 18, 2018",101.73B
"Sept. 17, 2018",102.46B
"Sept. 14, 2018",103.58B
"Sept. 13, 2018",102.98B
"Sept. 12, 2018",106.08B
"Sept. 11, 2018",105.88B
"Sept. 10, 2018",106.98B
"Sept. 7, 2018",105.81B
"Sept. 6, 2018",106.42B
"Sept. 5, 2018",107.25B
"Sept. 4, 2018",106.98B
"Aug. 31, 2018",105.72B
"Aug. 30, 2018",105.69B
"Aug. 29, 2018",106.23B
"Aug. 28, 2018",105.61B
"Aug. 27, 2018",106.55B
"Aug. 24, 2018",105.60B
"Aug. 23, 2018",104.71B
"Aug. 22, 2018",104.85B
"Aug. 21, 2018",105.83B
"Aug. 20, 2018",105.44B
"Aug. 17, 2018",104.79B
"Aug. 16, 2018",104.20B
"Aug. 15, 2018",103.28B
"Aug. 14, 2018",102.36B
"Aug. 13, 2018",101.66B
"Aug. 10, 2018",102.61B
"Aug. 9, 2018",103.99B
"Aug. 8, 2018",103.74B
"Aug. 7, 2018",103.25B
"Aug. 6, 2018",102.85B
"Aug. 3, 2018",102.51B
"Aug. 2, 2018",102.04B
"Aug. 1, 2018",102.69B
"July 31, 2018",103.15B
"July 30, 2018",102.13B
"July 27, 2018",102.09B
"July 26, 2018",102.27B
"July 25, 2018",103.41B
"July 24, 2018",96.70B
"July 23, 2018",96.93B
"July 20, 2018",96.38B
"July 19, 2018",97.04B
"July 18, 2018",96.46B
"July 17, 2018",95.52B
"July 16, 2018",95.16B
