date,enterprise_value
"Oct. 25, 2017",6.764B
"Oct. 24, 2017",7.053B
"Oct. 23, 2017",6.815B
"Oct. 20, 2017",6.966B
"Oct. 19, 2017",6.963B
"Oct. 18, 2017",6.876B
"Oct. 17, 2017",6.912B
"Oct. 16, 2017",6.931B
"Oct. 13, 2017",6.973B
"Oct. 12, 2017",6.963B
"Oct. 11, 2017",7.024B
"Oct. 10, 2017",6.928B
"Oct. 9, 2017",6.690B
"Oct. 6, 2017",6.739B
"Oct. 5, 2017",6.626B
"Oct. 4, 2017",6.639B
"Oct. 3, 2017",6.796B
"Oct. 2, 2017",6.376B
"Sept. 30, 2017",6.383B
"Sept. 29, 2017",6.281B
"Sept. 28, 2017",6.275B
"Sept. 27, 2017",6.288B
"Sept. 26, 2017",6.336B
"Sept. 25, 2017",6.391B
"Sept. 22, 2017",6.310B
"Sept. 21, 2017",6.401B
"Sept. 20, 2017",6.514B
"Sept. 19, 2017",6.446B
"Sept. 18, 2017",6.485B
"Sept. 15, 2017",6.556B
"Sept. 14, 2017",6.553B
"Sept. 13, 2017",6.547B
"Sept. 12, 2017",6.686B
"Sept. 11, 2017",6.659B
"Sept. 8, 2017",6.435B
"Sept. 7, 2017",6.287B
"Sept. 6, 2017",6.485B
"Sept. 5, 2017",6.587B
"Sept. 1, 2017",6.804B
"Aug. 31, 2017",6.801B
"Aug. 30, 2017",6.771B
"Aug. 29, 2017",6.768B
"Aug. 28, 2017",6.728B
"Aug. 25, 2017",6.814B
"Aug. 24, 2017",6.646B
"Aug. 23, 2017",6.745B
"Aug. 22, 2017",6.962B
"Aug. 21, 2017",6.929B
"Aug. 18, 2017",6.955B
"Aug. 17, 2017",7.024B
"Aug. 16, 2017",7.458B
"Aug. 15, 2017",7.462B
"Aug. 14, 2017",7.412B
"Aug. 11, 2017",7.297B
"Aug. 10, 2017",7.343B
"Aug. 9, 2017",7.472B
"Aug. 8, 2017",7.458B
"Aug. 7, 2017",7.567B
"Aug. 4, 2017",7.662B
"Aug. 3, 2017",7.564B
"Aug. 2, 2017",7.564B
"Aug. 1, 2017",7.514B
"July 31, 2017",7.498B
"July 28, 2017",7.541B
"July 27, 2017",7.425B
"July 26, 2017",7.544B
"July 25, 2017",7.774B
"July 24, 2017",7.771B
"July 21, 2017",7.998B
"July 20, 2017",7.958B
"July 19, 2017",7.958B
"July 18, 2017",7.935B
"July 17, 2017",8.022B
"July 14, 2017",7.991B
"July 13, 2017",8.096B
"July 12, 2017",7.945B
"July 11, 2017",7.827B
"July 10, 2017",7.886B
"July 7, 2017",7.968B
"July 6, 2017",7.810B
"July 5, 2017",7.863B
"July 3, 2017",7.856B
"June 30, 2017",7.794B
"June 29, 2017",7.915B
"June 28, 2017",7.952B
"June 27, 2017",7.869B
"June 26, 2017",7.845B
"June 23, 2017",7.765B
"June 22, 2017",7.742B
"June 21, 2017",7.812B
"June 20, 2017",7.789B
"June 19, 2017",7.939B
"June 16, 2017",7.895B
"June 15, 2017",7.976B
"June 14, 2017",8.086B
"June 13, 2017",7.982B
"June 12, 2017",7.902B
"June 9, 2017",7.889B
"June 8, 2017",7.889B
"June 7, 2017",7.969B
"June 6, 2017",7.839B
"June 5, 2017",7.879B
"June 2, 2017",7.915B
"June 1, 2017",7.849B
"May 31, 2017",7.772B
"May 30, 2017",7.795B
"May 26, 2017",7.949B
"May 25, 2017",7.902B
"May 24, 2017",7.755B
"May 23, 2017",7.659B
"May 22, 2017",7.488B
"May 19, 2017",7.392B
"May 18, 2017",7.301B
"May 17, 2017",7.285B
"May 16, 2017",7.468B
"May 15, 2017",7.385B
"May 12, 2017",7.375B
"May 11, 2017",7.492B
"May 10, 2017",7.508B
"May 9, 2017",7.578B
"May 8, 2017",7.435B
"May 5, 2017",7.468B
"May 4, 2017",7.478B
"May 3, 2017",7.598B
"May 2, 2017",7.652B
"May 1, 2017",7.505B
"April 28, 2017",7.575B
"April 27, 2017",7.679B
"April 26, 2017",7.715B
"April 25, 2017",7.789B
"April 24, 2017",7.548B
"April 21, 2017",7.475B
"April 20, 2017",7.428B
"April 19, 2017",7.365B
"April 18, 2017",7.228B
"April 17, 2017",7.271B
"April 13, 2017",7.208B
"April 12, 2017",7.365B
"April 11, 2017",7.478B
"April 10, 2017",7.382B
"April 7, 2017",7.332B
"April 6, 2017",7.268B
"April 5, 2017",7.155B
"April 4, 2017",7.135B
"April 3, 2017",7.178B
"March 31, 2017",7.168B
"March 30, 2017",7.328B
"March 29, 2017",7.298B
"March 28, 2017",7.358B
"March 27, 2017",7.181B
"March 24, 2017",7.064B
"March 23, 2017",7.127B
"March 22, 2017",7.086B
"March 21, 2017",7.073B
"March 20, 2017",7.251B
"March 17, 2017",7.208B
"March 16, 2017",7.160B
"March 15, 2017",7.184B
"March 14, 2017",7.027B
"March 13, 2017",7.167B
"March 10, 2017",7.167B
"March 9, 2017",6.842B
"March 8, 2017",6.945B
"March 7, 2017",6.904B
"March 6, 2017",6.955B
"March 3, 2017",7.221B
"March 2, 2017",7.117B
"March 1, 2017",7.322B
"Feb. 28, 2017",7.140B
"Feb. 27, 2017",7.144B
"Feb. 24, 2017",7.009B
"Feb. 23, 2017",7.022B
"Feb. 22, 2017",7.127B
"Feb. 21, 2017",7.187B
"Feb. 17, 2017",7.191B
"Feb. 16, 2017",7.100B
"Feb. 15, 2017",7.123B
"Feb. 14, 2017",7.039B
"Feb. 13, 2017",7.100B
"Feb. 10, 2017",7.086B
"Feb. 9, 2017",7.144B
"Feb. 8, 2017",6.914B
"Feb. 7, 2017",6.770B
"Feb. 6, 2017",6.985B
"Feb. 3, 2017",6.985B
"Feb. 2, 2017",6.941B
"Feb. 1, 2017",6.945B
"Jan. 31, 2017",7.022B
"Jan. 30, 2017",6.937B
"Jan. 27, 2017",7.035B
"Jan. 26, 2017",7.524B
"Jan. 25, 2017",7.749B
"Jan. 24, 2017",7.632B
"Jan. 23, 2017",7.503B
"Jan. 20, 2017",7.628B
"Jan. 19, 2017",7.611B
"Jan. 18, 2017",7.655B
"Jan. 17, 2017",7.605B
"Jan. 13, 2017",7.746B
"Jan. 12, 2017",7.766B
"Jan. 11, 2017",8.090B
"Jan. 10, 2017",7.999B
"Jan. 9, 2017",7.844B
"Jan. 6, 2017",7.770B
"Jan. 5, 2017",7.918B
"Jan. 4, 2017",8.046B
"Jan. 3, 2017",7.958B
"Dec. 31, 2016",7.969B
"Dec. 30, 2016",7.493B
"Dec. 29, 2016",7.402B
"Dec. 28, 2016",7.367B
"Dec. 27, 2016",7.448B
"Dec. 23, 2016",7.445B
"Dec. 22, 2016",7.419B
"Dec. 21, 2016",7.587B
"Dec. 20, 2016",7.613B
"Dec. 19, 2016",7.522B
"Dec. 16, 2016",7.415B
"Dec. 15, 2016",7.516B
"Dec. 14, 2016",7.406B
"Dec. 13, 2016",7.529B
"Dec. 12, 2016",7.234B
"Dec. 9, 2016",7.325B
"Dec. 8, 2016",7.302B
"Dec. 7, 2016",7.322B
"Dec. 6, 2016",7.095B
"Dec. 5, 2016",7.001B
"Dec. 2, 2016",7.011B
"Dec. 1, 2016",6.839B
"Nov. 30, 2016",6.739B
"Nov. 29, 2016",6.936B
"Nov. 28, 2016",6.904B
"Nov. 25, 2016",7.053B
"Nov. 23, 2016",7.027B
"Nov. 22, 2016",6.943B
"Nov. 21, 2016",6.927B
"Nov. 18, 2016",6.946B
"Nov. 17, 2016",6.949B
"Nov. 16, 2016",6.778B
"Nov. 15, 2016",6.852B
"Nov. 14, 2016",6.622B
"Nov. 11, 2016",6.467B
"Nov. 10, 2016",6.451B
"Nov. 9, 2016",6.214B
"Nov. 8, 2016",6.143B
"Nov. 7, 2016",6.014B
"Nov. 4, 2016",5.742B
"Nov. 3, 2016",5.716B
"Nov. 2, 2016",5.726B
"Nov. 1, 2016",5.829B
"Oct. 31, 2016",5.894B
"Oct. 28, 2016",5.823B
"Oct. 27, 2016",5.855B
"Oct. 26, 2016",5.917B
"Oct. 25, 2016",6.085B
"Oct. 24, 2016",6.305B
"Oct. 21, 2016",6.247B
"Oct. 20, 2016",6.256B
"Oct. 19, 2016",6.140B
"Oct. 18, 2016",5.991B
"Oct. 17, 2016",5.988B
"Oct. 14, 2016",6.010B
"Oct. 13, 2016",6.133B
"Oct. 12, 2016",5.988B
"Oct. 11, 2016",6.017B
"Oct. 10, 2016",6.010B
"Oct. 7, 2016",5.865B
"Oct. 6, 2016",5.939B
"Oct. 5, 2016",6.017B
"Oct. 4, 2016",6.007B
"Oct. 3, 2016",5.952B
"Sept. 30, 2016",5.816B
"Sept. 29, 2016",5.786B
