date,market_cap
"Oct. 18, 2018",4.980B
"Oct. 17, 2018",5.142B
"Oct. 16, 2018",5.139B
"Oct. 15, 2018",5.023B
"Oct. 12, 2018",4.986B
"Oct. 11, 2018",4.941B
"Oct. 10, 2018",5.069B
"Oct. 9, 2018",5.297B
"Oct. 8, 2018",5.480B
"Oct. 5, 2018",5.517B
"Oct. 4, 2018",5.632B
"Oct. 3, 2018",5.648B
"Oct. 2, 2018",5.770B
"Oct. 1, 2018",5.788B
"Sept. 28, 2018",5.946B
"Sept. 27, 2018",5.953B
"Sept. 26, 2018",5.888B
"Sept. 25, 2018",5.928B
"Sept. 24, 2018",5.986B
"Sept. 21, 2018",6.109B
"Sept. 20, 2018",6.115B
"Sept. 19, 2018",6.109B
"Sept. 18, 2018",6.063B
"Sept. 17, 2018",6.032B
"Sept. 14, 2018",5.891B
"Sept. 13, 2018",5.903B
"Sept. 12, 2018",5.827B
"Sept. 11, 2018",5.848B
"Sept. 10, 2018",5.842B
"Sept. 7, 2018",5.774B
"Sept. 6, 2018",5.823B
"Sept. 5, 2018",5.857B
"Sept. 4, 2018",5.903B
"Aug. 31, 2018",5.860B
"Aug. 30, 2018",5.885B
"Aug. 29, 2018",5.900B
"Aug. 28, 2018",5.839B
"Aug. 27, 2018",5.716B
"Aug. 24, 2018",5.722B
"Aug. 23, 2018",5.805B
"Aug. 22, 2018",5.820B
"Aug. 21, 2018",5.928B
"Aug. 20, 2018",5.916B
"Aug. 17, 2018",5.774B
"Aug. 16, 2018",5.731B
"Aug. 15, 2018",5.682B
"Aug. 14, 2018",5.627B
"Aug. 13, 2018",5.581B
"Aug. 10, 2018",5.667B
"Aug. 9, 2018",5.682B
"Aug. 8, 2018",5.670B
"Aug. 7, 2018",5.593B
"Aug. 6, 2018",5.636B
"Aug. 3, 2018",5.605B
"Aug. 2, 2018",5.470B
"Aug. 1, 2018",5.490B
"July 31, 2018",5.631B
"July 30, 2018",5.603B
"July 27, 2018",5.647B
"July 26, 2018",5.625B
"July 25, 2018",5.387B
"July 24, 2018",5.566B
"July 23, 2018",6.197B
"July 20, 2018",6.207B
"July 19, 2018",6.204B
"July 18, 2018",6.248B
"July 17, 2018",6.107B
"July 16, 2018",6.069B
"July 13, 2018",6.032B
"July 12, 2018",5.991B
"July 11, 2018",6.035B
"July 10, 2018",6.101B
"July 9, 2018",6.144B
"July 6, 2018",6.085B
"July 5, 2018",6.032B
"July 3, 2018",5.982B
"July 2, 2018",5.975B
"June 29, 2018",6.007B
"June 28, 2018",5.969B
"June 27, 2018",5.988B
"June 26, 2018",5.934B
"June 25, 2018",5.947B
"June 22, 2018",6.007B
"June 21, 2018",6.099B
"June 20, 2018",6.020B
"June 19, 2018",6.004B
"June 18, 2018",6.070B
"June 15, 2018",6.074B
"June 14, 2018",6.026B
"June 13, 2018",6.010B
"June 12, 2018",5.994B
"June 11, 2018",6.039B
"June 8, 2018",5.963B
"June 7, 2018",5.941B
"June 6, 2018",5.941B
"June 5, 2018",5.969B
"June 4, 2018",6.048B
"June 1, 2018",5.941B
"May 31, 2018",5.979B
"May 30, 2018",6.007B
"May 29, 2018",6.077B
"May 25, 2018",6.143B
"May 24, 2018",6.026B
"May 23, 2018",5.909B
"May 22, 2018",5.979B
"May 21, 2018",6.070B
"May 18, 2018",6.026B
"May 17, 2018",6.115B
"May 16, 2018",6.162B
"May 15, 2018",6.017B
"May 14, 2018",5.972B
"May 11, 2018",6.007B
"May 10, 2018",5.953B
"May 9, 2018",5.922B
"May 8, 2018",6.093B
"May 7, 2018",6.093B
"May 4, 2018",6.127B
"May 3, 2018",6.080B
"May 2, 2018",6.121B
"May 1, 2018",6.153B
"April 30, 2018",6.074B
"April 27, 2018",6.102B
"April 26, 2018",6.067B
"April 25, 2018",6.067B
"April 24, 2018",6.181B
"April 23, 2018",6.301B
"April 20, 2018",6.286B
"April 19, 2018",6.222B
"April 18, 2018",6.320B
"April 17, 2018",6.270B
"April 16, 2018",6.257B
"April 13, 2018",6.175B
"April 12, 2018",6.188B
"April 11, 2018",6.118B
"April 10, 2018",6.127B
"April 9, 2018",6.165B
"April 6, 2018",6.314B
"April 5, 2018",6.532B
"April 4, 2018",6.482B
"April 3, 2018",6.377B
"April 2, 2018",6.244B
"March 29, 2018",6.453B
"March 28, 2018",6.405B
"March 27, 2018",6.335B
"March 26, 2018",6.504B
"March 23, 2018",6.618B
"March 22, 2018",6.846B
"March 21, 2018",7.010B
"March 20, 2018",7.177B
"March 19, 2018",7.136B
"March 16, 2018",7.271B
"March 15, 2018",7.165B
"March 14, 2018",7.190B
"March 13, 2018",7.194B
"March 12, 2018",7.094B
"March 9, 2018",7.081B
"March 8, 2018",6.988B
"March 7, 2018",6.920B
"March 6, 2018",6.901B
"March 5, 2018",6.846B
"March 2, 2018",6.852B
"March 1, 2018",6.785B
"Feb. 28, 2018",6.775B
"Feb. 27, 2018",6.872B
"Feb. 26, 2018",6.994B
"Feb. 23, 2018",6.862B
"Feb. 22, 2018",6.711B
"Feb. 21, 2018",6.675B
"Feb. 20, 2018",6.444B
"Feb. 16, 2018",6.534B
"Feb. 15, 2018",6.534B
"Feb. 14, 2018",6.482B
"Feb. 13, 2018",6.424B
"Feb. 12, 2018",6.395B
"Feb. 9, 2018",6.402B
"Feb. 8, 2018",6.382B
"Feb. 7, 2018",6.561B
"Feb. 6, 2018",6.550B
"Feb. 5, 2018",6.379B
"Feb. 2, 2018",6.543B
"Feb. 1, 2018",6.740B
"Jan. 31, 2018",6.714B
"Jan. 30, 2018",6.629B
"Jan. 29, 2018",6.510B
"Jan. 26, 2018",6.580B
"Jan. 25, 2018",6.641B
"Jan. 24, 2018",7.078B
"Jan. 23, 2018",7.232B
"Jan. 22, 2018",7.251B
"Jan. 19, 2018",7.245B
"Jan. 18, 2018",7.216B
"Jan. 17, 2018",7.206B
"Jan. 16, 2018",7.158B
