date,shares_outstanding
"March 31, 1997",408.85M
"Feb. 18, 1997",416.53M
"Dec. 31, 1996",403.50M
"Sept. 30, 1996",411.76M
"June 30, 1996",415.75M
"March 31, 1996",416.72M
"Dec. 31, 1995",414.03M
"Sept. 30, 1995",419.03M
"June 30, 1995",424.39M
"March 31, 1995",428.59M
"Dec. 31, 1994",430.24M
"Sept. 30, 1994",430.44M
"June 30, 1994",429.76M
"March 31, 1994",430.89M
"Dec. 31, 1993",427.22M
"Sept. 30, 1993",432.47M
"June 30, 1993",432.66M
"March 31, 1993",430.75M
"Dec. 31, 1992",426.85M
"Sept. 30, 1992",426.31M
"June 30, 1992",424.01M
"March 31, 1992",421.72M
"Dec. 31, 1991",417.57M
"Sept. 30, 1991",417.21M
"June 30, 1991",417.56M
"March 31, 1991",418.86M
"Dec. 31, 1990",420.22M
"Sept. 30, 1990",420.93M
"June 30, 1990",421.61M
"March 31, 1990",426.80M
"Dec. 31, 1989",428.99M
"Sept. 30, 1989",426.67M
"June 30, 1989",422.98M
"March 31, 1989",411.44M
"Dec. 31, 1988",411.44M
"Sept. 30, 1988",403.72M
"June 30, 1988",388.31M
"March 31, 1988",388.31M
"Dec. 31, 1987",368.13M
"Sept. 30, 1987",368.13M
"June 30, 1987",368.13M
"March 31, 1987",368.13M
"Dec. 31, 1986",368.13M
"Sept. 30, 1986",360.55M
"June 30, 1986",337.35M
"March 31, 1986",337.35M
"Dec. 31, 1985",337.35M
"Sept. 30, 1985",329.03M
"June 30, 1985",323.46M
"March 31, 1985",312.59M
"Dec. 31, 1984",316.91M
"Sept. 30, 1984",308.47M
"June 30, 1984",304.27M
"March 31, 1984",304.27M
