date,operating_pe_ratio
"Oct. 17, 2018",10.73
"Oct. 16, 2018",10.69
"Oct. 15, 2018",10.48
"Oct. 12, 2018",10.36
"Oct. 11, 2018",10.21
"Oct. 10, 2018",10.44
"Oct. 9, 2018",10.64
"Oct. 8, 2018",10.50
"Oct. 5, 2018",10.51
"Oct. 4, 2018",10.30
"Oct. 3, 2018",10.34
"Oct. 2, 2018",10.39
"Oct. 1, 2018",10.05
"Sept. 30, 2018",
"Sept. 28, 2018",9.099
"Sept. 27, 2018",8.952
"Sept. 26, 2018",8.931
"Sept. 25, 2018",9.065
"Sept. 24, 2018",9.152
"Sept. 21, 2018",9.253
"Sept. 20, 2018",9.279
"Sept. 19, 2018",9.237
"Sept. 18, 2018",9.334
"Sept. 17, 2018",9.259
"Sept. 14, 2018",9.289
"Sept. 13, 2018",9.200
"Sept. 12, 2018",9.079
"Sept. 11, 2018",9.154
"Sept. 10, 2018",9.146
"Sept. 7, 2018",9.053
"Sept. 6, 2018",9.004
"Sept. 5, 2018",9.295
"Sept. 4, 2018",9.297
"Aug. 31, 2018",9.132
"Aug. 30, 2018",9.298
"Aug. 29, 2018",9.275
"Aug. 28, 2018",9.032
"Aug. 27, 2018",8.624
"Aug. 24, 2018",8.466
"Aug. 23, 2018",8.693
"Aug. 22, 2018",8.82
"Aug. 21, 2018",8.840
"Aug. 20, 2018",8.856
"Aug. 17, 2018",8.948
"Aug. 16, 2018",8.858
"Aug. 15, 2018",8.596
"Aug. 14, 2018",8.472
"Aug. 13, 2018",8.462
"Aug. 10, 2018",8.438
"Aug. 9, 2018",8.682
"Aug. 8, 2018",8.719
"Aug. 7, 2018",8.634
"Aug. 6, 2018",8.816
"Aug. 3, 2018",8.496
"Aug. 2, 2018",8.367
"Aug. 1, 2018",8.407
"July 31, 2018",8.519
"July 30, 2018",8.547
"July 27, 2018",8.598
"July 26, 2018",8.840
"July 25, 2018",8.502
"July 24, 2018",8.403
"July 23, 2018",8.213
"July 20, 2018",8.195
"July 19, 2018",8.357
"July 18, 2018",8.334
"July 17, 2018",8.418
"July 16, 2018",8.512
"July 13, 2018",8.557
"July 12, 2018",8.634
"July 11, 2018",8.632
"July 10, 2018",8.646
"July 9, 2018",8.917
"July 6, 2018",8.905
"July 5, 2018",8.737
"July 3, 2018",8.695
"July 2, 2018",8.650
"June 30, 2018",
"June 29, 2018",8.312
"June 28, 2018",8.341
"June 27, 2018",8.294
"June 26, 2018",8.324
"June 25, 2018",8.259
"June 22, 2018",8.382
"June 21, 2018",7.915
"June 20, 2018",7.812
"June 19, 2018",7.790
"June 18, 2018",7.771
"June 15, 2018",7.851
"June 14, 2018",7.790
"June 13, 2018",7.691
"June 12, 2018",7.673
"June 11, 2018",7.765
"June 8, 2018",8.095
"June 7, 2018",8.138
"June 6, 2018",8.036
"June 5, 2018",8.199
"June 4, 2018",8.202
"June 1, 2018",8.255
"May 31, 2018",8.462
"May 30, 2018",8.415
"May 29, 2018",8.269
"May 25, 2018",8.722
"May 24, 2018",8.560
"May 23, 2018",8.564
"May 22, 2018",8.521
"May 21, 2018",8.439
"May 18, 2018",8.355
"May 17, 2018",8.246
"May 16, 2018",8.316
"May 15, 2018",8.388
"May 14, 2018",8.443
"May 11, 2018",8.460
"May 10, 2018",8.472
"May 9, 2018",8.318
"May 8, 2018",8.353
"May 7, 2018",8.714
"May 4, 2018",8.765
"May 3, 2018",8.665
"May 2, 2018",8.958
"May 1, 2018",9.036
"April 30, 2018",9.003
"April 27, 2018",9.107
"April 26, 2018",9.040
"April 25, 2018",9.050
"April 24, 2018",9.042
"April 23, 2018",8.900
"April 20, 2018",8.931
"April 19, 2018",9.081
"April 18, 2018",9.072
"April 17, 2018",9.140
"April 16, 2018",8.904
"April 13, 2018",8.855
"April 12, 2018",8.716
"April 11, 2018",8.749
"April 10, 2018",8.622
"April 9, 2018",8.677
"April 6, 2018",8.587
"April 5, 2018",8.599
"April 4, 2018",8.488
"April 3, 2018",8.531
"April 2, 2018",8.462
"March 31, 2018",
"March 29, 2018",7.750
"March 28, 2018",7.629
"March 27, 2018",7.752
"March 26, 2018",7.563
"March 23, 2018",7.600
"March 22, 2018",7.786
"March 21, 2018",7.579
"March 20, 2018",7.666
"March 19, 2018",7.847
"March 16, 2018",7.953
"March 15, 2018",7.793
"March 14, 2018",7.793
"March 13, 2018",7.957
"March 12, 2018",7.484
"March 9, 2018",7.415
"March 8, 2018",7.362
"March 7, 2018",7.255
"March 6, 2018",7.484
"March 5, 2018",7.401
"March 2, 2018",7.184
"March 1, 2018",7.279
"Feb. 28, 2018",7.249
"Feb. 27, 2018",7.098
"Feb. 26, 2018",7.244
"Feb. 23, 2018",7.258
"Feb. 22, 2018",7.073
"Feb. 21, 2018",7.02
"Feb. 20, 2018",7.059
"Feb. 16, 2018",7.128
"Feb. 15, 2018",7.050
"Feb. 14, 2018",6.895
"Feb. 13, 2018",7.027
"Feb. 12, 2018",6.941
"Feb. 9, 2018",6.805
"Feb. 8, 2018",6.746
"Feb. 7, 2018",6.965
"Feb. 6, 2018",7.032
"Feb. 5, 2018",7.110
"Feb. 2, 2018",7.311
"Feb. 1, 2018",7.510
"Jan. 31, 2018",7.486
"Jan. 30, 2018",7.406
"Jan. 29, 2018",7.583
"Jan. 26, 2018",7.682
"Jan. 25, 2018",7.673
"Jan. 24, 2018",7.706
"Jan. 23, 2018",7.734
"Jan. 22, 2018",7.752
"Jan. 19, 2018",7.832
"Jan. 18, 2018",7.851
"Jan. 17, 2018",7.798
"Jan. 16, 2018",7.766
"Jan. 12, 2018",7.731
"Jan. 11, 2018",7.742
"Jan. 10, 2018",7.860
"Jan. 9, 2018",7.911
"Jan. 8, 2018",7.980
"Jan. 5, 2018",7.814
"Jan. 4, 2018",7.678
"Jan. 3, 2018",7.722
"Jan. 2, 2018",7.849
"Dec. 31, 2017",
"Dec. 29, 2017",6.431
"Dec. 28, 2017",6.428
"Dec. 27, 2017",6.409
"Dec. 26, 2017",6.376
"Dec. 22, 2017",6.394
"Dec. 21, 2017",6.384
"Dec. 20, 2017",7.333
"Dec. 19, 2017",7.466
"Dec. 18, 2017",7.531
"Dec. 15, 2017",7.610
"Dec. 14, 2017",7.563
"Dec. 13, 2017",7.616
"Dec. 12, 2017",7.664
"Dec. 11, 2017",7.705
"Dec. 8, 2017",7.669
"Dec. 7, 2017",7.597
"Dec. 6, 2017",7.611
"Dec. 5, 2017",7.689
"Dec. 4, 2017",7.677
"Dec. 1, 2017",7.765
"Nov. 30, 2017",7.781
"Nov. 29, 2017",7.898
"Nov. 28, 2017",7.897
"Nov. 27, 2017",7.774
"Nov. 24, 2017",7.755
"Nov. 22, 2017",7.730
"Nov. 21, 2017",7.708
"Nov. 20, 2017",7.553
"Nov. 17, 2017",7.746
"Nov. 16, 2017",7.911
"Nov. 15, 2017",7.98
"Nov. 14, 2017",8.121
"Nov. 13, 2017",8.161
"Nov. 10, 2017",8.169
"Nov. 9, 2017",8.026
"Nov. 8, 2017",8.009
"Nov. 7, 2017",8.076
"Nov. 6, 2017",8.144
"Nov. 3, 2017",8.148
"Nov. 2, 2017",8.126
"Nov. 1, 2017",8.211
"Oct. 31, 2017",8.287
"Oct. 30, 2017",8.215
"Oct. 27, 2017",8.195
"Oct. 26, 2017",8.139
"Oct. 25, 2017",8.131
"Oct. 24, 2017",8.192
"Oct. 23, 2017",8.214
"Oct. 20, 2017",8.300
"Oct. 19, 2017",8.177
"Oct. 18, 2017",8.096
"Oct. 17, 2017",8.240
"Oct. 16, 2017",7.664
"Oct. 13, 2017",8.280
"Oct. 12, 2017",9.252
"Oct. 11, 2017",9.920
"Oct. 10, 2017",9.925
"Oct. 9, 2017",9.848
"Oct. 6, 2017",9.875
"Oct. 5, 2017",9.908
"Oct. 4, 2017",9.927
"Oct. 3, 2017",9.799
"Oct. 2, 2017",9.773
"Sept. 30, 2017",
"Sept. 29, 2017",10.59
"Sept. 28, 2017",10.59
"Sept. 27, 2017",10.58
"Sept. 26, 2017",10.74
"Sept. 25, 2017",10.78
"Sept. 22, 2017",10.72
"Sept. 21, 2017",10.76
"Sept. 20, 2017",10.74
"Sept. 19, 2017",10.78
"Sept. 18, 2017",10.84
"Sept. 15, 2017",10.93
"Sept. 14, 2017",10.91
"Sept. 13, 2017",10.82
"Sept. 12, 2017",10.92
"Sept. 11, 2017",11.13
"Sept. 8, 2017",10.99
"Sept. 7, 2017",10.94
"Sept. 6, 2017",10.84
"Sept. 5, 2017",10.87
"Sept. 1, 2017",10.87
"Aug. 31, 2017",10.95
