date,shares_outstanding
"Dec. 31, 2010",508.15M
"Oct. 28, 2010",508.03M
"Sept. 30, 2010",507.68M
"Aug. 2, 2010",506.94M
"June 30, 2010",506.79M
"April 28, 2010",506.31M
"March 31, 2010",506.00M
"March 1, 2010",505.17M
"Feb. 19, 2010",505.16M
"Dec. 31, 2009",505.02M
"Nov. 2, 2009",504.71M
"Sept. 30, 2009",504.59M
"Aug. 3, 2009",503.86M
"June 30, 2009",500.90M
"March 31, 2009",500.56M
"Feb. 17, 2009",499.38M
"Sept. 30, 2008",499.16M
"July 29, 2008",497.60M
"June 30, 2008",497.59M
"April 30, 2008",496.61M
"March 31, 2008",496.17M
"Feb. 15, 2008",494.04M
"Dec. 31, 2007",493.05M
"Sept. 30, 2007",491.98M
"June 30, 2007",489.63M
"March 31, 2007",489.19M
"Feb. 16, 2007",488.00M
"Dec. 31, 2006",487.47M
"Oct. 23, 2006",486.94M
"Sept. 30, 2006",486.90M
"July 25, 2006",485.22M
"June 30, 2006",485.20M
"April 24, 2006",485.16M
"March 31, 2006",485.19M
"Feb. 17, 2006",485.10M
"Dec. 31, 2005",484.15M
"Oct. 27, 2005",483.16M
"Sept. 30, 2005",483.09M
"July 20, 2005",480.20M
"June 30, 2005",479.82M
"April 18, 2005",478.50M
"March 31, 2005",478.19M
"Feb. 25, 2005",476.83M
"Dec. 31, 2004",475.71M
"Oct. 19, 2004",474.30M
"Sept. 30, 2004",473.46M
"July 23, 2004",471.40M
"June 30, 2004",470.74M
"April 22, 2004",466.25M
"March 31, 2004",465.11M
"March 8, 2004",465.01M
"Dec. 31, 2003",463.64M
"Oct. 21, 2003",460.34M
"Sept. 30, 2003",460.26M
"July 24, 2003",459.54M
"June 30, 2003",459.51M
"April 22, 2003",458.32M
"March 31, 2003",458.32M
"March 10, 2003",459.76M
"Dec. 31, 2002",458.88M
"Oct. 21, 2002",462.15M
"Sept. 30, 2002",462.08M
"July 26, 2002",464.67M
"June 30, 2002",464.64M
"April 22, 2002",464.17M
"March 31, 2002",463.92M
"March 11, 2002",463.20M
"Dec. 31, 2001",461.81M
"Oct. 22, 2001",461.93M
"Sept. 30, 2001",462.39M
"July 19, 2001",464.57M
"April 25, 2001",463.81M
"March 31, 2001",464.95M
"March 12, 2001",466.93M
"Dec. 31, 2000",467.62M
"Oct. 24, 2000",467.44M
"Sept. 30, 2000",466.86M
"Aug. 1, 2000",464.90M
"June 30, 2000",466.45M
"May 1, 2000",469.45M
"March 31, 2000",468.84M
"March 1, 2000",468.85M
"Dec. 31, 1999",476.42M
"Sept. 30, 1999",476.64M
"June 30, 1999",615.58M
"March 31, 1999",614.95M
"March 1, 1999",614.93M
"Dec. 31, 1998",614.90M
"Sept. 30, 1998",614.85M
"March 31, 1998",619.20M
"March 1, 1998",619.05M
"Dec. 31, 1997",620.26M
"Sept. 30, 1997",628.51M
"June 30, 1997",629.71M
"March 31, 1997",632.87M
"March 1, 1997",635.17M
"Dec. 31, 1996",639.03M
"Sept. 30, 1996",639.40M
"June 30, 1996",639.64M
"March 31, 1996",639.91M
"March 1, 1996",639.91M
"Dec. 31, 1995",639.40M
"Sept. 30, 1995",639.54M
"June 30, 1995",639.80M
"March 31, 1995",639.94M
"March 2, 1995",639.76M
"Dec. 31, 1994",603.31M
"Sept. 30, 1994",638.96M
"June 30, 1994",639.45M
"March 31, 1994",639.20M
"Dec. 31, 1993",639.36M
"Sept. 30, 1993",640.00M
"June 30, 1993",640.00M
"March 31, 1993",640.00M
"Dec. 31, 1992",640.00M
"Sept. 30, 1992",607.20M
"June 30, 1992",607.20M
"March 31, 1992",607.20M
"Dec. 31, 1991",607.20M
"Sept. 30, 1991",607.20M
"June 30, 1991",607.20M
"March 31, 1991",607.20M
"Dec. 31, 1990",607.20M
"Sept. 30, 1990",607.20M
"June 30, 1990",607.20M
"March 31, 1990",607.20M
"Dec. 31, 1989",607.20M
"Sept. 30, 1989",595.20M
"June 30, 1989",595.20M
"March 31, 1989",595.20M
