date,Open,High,Low,Close
"Oct. 31, 2017",83.15,85.24,82.58,84.80
"Oct. 30, 2017",82.23,85.02,81.76,83.16
"Oct. 27, 2017",79.58,81.73,78.39,81.73
"Oct. 26, 2017",80.15,80.82,78.18,79.75
"Oct. 25, 2017",78.59,80.39,76.85,80.00
"Oct. 24, 2017",80.47,81.18,78.91,79.23
"Oct. 23, 2017",81.20,81.74,79.33,79.43
"Oct. 20, 2017",81.53,81.53,79.20,80.51
"Oct. 19, 2017",80.43,82.87,79.98,80.91
"Oct. 18, 2017",84.37,84.68,81.81,81.81
"Oct. 17, 2017",86.39,86.39,83.08,84.78
"Oct. 16, 2017",86.99,87.57,85.76,85.94
"Oct. 13, 2017",85.46,88.19,85.42,85.53
"Oct. 12, 2017",84.00,84.68,82.52,84.33
"Oct. 11, 2017",86.37,87.26,84.73,85.47
"Oct. 10, 2017",89.03,90.76,86.01,86.23
"Oct. 9, 2017",89.11,90.33,87.10,88.05
"Oct. 6, 2017",92.69,92.71,88.27,88.56
"Oct. 5, 2017",92.51,94.54,92.37,93.65
"Oct. 4, 2017",92.87,94.47,91.82,92.26
"Oct. 3, 2017",92.96,93.14,91.23,92.98
"Oct. 2, 2017",93.12,93.77,91.42,93.40
"Sept. 29, 2017",93.61,95.13,92.44,94.77
"Sept. 28, 2017",96.70,97.42,93.02,93.86
"Sept. 27, 2017",94.21,96.16,91.53,96.03
"Sept. 26, 2017",91.37,94.07,91.37,93.41
"Sept. 25, 2017",87.21,93.97,87.21,92.52
"Sept. 22, 2017",84.29,87.83,84.29,86.69
"Sept. 21, 2017",87.35,87.39,83.92,85.35
"Sept. 20, 2017",84.43,88.63,84.43,87.96
"Sept. 19, 2017",83.92,84.54,82.82,83.74
"Sept. 18, 2017",82.03,84.72,81.53,83.51
"Sept. 15, 2017",81.29,82.81,79.26,82.73
"Sept. 14, 2017",82.30,84.38,80.45,81.04
"Sept. 13, 2017",77.79,82.94,77.76,81.01
"Sept. 12, 2017",73.68,78.15,73.35,76.97
"Sept. 11, 2017",71.91,73.64,71.00,73.31
"Sept. 8, 2017",74.25,74.33,70.52,72.01
"Sept. 7, 2017",74.80,75.61,72.85,74.40
"Sept. 6, 2017",74.09,76.11,74.09,75.27
"Sept. 5, 2017",73.41,74.39,72.14,73.39
"Sept. 1, 2017",69.27,72.37,68.07,72.28
"Aug. 31, 2017",69.71,71.36,68.69,68.84
"Aug. 30, 2017",71.10,71.57,68.20,69.26
"Aug. 29, 2017",68.62,72.39,68.39,71.55
"Aug. 28, 2017",71.00,71.49,68.12,68.95
"Aug. 25, 2017",70.90,71.62,70.13,70.87
"Aug. 24, 2017",69.35,71.07,69.35,70.12
"Aug. 23, 2017",67.53,70.76,67.29,69.98
"Aug. 22, 2017",67.39,68.35,67.04,67.40
"Aug. 21, 2017",68.24,68.27,66.38,67.04
"Aug. 18, 2017",66.43,69.73,66.30,68.51
"Aug. 17, 2017",67.65,69.29,66.37,66.51
"Aug. 16, 2017",71.67,72.06,67.42,67.93
"Aug. 15, 2017",72.56,72.56,68.21,71.35
"Aug. 14, 2017",73.59,74.38,72.01,72.52
"Aug. 11, 2017",70.02,74.02,70.02,73.29
"Aug. 10, 2017",73.62,74.22,70.77,71.48
"Aug. 9, 2017",74.77,75.69,71.61,73.47
"Aug. 8, 2017",76.56,77.53,73.92,74.72
"Aug. 7, 2017",83.25,83.25,76.76,77.19
"Aug. 4, 2017",84.51,86.19,83.11,83.88
"Aug. 3, 2017",80.91,89.49,80.37,86.10
"Aug. 2, 2017",80.76,82.05,78.37,80.87
"Aug. 1, 2017",81.28,82.32,79.86,81.23
"July 31, 2017",83.33,83.44,79.51,81.77
"July 28, 2017",82.23,86.88,82.05,83.48
"July 27, 2017",82.50,83.37,79.98,82.76
"July 26, 2017",83.89,84.63,81.04,82.68
"July 25, 2017",82.31,84.92,81.88,83.08
"July 24, 2017",82.78,82.94,80.16,81.05
