date,pe_ratio
"Aug. 8, 2018",34.83
"Aug. 7, 2018",34.92
"Aug. 6, 2018",35.25
"Aug. 3, 2018",34.99
"Aug. 2, 2018",34.59
"Aug. 1, 2018",34.08
"July 31, 2018",34.45
"July 30, 2018",33.84
"July 27, 2018",34.43
"July 26, 2018",34.37
"July 25, 2018",33.93
"July 24, 2018",33.93
"July 23, 2018",33.87
"July 20, 2018",34.14
"July 19, 2018",34.41
"July 18, 2018",34.08
"July 17, 2018",34.37
"July 16, 2018",34.55
"July 13, 2018",34.61
"July 12, 2018",34.61
"July 11, 2018",34.71
"July 10, 2018",34.53
"July 9, 2018",34.29
"July 6, 2018",35.37
"July 5, 2018",35.26
"July 3, 2018",35.17
"July 2, 2018",34.89
"June 30, 2018",34.58
"June 29, 2018",47.78
"June 28, 2018",47.49
"June 27, 2018",46.96
"June 26, 2018",46.49
"June 25, 2018",46.67
"June 22, 2018",45.56
"June 21, 2018",45.05
"June 20, 2018",45.09
"June 19, 2018",44.85
"June 18, 2018",44.35
"June 15, 2018",44.11
"June 14, 2018",43.62
"June 13, 2018",43.27
"June 12, 2018",43.15
"June 11, 2018",42.31
"June 8, 2018",42.76
"June 7, 2018",42.84
"June 6, 2018",42.80
"June 5, 2018",44.09
"June 4, 2018",44.53
"June 1, 2018",44.98
"May 31, 2018",46.00
"May 30, 2018",46.02
"May 29, 2018",45.58
"May 25, 2018",45.64
"May 24, 2018",45.18
"May 23, 2018",44.85
"May 22, 2018",44.36
"May 21, 2018",44.36
"May 18, 2018",44.42
"May 17, 2018",44.29
"May 16, 2018",44.36
"May 15, 2018",44.89
"May 14, 2018",45.18
"May 11, 2018",45.33
"May 10, 2018",45.29
"May 9, 2018",44.82
"May 8, 2018",45.64
"May 7, 2018",46.33
"May 4, 2018",46.20
"May 3, 2018",46.49
"May 2, 2018",46.15
"May 1, 2018",44.58
"April 30, 2018",44.35
"April 27, 2018",44.56
"April 26, 2018",44.15
"April 25, 2018",43.47
"April 24, 2018",43.51
"April 23, 2018",43.40
"April 20, 2018",43.18
"April 19, 2018",43.64
"April 18, 2018",43.55
"April 17, 2018",43.89
"April 16, 2018",43.44
"April 13, 2018",42.82
"April 12, 2018",42.76
"April 11, 2018",43.60
"April 10, 2018",43.84
"April 9, 2018",43.91
"April 6, 2018",44.09
"April 5, 2018",44.42
"April 4, 2018",43.98
"April 3, 2018",43.67
"April 2, 2018",43.36
"March 31, 2018",43.47
