date,max_drawdown_all
"May 31, 1982",66.67%
"April 30, 1982",66.67%
"March 31, 1982",66.67%
"Feb. 28, 1982",66.67%
"Jan. 31, 1982",66.67%
"Dec. 31, 1981",66.67%
"Nov. 30, 1981",66.67%
"Oct. 31, 1981",66.67%
"Sept. 30, 1981",66.67%
"Aug. 31, 1981",66.67%
"July 31, 1981",66.67%
"June 30, 1981",66.67%
"May 31, 1981",66.67%
"April 30, 1981",66.67%
"March 31, 1981",66.67%
"Feb. 28, 1981",66.67%
"Jan. 31, 1981",66.67%
"Dec. 31, 1980",66.67%
"Nov. 30, 1980",64.58%
"Oct. 31, 1980",62.92%
"Sept. 30, 1980",62.92%
"Aug. 31, 1980",62.92%
"July 31, 1980",62.92%
"June 30, 1980",62.92%
"May 31, 1980",62.92%
"April 30, 1980",62.92%
"March 31, 1980",62.92%
"Feb. 29, 1980",61.67%
"Jan. 31, 1980",60.42%
"Dec. 31, 1979",60.42%
"Nov. 30, 1979",60.42%
"Oct. 31, 1979",60.42%
"Sept. 30, 1979",60.42%
"Aug. 31, 1979",60.42%
"July 31, 1979",60.42%
"June 30, 1979",60.42%
"May 31, 1979",60.42%
"April 30, 1979",60.42%
"March 31, 1979",60.42%
"Feb. 28, 1979",60.42%
"Jan. 31, 1979",60.42%
"Dec. 31, 1978",60.42%
"Nov. 30, 1978",60.42%
"Oct. 31, 1978",60.42%
"Sept. 30, 1978",60.42%
"Aug. 31, 1978",60.42%
"July 31, 1978",60.42%
"June 30, 1978",60.42%
"May 31, 1978",60.42%
"April 30, 1978",60.42%
"March 31, 1978",60.42%
"Feb. 28, 1978",60.42%
"Jan. 31, 1978",60.42%
"Dec. 31, 1977",60.42%
"Nov. 30, 1977",60.42%
"Oct. 31, 1977",60.42%
"Sept. 30, 1977",60.42%
"Aug. 31, 1977",60.42%
"July 31, 1977",60.42%
"June 30, 1977",60.42%
"May 31, 1977",60.42%
"April 30, 1977",60.42%
"March 31, 1977",60.42%
"Feb. 28, 1977",60.42%
"Jan. 31, 1977",60.42%
"Dec. 31, 1976",60.42%
"Nov. 30, 1976",60.42%
"Oct. 31, 1976",60.42%
"Sept. 30, 1976",60.42%
"Aug. 31, 1976",60.42%
"July 31, 1976",60.42%
"June 30, 1976",60.42%
"May 31, 1976",60.42%
"April 30, 1976",60.42%
"March 31, 1976",60.42%
