date,shares_outstanding
"July 25, 2012",284.91M
"June 30, 2012",284.77M
"April 26, 2012",284.09M
"March 31, 2012",283.89M
"March 19, 2012",283.79M
"Jan. 31, 2012",282.18M
"Dec. 31, 2011",281.85M
"Sept. 30, 2011",281.11M
"July 29, 2011",280.61M
"June 30, 2011",280.47M
"April 29, 2011",280.08M
"March 31, 2011",279.93M
"March 15, 2011",279.58M
"Jan. 31, 2011",279.29M
"Dec. 31, 2010",278.86M
"Sept. 30, 2010",278.31M
"July 30, 2010",277.97M
"June 30, 2010",277.82M
"April 30, 2010",277.44M
"March 31, 2010",277.29M
"March 15, 2010",277.13M
"Jan. 29, 2010",276.79M
"Dec. 31, 2009",276.64M
"Sept. 30, 2009",275.75M
"July 31, 2009",275.34M
"June 30, 2009",275.15M
"April 30, 2009",274.59M
"Jan. 31, 2009",274.31M
"Oct. 31, 2008",274.24M
"Sept. 30, 2008",274.24M
"July 31, 2008",274.23M
"June 30, 2008",274.22M
"April 30, 2008",274.21M
"March 31, 2008",274.17M
"Jan. 31, 2008",274.16M
"Dec. 31, 2007",274.18M
"Sept. 30, 2007",274.17M
"June 30, 2007",274.16M
"March 31, 2007",274.07M
"Jan. 31, 2007",273.85M
"Dec. 31, 2006",273.65M
"Oct. 31, 2006",273.00M
"Sept. 30, 2006",272.90M
"July 31, 2006",272.80M
"June 30, 2006",272.71M
"April 28, 2006",272.67M
"March 31, 2006",272.64M
"Feb. 28, 2006",272.64M
"Dec. 31, 2005",272.62M
"Oct. 31, 2005",272.62M
"Sept. 30, 2005",272.60M
"July 29, 2005",272.49M
"June 30, 2005",272.32M
"April 29, 2005",271.85M
"March 31, 2005",271.85M
"Feb. 28, 2005",271.24M
"Dec. 31, 2004",270.62M
"Oct. 31, 2004",263.59M
"Sept. 30, 2004",263.59M
"July 31, 2004",263.49M
"June 30, 2004",263.49M
"April 30, 2004",263.41M
"March 31, 2004",263.41M
"Dec. 31, 2003",262.63M
"Oct. 31, 2003",262.46M
"Sept. 30, 2003",262.79M
"June 30, 2003",262.79M
"March 31, 2003",262.57M
"Dec. 31, 2002",248.86M
"Sept. 30, 2002",207.77M
"June 30, 2002",207.66M
"March 31, 2002",207.52M
"Jan. 31, 2002",207.51M
"Dec. 31, 2001",206.79M
"Sept. 30, 2001",206.79M
"June 30, 2001",206.74M
"March 31, 2001",206.52M
"Feb. 28, 2001",206.39M
"Dec. 31, 2000",205.55M
"Sept. 30, 2000",121.32M
"June 30, 2000",121.20M
"March 31, 2000",122.81M
"Dec. 31, 1999",124.14M
"Sept. 30, 1999",125.06M
"June 30, 1999",125.01M
"March 31, 1999",124.80M
"Dec. 31, 1998",117.53M
"Sept. 30, 1998",117.52M
"June 30, 1998",121.03M
"March 31, 1998",123.61M
"Dec. 31, 1997",124.31M
"Sept. 30, 1997",125.46M
"June 30, 1997",125.47M
"March 31, 1997",125.64M
"Dec. 31, 1996",119.61M
"Sept. 30, 1996",122.12M
"June 30, 1996",122.47M
"March 31, 1996",124.13M
"Dec. 31, 1995",124.76M
"Sept. 30, 1995",125.26M
"June 30, 1995",126.95M
"March 31, 1995",127.23M
"Dec. 31, 1994",127.81M
"Sept. 30, 1994",129.03M
"June 30, 1994",130.29M
"March 31, 1994",131.24M
"Dec. 31, 1993",131.66M
"Sept. 30, 1993",132.53M
"June 30, 1993",132.78M
"March 31, 1993",133.58M
"Dec. 31, 1992",131.52M
"Sept. 30, 1992",133.53M
"June 30, 1992",133.55M
"March 31, 1992",133.97M
"Dec. 31, 1991",133.34M
"Sept. 30, 1991",134.14M
"June 30, 1991",133.43M
"March 31, 1991",133.36M
"Dec. 31, 1990",137.75M
"Sept. 30, 1990",137.98M
"June 30, 1990",137.99M
"March 31, 1990",138.26M
"Dec. 31, 1989",138.74M
"Sept. 30, 1989",140.86M
"June 30, 1989",145.61M
"March 31, 1989",146.62M
"Dec. 31, 1988",146.62M
"Sept. 30, 1988",146.56M
"June 30, 1988",146.56M
"March 31, 1988",146.49M
"Dec. 31, 1987",146.49M
"Sept. 30, 1987",146.42M
"June 30, 1987",146.42M
"March 31, 1987",146.42M
"Dec. 31, 1986",146.34M
"Sept. 30, 1986",146.26M
"June 30, 1986",146.09M
"March 31, 1986",146.09M
"Dec. 31, 1985",146.09M
"Sept. 30, 1985",142.10M
"June 30, 1985",140.54M
"March 31, 1985",139.03M
"Dec. 31, 1984",139.03M
"Sept. 30, 1984",135.92M
"June 30, 1984",134.71M
"March 31, 1984",134.71M
