date,enterprise_value
"Nov. 27, 2018",247.47B
"Nov. 26, 2018",247.03B
"Nov. 23, 2018",244.39B
"Nov. 21, 2018",251.98B
"Nov. 20, 2018",249.17B
"Nov. 19, 2018",255.51B
"Nov. 16, 2018",254.82B
"Nov. 15, 2018",250.79B
"Nov. 14, 2018",248.44B
"Nov. 13, 2018",247.73B
"Nov. 12, 2018",251.63B
"Nov. 9, 2018",255.68B
"Nov. 8, 2018",255.40B
"Nov. 7, 2018",258.28B
"Nov. 6, 2018",254.52B
"Nov. 5, 2018",254.59B
"Nov. 2, 2018",246.55B
"Nov. 1, 2018",239.75B
"Oct. 31, 2018",240.66B
"Oct. 30, 2018",239.14B
"Oct. 29, 2018",235.47B
"Oct. 26, 2018",240.44B
"Oct. 25, 2018",240.53B
"Oct. 24, 2018",237.91B
"Oct. 23, 2018",244.01B
"Oct. 22, 2018",251.29B
"Oct. 19, 2018",253.07B
"Oct. 18, 2018",251.79B
"Oct. 17, 2018",251.44B
"Oct. 16, 2018",251.86B
"Oct. 15, 2018",250.77B
"Oct. 12, 2018",252.36B
"Oct. 11, 2018",253.62B
"Oct. 10, 2018",261.59B
"Oct. 9, 2018",269.65B
"Oct. 8, 2018",265.87B
"Oct. 5, 2018",266.80B
"Oct. 4, 2018",266.08B
"Oct. 3, 2018",266.77B
"Oct. 2, 2018",265.68B
"Oct. 1, 2018",265.01B
"Sept. 30, 2018",260.98B
"Sept. 28, 2018",266.18B
"Sept. 27, 2018",266.54B
"Sept. 26, 2018",265.55B
"Sept. 25, 2018",268.27B
"Sept. 24, 2018",266.83B
"Sept. 21, 2018",263.98B
"Sept. 20, 2018",260.70B
"Sept. 19, 2018",260.87B
"Sept. 18, 2018",258.23B
"Sept. 17, 2018",257.04B
"Sept. 14, 2018",256.79B
"Sept. 13, 2018",254.72B
"Sept. 12, 2018",253.74B
"Sept. 11, 2018",252.27B
"Sept. 10, 2018",251.23B
"Sept. 7, 2018",251.46B
"Sept. 6, 2018",252.67B
"Sept. 5, 2018",259.74B
"Sept. 4, 2018",259.65B
"Aug. 31, 2018",258.86B
"Aug. 30, 2018",261.45B
