Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-09
Pension Liability,32.71M,29.43M,28.87M,28.42M,27.91M,30.77M,30.35M,29.72M,29.40M,27.36M,37.21M,37.04M,36.26M,37.62M,36.94M,36.24M,35.29M,38.02M,37.31M,36.45M,35.83M,35.94M,35.21M,34.37M,33.55M,41.04M,40.31M,39.64M,38.86M,40.99M,61.36M,39.59M,38.71M,63.80M,34.87M,34.50M,34.05M,48.93M,,54.84M,49.76M,,56.53M,54.71M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Contract Liabilities,,,,,,,,,,,,,,,0.994M,,,,,,,0.549M,,,,,,3.799M,,5.868M,0.951M,1.481M,,0.00,,4.199M,2.18M,1.599M,2.541M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,8.595M,8.529M,8.809M,8.014M,34.39M,34.05M,32.70M,7.182M,10.58M,8.81M,7.861M,5.381M,4.952M,4.33M,3.928M,3.596M,3.653M,4.478M,4.876M,9.312M,10.68M,6.963M,6.451M,6.899M,13.04M,11.08M,15.72M,12.79M,16.28M,12.94M,12.72M,19.18M,11.75M,11.52M,9.309M,7.006M,8.399M,5.894M,6.843M,27.83M,54.37M,98.85M,47.41M,47.23M,75.05M,156.66M,85.98M,74.30M,82.53M,84.72M,82.97M,70.84M,53.78M,75.73M,70.96M,67.19M,74.63M,62.16M,61.73M,61.03M,74.64M,69.57M,59.21M,54.38M,55.34M,57.86M,55.45M,34.13M,15.24M,13.08M,18.80M,18.38M,18.34M,13.84M,14.87M,13.85M,12.86M,12.72M,12.23M,11.00M,10.30M,9.80M,10.70M,9.50M,7.60M,7.80M,8.50M,8.70M,9.20M,9.30M,10.10M,10.60M,8.60M,8.20M,7.90M,7.70M,7.60M,8.00M,8.40M,5.40M,5.50M,5.40M,6.00M,6.50M,6.90M,6.70M,6.20M,6.00M,4.90M,3.40M,3.00M,2.30M,3.10M,4.10M,3.40M,3.60M,8.10M,8.20M,7.60M,4.30M
Total Long Term Liabilities,2.008B,1.934B,1.985B,1.920B,1.823B,1.719B,1.652B,1.621B,1.573B,2.046B,2.343B,2.313B,2.297B,2.472B,2.464B,2.559B,3.008B,3.097B,3.080B,2.934B,2.796B,3.008B,2.445B,2.444B,2.369B,2.303B,2.237B,2.117B,2.041B,1.970B,1.938B,1.956B,1.883B,2.140B,1.997B,1.921B,1.828B,1.797B,1.692B,1.562B,1.518B,1.522B,1.568B,1.532B,1.549B,943.87M,944.12M,886.07M,801.80M,714.29M,660.35M,638.27M,764.63M,725.98M,652.09M,676.58M,604.04M,571.87M,566.73M,558.40M,576.77M,558.80M,504.90M,533.33M,515.16M,522.40M,555.09M,599.34M,612.41M,608.60M,625.34M,612.24M,607.08M,336.46M,319.83M,375.02M,372.05M,357.34M,371.84M,383.00M,421.70M,429.00M,442.20M,422.50M,326.20M,306.50M,281.90M,271.80M,306.80M,293.90M,308.10M,328.00M,322.40M,319.50M,322.90M,319.50M,313.40M,369.70M,383.90M,391.60M,376.00M,346.30M,243.50M,254.20M,245.70M,187.30M,191.50M,197.60M,181.20M,172.70M,169.90M,179.20M,165.30M,157.50M,157.00M,164.00M,153.60M,152.40M,158.50M,66.00M
Total Liabilities,2.336B,2.229B,2.219B,2.161B,2.111B,2.085B,2.243B,2.132B,2.203B,2.484B,2.577B,2.537B,2.555B,2.669B,2.693B,2.759B,3.244B,3.363B,3.359B,3.337B,3.295B,3.441B,2.807B,2.877B,2.776B,2.703B,2.732B,2.565B,2.485B,2.383B,2.279B,2.278B,2.227B,2.429B,2.284B,2.162B,2.132B,2.024B,1.958B,1.871B,1.765B,1.787B,1.880B,1.911B,1.867B,1.419B,1.266B,1.138B,1.025B,950.40M,877.46M,889.29M,1.070B,915.92M,830.89M,895.16M,913.67M,764.60M,789.05M,755.29M,775.01M,745.40M,689.48M,689.86M,663.95M,691.58M,714.79M,720.27M,696.40M,718.10M,730.48M,722.48M,726.92M,458.85M,461.98M,493.13M,476.30M,460.94M,460.64M,472.90M,512.30M,503.60M,515.70M,521.50M,412.80M,387.50M,360.90M,357.70M,386.80M,361.70M,363.90M,400.60M,372.10M,368.90M,386.90M,380.40M,357.40M,419.40M,430.30M,445.30M,434.70M,418.00M,288.50M,291.50M,278.90M,217.50M,219.50M,230.40M,214.80M,206.10M,200.70M,215.10M,201.10M,190.30M,190.80M,195.30M,187.20M,178.60M,183.90M,104.50M
Total Capital Stock,47.69M,47.69M,47.69M,47.68M,47.61M,47.61M,47.61M,47.61M,47.56M,47.54M,47.54M,47.54M,47.50M,47.50M,47.50M,47.49M,42.38M,42.38M,42.37M,42.35M,42.29M,42.29M,42.29M,42.29M,42.20M,42.20M,21.08M,21.08M,42.09M,21.02M,21.00M,20.98M,20.90M,10.45M,10.45M,10.45M,20.84M,10.41M,10.41M,10.39M,10.39M,10.38M,10.38M,10.36M,10.36M,10.35M,10.30M,10.27M,10.23M,10.22M,10.20M,5.071M,5.051M,5.044M,5.031M,5.008M,5.005M,5.002M,4.996M,4.968M,3.308M,3.303M,3.279M,3.254M,3.249M,3.247M,3.216M,3.213M,3.21M,3.21M,3.191M,3.191M,3.191M,2.989M,2.973M,2.949M,2.931M,2.921M,2.631M,2.60M,2.60M,2.60M,0.10M,2.60M,0.10M,0.10M,0.10M,0.10M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,,,0.10M,0.10M,,,,,,,,,,,,,,
Retained Earnings,2.143B,2.037B,1.984B,1.841B,1.608B,1.363B,1.267B,1.252B,1.162B,1.230B,1.236B,1.237B,1.099B,1.401B,1.420B,1.493B,1.552B,1.671B,1.695B,1.731B,1.699B,1.929B,1.837B,1.727B,1.628B,1.558B,1.497B,1.412B,1.373B,1.337B,1.304B,1.272B,1.258B,1.235B,1.210B,1.158B,1.148B,1.102B,1.083B,1.057B,1.024B,988.43M,966.04M,921.56M,880.96M,817.07M,765.39M,722.34M,683.21M,650.67M,612.20M,565.59M,535.38M,348.29M,303.39M,252.17M,195.62M,163.82M,130.36M,110.94M,80.01M,63.49M,45.48M,27.76M,9.268M,-12.11M,-28.82M,11.67M,4.291M,-0.562M,-1.412M,0.65M,17.52M,8.669M,-3.742M,-41.63M,-57.54M,-62.52M,-63.01M,-66.50M,-70.10M,-72.80M,-71.90M,-67.60M,-65.80M,-62.30M,-63.60M,-65.60M,-73.90M,-75.20M,-76.30M,-85.00M,-90.30M,-92.40M,-92.30M,-96.70M,-90.40M,-16.20M,-10.00M,-0.80M,3.30M,8.60M,12.00M,8.10M,8.10M,12.30M,12.40M,9.30M,8.50M,9.10M,12.40M,10.40M,11.50M,14.20M,16.90M,17.50M,9.90M,11.30M,10.50M,137.00M
Additional Paid In Capital,1.782B,1.776B,1.769B,1.763B,1.763B,1.756B,1.749B,1.743B,1.742B,1.739B,1.733B,1.728B,1.727B,1.722B,1.717B,1.711B,722.00M,716.93M,717.33M,711.18M,710.43M,713.09M,723.22M,713.95M,710.94M,698.38M,725.16M,715.90M,695.57M,718.76M,720.67M,716.96M,724.38M,730.98M,727.02M,722.52M,710.50M,709.95M,706.03M,705.57M,699.97M,682.73M,679.14M,675.57M,670.97M,657.83M,435.12M,424.23M,431.68M,429.61M,424.49M,423.07M,414.20M,409.80M,402.96M,397.35M,393.54M,388.66M,385.85M,380.12M,378.96M,376.08M,368.80M,361.70M,359.29M,358.58M,353.96M,353.09M,352.26M,351.56M,346.88M,346.26M,343.91M,293.59M,289.97M,285.57M,280.06M,278.27M,256.22M,254.80M,254.20M,253.50M,,252.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Stock,1.823B,1.651B,1.460B,1.335B,1.335B,1.075B,912.05M,637.71M,430.58M,375.09M,375.09M,306.84M,306.84M,306.84M,306.84M,306.84M,306.84M,306.84M,306.84M,306.84M,306.84M,298.73M,167.98M,167.98M,167.98M,3.349M,3.349M,3.349M,3.349M,3.349M,3.349M,3.349M,3.349M,3.349M,3.349M,3.349M,3.349M,3.349M,3.349M,3.349M,3.349M,3.349M,3.349M,3.349M,3.349M,3.349M,85.69M,85.69M,85.69M,85.69M,85.69M,85.69M,85.69M,66.38M,39.20M,39.20M,20.59M,20.59M,20.02M,20.02M,13.12M,9.726M,4.384M,4.384M,4.384M,4.384M,4.384M,4.384M,4.384M,4.384M,4.384M,4.384M,4.384M,4.384M,4.384M,4.384M,4.384M,4.384M,4.384M,4.40M,4.40M,4.40M,,4.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113M,0.10M,0.10M,0.10M,0.10M,0.10M,0.10M,0.10M,0.10M,0.10M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,0.20M,,,0.10M,0.10M,,,,,,,,,,,,,,
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.737M,6.387M,,8.364M,,0.554M,,1.772M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-189.34M,-67.26M,,3.987M,,4.129M,,39.07M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,1.36M,4.027M,4.164M,4.30M,4.437M,2.112M,2.248M,2.383M,2.077M,3.482M,0.726M,1.002M,0.985M,-0.313M,-0.331M,-0.365M,-0.365M,-2.151M,-2.151M,-2.151M,-2.151M,-19.20M,-32.16M,-45.97M,-8.361M,33.24M,46.56M,-22.30M,23.88M,27.26M,88.83M,117.92M,104.55M,70.03M,22.38M,-1.754M,-3.683M,27.26M,57.98M,42.44M,92.59M,158.27M,216.68M,186.43M,112.08M,-182.60M,-60.87M,-0.894M,12.35M,14.05M,4.683M,37.16M,40.84M,15.33M,3.559M,-15.12M,-71.32M,-21.07M,-38.15M,-20.35M,-45.82M,-41.12M,-37.41M,-23.14M,-11.38M,-29.57M,-24.94M,-12.94M,-0.967M,-2.844M,-8.588M,0.835M,5.946M,13.22M,-1.706M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity,2.151B,2.214B,2.345B,2.321B,2.088B,2.094B,2.154B,2.407B,2.524B,2.645B,2.642B,2.707B,2.568B,2.863B,2.878B,2.944B,2.009B,2.122B,2.146B,2.176B,2.143B,2.366B,2.402B,2.269B,2.205B,2.329B,2.286B,2.123B,2.131B,2.100B,2.131B,2.125B,2.105B,2.043B,1.966B,1.886B,1.873B,1.846B,1.854B,1.813B,1.824B,1.836B,1.869B,1.791B,1.671B,1.299B,1.064B,1.070B,1.052B,1.019B,965.89M,945.20M,909.78M,712.08M,675.74M,600.21M,502.26M,515.82M,463.04M,455.66M,403.35M,392.02M,375.76M,365.20M,356.05M,315.75M,299.04M,350.66M,354.41M,346.98M,335.69M,346.55M,366.18M,314.08M,283.11M,242.50M,221.07M,214.29M,191.45M,186.60M,182.40M,178.90M,179.00M,182.70M,184.10M,190.80M,187.60M,184.10M,174.40M,171.50M,169.90M,160.70M,155.00M,152.70M,152.70M,147.80M,154.20M,228.20M,234.20M,243.10M,246.40M,251.60M,157.40M,153.50M,154.10M,157.80M,121.40M,118.30M,117.40M,118.00M,121.30M,119.20M,120.30M,122.90M,125.50M,121.90M,114.90M,119.10M,118.30M,185.00M
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
