date,market_cap
"Dec. 13, 2018",64.80B
"Dec. 12, 2018",63.87B
"Dec. 11, 2018",64.72B
"Dec. 10, 2018",64.52B
"Dec. 7, 2018",64.15B
"Dec. 6, 2018",64.04B
"Dec. 4, 2018",64.19B
"Dec. 3, 2018",63.89B
"Nov. 30, 2018",63.14B
"Nov. 29, 2018",62.45B
"Nov. 28, 2018",62.45B
"Nov. 27, 2018",62.61B
"Nov. 26, 2018",62.01B
"Nov. 23, 2018",61.84B
"Nov. 21, 2018",61.63B
"Nov. 20, 2018",63.10B
"Nov. 19, 2018",62.48B
"Nov. 16, 2018",61.79B
"Nov. 15, 2018",61.41B
"Nov. 14, 2018",61.61B
"Nov. 13, 2018",61.56B
"Nov. 12, 2018",61.25B
"Nov. 9, 2018",61.01B
"Nov. 8, 2018",60.12B
"Nov. 7, 2018",60.38B
"Nov. 6, 2018",60.12B
"Nov. 5, 2018",59.58B
"Nov. 2, 2018",58.88B
"Nov. 1, 2018",58.21B
"Oct. 31, 2018",58.91B
"Oct. 30, 2018",59.77B
"Oct. 29, 2018",59.51B
"Oct. 26, 2018",58.39B
"Oct. 25, 2018",59.64B
"Oct. 24, 2018",60.43B
"Oct. 23, 2018",58.68B
"Oct. 22, 2018",58.92B
"Oct. 19, 2018",59.00B
"Oct. 18, 2018",57.94B
"Oct. 17, 2018",57.59B
"Oct. 16, 2018",57.71B
"Oct. 15, 2018",57.13B
"Oct. 12, 2018",57.03B
"Oct. 11, 2018",57.03B
"Oct. 10, 2018",58.38B
"Oct. 9, 2018",58.64B
"Oct. 8, 2018",58.57B
"Oct. 5, 2018",58.04B
"Oct. 4, 2018",57.00B
"Oct. 3, 2018",56.46B
"Oct. 2, 2018",57.34B
"Oct. 1, 2018",56.72B
"Sept. 28, 2018",57.00B
"Sept. 27, 2018",56.23B
"Sept. 26, 2018",55.63B
"Sept. 25, 2018",56.14B
"Sept. 24, 2018",56.71B
"Sept. 21, 2018",56.86B
"Sept. 20, 2018",57.43B
"Sept. 19, 2018",57.05B
"Sept. 18, 2018",58.36B
"Sept. 17, 2018",58.47B
"Sept. 14, 2018",58.20B
"Sept. 13, 2018",58.52B
"Sept. 12, 2018",57.62B
"Sept. 11, 2018",57.97B
"Sept. 10, 2018",58.63B
"Sept. 7, 2018",58.75B
"Sept. 6, 2018",59.46B
"Sept. 5, 2018",59.26B
