date,shares_outstanding
"Dec. 31, 1991",184.54M
"Sept. 30, 1991",184.54M
"June 30, 1991",184.54M
"March 31, 1991",184.54M
"Dec. 31, 1990",184.56M
"Sept. 30, 1990",184.54M
"June 30, 1990",184.54M
"March 31, 1990",190.60M
"Dec. 31, 1989",193.54M
"Sept. 30, 1989",193.54M
"June 30, 1989",193.54M
"March 31, 1989",193.54M
"Dec. 31, 1988",193.54M
"Sept. 30, 1988",193.54M
"June 30, 1988",193.54M
"March 31, 1988",193.54M
"Dec. 31, 1987",193.54M
"Sept. 30, 1987",193.54M
"June 30, 1987",193.54M
"March 31, 1987",193.54M
"Dec. 31, 1986",193.54M
"Sept. 30, 1986",193.54M
"June 30, 1986",193.54M
"March 31, 1986",193.54M
"Dec. 31, 1985",193.54M
"Sept. 30, 1985",191.68M
"June 30, 1985",190.73M
"March 31, 1985",190.73M
"Dec. 31, 1984",189.68M
"Sept. 30, 1984",184.94M
"June 30, 1984",184.94M
"March 31, 1984",189.68M
