date,enterprise_value
"Aug. 20, 2018",4.846B
"Aug. 17, 2018",4.811B
"Aug. 16, 2018",4.788B
"Aug. 15, 2018",4.778B
"Aug. 14, 2018",4.811B
"Aug. 13, 2018",4.830B
"Aug. 10, 2018",4.883B
"Aug. 9, 2018",4.854B
"Aug. 8, 2018",4.729B
"Aug. 7, 2018",4.741B
"Aug. 6, 2018",4.796B
"Aug. 3, 2018",4.879B
"Aug. 2, 2018",4.855B
"Aug. 1, 2018",4.807B
"July 31, 2018",4.790B
"July 30, 2018",4.772B
"July 27, 2018",4.761B
"July 26, 2018",4.784B
"July 25, 2018",4.767B
"July 24, 2018",4.746B
"July 23, 2018",4.757B
"July 20, 2018",4.716B
"July 19, 2018",4.718B
"July 18, 2018",4.701B
"July 17, 2018",4.682B
"July 16, 2018",4.708B
"July 13, 2018",4.677B
"July 12, 2018",4.668B
"July 11, 2018",4.661B
"July 10, 2018",4.663B
"July 9, 2018",4.667B
"July 6, 2018",4.641B
"July 5, 2018",4.655B
"July 3, 2018",4.662B
"July 2, 2018",4.611B
"June 30, 2018",4.647B
"June 29, 2018",4.249B
"June 28, 2018",4.231B
"June 27, 2018",4.254B
"June 26, 2018",4.226B
"June 25, 2018",4.228B
"June 22, 2018",4.267B
"June 21, 2018",4.277B
"June 20, 2018",4.294B
"June 19, 2018",4.305B
"June 18, 2018",4.317B
"June 15, 2018",4.282B
"June 14, 2018",4.322B
"June 13, 2018",4.343B
"June 12, 2018",4.360B
"June 11, 2018",4.379B
"June 8, 2018",4.351B
"June 7, 2018",4.346B
"June 6, 2018",4.349B
"June 5, 2018",4.370B
"June 4, 2018",4.351B
"June 1, 2018",4.350B
"May 31, 2018",4.384B
"May 30, 2018",4.392B
"May 29, 2018",4.336B
"May 25, 2018",4.331B
"May 24, 2018",4.313B
"May 23, 2018",4.344B
"May 22, 2018",4.347B
"May 21, 2018",4.383B
"May 18, 2018",4.404B
"May 17, 2018",4.407B
"May 16, 2018",4.414B
"May 15, 2018",4.417B
"May 14, 2018",4.421B
"May 11, 2018",4.397B
"May 10, 2018",4.402B
"May 9, 2018",4.402B
"May 8, 2018",4.364B
"May 7, 2018",4.402B
"May 4, 2018",4.406B
"May 3, 2018",4.447B
"May 2, 2018",4.466B
"May 1, 2018",4.473B
"April 30, 2018",4.460B
"April 27, 2018",4.424B
"April 26, 2018",4.479B
"April 25, 2018",4.481B
"April 24, 2018",4.469B
"April 23, 2018",4.500B
"April 20, 2018",4.494B
"April 19, 2018",4.497B
"April 18, 2018",4.530B
"April 17, 2018",4.524B
"April 16, 2018",4.510B
"April 13, 2018",4.456B
"April 12, 2018",4.467B
"April 11, 2018",4.470B
"April 10, 2018",4.422B
"April 9, 2018",4.370B
"April 6, 2018",4.370B
"April 5, 2018",4.389B
"April 4, 2018",4.332B
"April 3, 2018",4.293B
"April 2, 2018",4.294B
"March 31, 2018",4.294B
"March 29, 2018",6.366B
"March 28, 2018",6.376B
"March 27, 2018",6.400B
"March 26, 2018",6.417B
"March 23, 2018",6.435B
"March 22, 2018",6.417B
"March 21, 2018",6.450B
"March 20, 2018",6.469B
"March 19, 2018",6.483B
"March 16, 2018",6.561B
"March 15, 2018",6.515B
"March 14, 2018",6.545B
"March 13, 2018",6.573B
"March 12, 2018",6.573B
"March 9, 2018",6.558B
"March 8, 2018",6.537B
"March 7, 2018",6.572B
"March 6, 2018",6.598B
"March 5, 2018",6.591B
"March 2, 2018",6.614B
"March 1, 2018",6.624B
"Feb. 28, 2018",6.648B
"Feb. 27, 2018",6.682B
"Feb. 26, 2018",6.726B
"Feb. 23, 2018",6.777B
"Feb. 22, 2018",6.752B
"Feb. 21, 2018",6.737B
"Feb. 20, 2018",6.743B
"Feb. 16, 2018",6.770B
"Feb. 15, 2018",6.808B
"Feb. 14, 2018",6.806B
"Feb. 13, 2018",6.791B
"Feb. 12, 2018",6.794B
"Feb. 9, 2018",6.719B
"Feb. 8, 2018",6.681B
"Feb. 7, 2018",6.728B
"Feb. 6, 2018",7.271B
"Feb. 5, 2018",7.252B
"Feb. 2, 2018",7.396B
"Feb. 1, 2018",7.496B
"Jan. 31, 2018",7.442B
"Jan. 30, 2018",7.393B
"Jan. 29, 2018",7.451B
"Jan. 26, 2018",7.489B
"Jan. 25, 2018",7.451B
"Jan. 24, 2018",7.505B
"Jan. 23, 2018",7.492B
"Jan. 22, 2018",7.504B
"Jan. 19, 2018",7.428B
"Jan. 18, 2018",7.395B
"Jan. 17, 2018",7.388B
"Jan. 16, 2018",7.463B
"Jan. 12, 2018",7.411B
"Jan. 11, 2018",7.332B
"Jan. 10, 2018",7.292B
"Jan. 9, 2018",7.272B
"Jan. 8, 2018",7.172B
"Jan. 5, 2018",7.104B
"Jan. 4, 2018",7.149B
"Jan. 3, 2018",7.186B
"Jan. 2, 2018",7.139B
"Dec. 31, 2017",7.093B
"Dec. 29, 2017",6.927B
"Dec. 28, 2017",6.916B
"Dec. 27, 2017",6.891B
"Dec. 26, 2017",6.916B
"Dec. 22, 2017",6.933B
"Dec. 21, 2017",6.922B
"Dec. 20, 2017",6.927B
"Dec. 19, 2017",6.919B
"Dec. 18, 2017",6.962B
"Dec. 15, 2017",6.962B
"Dec. 14, 2017",6.999B
"Dec. 13, 2017",6.998B
"Dec. 12, 2017",6.977B
"Dec. 11, 2017",7.001B
"Dec. 8, 2017",7.003B
"Dec. 7, 2017",7.036B
"Dec. 6, 2017",7.021B
"Dec. 5, 2017",6.962B
"Dec. 4, 2017",6.995B
"Dec. 1, 2017",7.032B
"Nov. 30, 2017",7.023B
"Nov. 29, 2017",6.986B
"Nov. 28, 2017",7.010B
"Nov. 27, 2017",7.101B
"Nov. 24, 2017",7.127B
"Nov. 22, 2017",7.111B
"Nov. 21, 2017",7.110B
"Nov. 20, 2017",7.140B
"Nov. 17, 2017",7.133B
"Nov. 16, 2017",7.124B
"Nov. 15, 2017",7.107B
"Nov. 14, 2017",7.118B
"Nov. 13, 2017",7.156B
"Nov. 10, 2017",7.173B
"Nov. 9, 2017",7.167B
"Nov. 8, 2017",7.165B
"Nov. 7, 2017",7.158B
"Nov. 6, 2017",7.112B
"Nov. 3, 2017",7.166B
"Nov. 2, 2017",7.164B
"Nov. 1, 2017",7.228B
"Oct. 31, 2017",7.183B
"Oct. 30, 2017",7.171B
"Oct. 27, 2017",7.178B
"Oct. 26, 2017",7.126B
"Oct. 25, 2017",7.098B
"Oct. 24, 2017",7.121B
"Oct. 23, 2017",7.097B
"Oct. 20, 2017",7.129B
"Oct. 19, 2017",7.166B
"Oct. 18, 2017",7.131B
"Oct. 17, 2017",7.218B
"Oct. 16, 2017",7.245B
"Oct. 13, 2017",7.254B
"Oct. 12, 2017",7.323B
"Oct. 11, 2017",7.264B
"Oct. 10, 2017",7.253B
"Oct. 9, 2017",7.276B
"Oct. 6, 2017",7.258B
"Oct. 5, 2017",7.249B
"Oct. 4, 2017",7.272B
"Oct. 3, 2017",7.272B
"Oct. 2, 2017",7.213B
"Sept. 30, 2017",7.196B
"Sept. 29, 2017",7.363B
"Sept. 28, 2017",7.318B
"Sept. 27, 2017",7.343B
"Sept. 26, 2017",7.352B
"Sept. 25, 2017",7.330B
"Sept. 22, 2017",7.344B
"Sept. 21, 2017",7.331B
"Sept. 20, 2017",7.368B
"Sept. 19, 2017",7.402B
"Sept. 18, 2017",7.405B
"Sept. 15, 2017",7.417B
"Sept. 14, 2017",7.415B
"Sept. 13, 2017",7.430B
"Sept. 12, 2017",7.416B
"Sept. 11, 2017",7.424B
"Sept. 8, 2017",7.439B
"Sept. 7, 2017",7.442B
"Sept. 6, 2017",7.417B
"Sept. 5, 2017",7.385B
"Sept. 1, 2017",7.450B
"Aug. 31, 2017",7.384B
"Aug. 30, 2017",7.396B
"Aug. 29, 2017",7.376B
"Aug. 28, 2017",7.357B
"Aug. 25, 2017",7.375B
"Aug. 24, 2017",7.368B
"Aug. 23, 2017",7.369B
"Aug. 22, 2017",7.331B
"Aug. 21, 2017",7.286B
"Aug. 18, 2017",7.298B
"Aug. 17, 2017",7.303B
"Aug. 16, 2017",7.309B
"Aug. 15, 2017",7.309B
"Aug. 14, 2017",7.377B
"Aug. 11, 2017",7.356B
"Aug. 10, 2017",7.370B
"Aug. 9, 2017",7.428B
"Aug. 8, 2017",7.280B
"Aug. 7, 2017",7.330B
"Aug. 4, 2017",7.377B
"Aug. 3, 2017",7.354B
"Aug. 2, 2017",7.458B
"Aug. 1, 2017",7.477B
"July 31, 2017",7.485B
"July 28, 2017",7.490B
"July 27, 2017",7.439B
"July 26, 2017",7.397B
"July 25, 2017",7.433B
"July 24, 2017",7.392B
"July 21, 2017",7.306B
"July 20, 2017",7.361B
"July 19, 2017",7.367B
"July 18, 2017",7.367B
"July 17, 2017",7.350B
"July 14, 2017",7.340B
"July 13, 2017",7.321B
"July 12, 2017",7.297B
"July 11, 2017",7.289B
"July 10, 2017",7.273B
"July 7, 2017",7.323B
"July 6, 2017",7.278B
"July 5, 2017",7.289B
"July 3, 2017",7.317B
"June 30, 2017",7.315B
"June 29, 2017",7.274B
"June 28, 2017",7.245B
"June 27, 2017",7.228B
"June 26, 2017",7.258B
"June 23, 2017",7.247B
"June 22, 2017",7.221B
"June 21, 2017",7.152B
"June 20, 2017",7.154B
"June 19, 2017",7.201B
"June 16, 2017",7.202B
"June 15, 2017",7.180B
"June 14, 2017",7.190B
"June 13, 2017",7.213B
"June 12, 2017",7.211B
"June 9, 2017",7.212B
"June 8, 2017",7.205B
"June 7, 2017",7.175B
"June 6, 2017",7.212B
"June 5, 2017",7.230B
"June 2, 2017",7.255B
"June 1, 2017",7.233B
"May 31, 2017",7.192B
"May 30, 2017",7.190B
"May 26, 2017",7.245B
"May 25, 2017",7.258B
"May 24, 2017",7.269B
"May 23, 2017",7.254B
"May 22, 2017",7.249B
"May 19, 2017",7.243B
"May 18, 2017",7.221B
"May 17, 2017",7.206B
"May 16, 2017",7.254B
"May 15, 2017",7.272B
"May 12, 2017",7.259B
"May 11, 2017",7.282B
"May 10, 2017",7.272B
"May 9, 2017",7.210B
"May 8, 2017",7.223B
"May 5, 2017",7.210B
"May 4, 2017",7.186B
"May 3, 2017",7.141B
"May 2, 2017",7.183B
"May 1, 2017",7.189B
"April 28, 2017",7.249B
"April 27, 2017",7.259B
"April 26, 2017",7.309B
"April 25, 2017",7.305B
"April 24, 2017",7.227B
"April 21, 2017",7.232B
"April 20, 2017",7.232B
"April 19, 2017",7.210B
"April 18, 2017",7.240B
"April 17, 2017",7.215B
"April 13, 2017",7.195B
"April 12, 2017",7.198B
"April 11, 2017",7.201B
"April 10, 2017",7.203B
"April 7, 2017",7.150B
"April 6, 2017",7.079B
"April 5, 2017",6.599B
"April 4, 2017",6.620B
"April 3, 2017",6.628B
"March 31, 2017",6.630B
"March 30, 2017",7.141B
"March 29, 2017",6.795B
"March 28, 2017",6.775B
"March 27, 2017",6.771B
"March 24, 2017",6.812B
"March 23, 2017",6.808B
"March 22, 2017",6.776B
"March 21, 2017",6.770B
"March 20, 2017",6.796B
"March 17, 2017",6.841B
"March 16, 2017",6.833B
"March 15, 2017",6.825B
"March 14, 2017",6.793B
"March 13, 2017",6.787B
"March 10, 2017",6.767B
"March 9, 2017",6.712B
"March 8, 2017",6.747B
"March 7, 2017",6.818B
"March 6, 2017",6.880B
"March 3, 2017",6.901B
"March 2, 2017",6.911B
"March 1, 2017",6.875B
"Feb. 28, 2017",6.935B
"Feb. 27, 2017",7.024B
"Feb. 24, 2017",7.122B
"Feb. 23, 2017",7.127B
"Feb. 22, 2017",7.148B
"Feb. 21, 2017",7.207B
"Feb. 17, 2017",7.174B
"Feb. 16, 2017",7.210B
"Feb. 15, 2017",7.167B
"Feb. 14, 2017",7.216B
"Feb. 13, 2017",7.166B
"Feb. 10, 2017",7.231B
"Feb. 9, 2017",7.275B
"Feb. 8, 2017",7.315B
"Feb. 7, 2017",7.330B
"Feb. 6, 2017",7.351B
"Feb. 3, 2017",7.313B
"Feb. 2, 2017",7.258B
"Feb. 1, 2017",7.184B
"Jan. 31, 2017",7.190B
"Jan. 30, 2017",7.209B
"Jan. 27, 2017",7.207B
"Jan. 26, 2017",7.196B
"Jan. 25, 2017",7.152B
"Jan. 24, 2017",7.109B
"Jan. 23, 2017",7.052B
"Jan. 20, 2017",7.032B
"Jan. 19, 2017",7.029B
"Jan. 18, 2017",7.030B
"Jan. 17, 2017",7.038B
"Jan. 13, 2017",7.028B
"Jan. 12, 2017",7.050B
"Jan. 11, 2017",7.066B
"Jan. 10, 2017",7.037B
"Jan. 9, 2017",7.098B
"Jan. 6, 2017",7.045B
"Jan. 5, 2017",7.082B
"Jan. 4, 2017",7.106B
"Jan. 3, 2017",7.062B
"Dec. 31, 2016",7.051B
"Dec. 30, 2016",6.968B
"Dec. 29, 2016",6.949B
"Dec. 28, 2016",6.943B
"Dec. 27, 2016",7.000B
"Dec. 23, 2016",6.976B
"Dec. 22, 2016",6.932B
"Dec. 21, 2016",6.647B
"Dec. 20, 2016",6.514B
"Dec. 19, 2016",6.698B
"Dec. 16, 2016",6.735B
"Dec. 15, 2016",6.719B
"Dec. 14, 2016",6.714B
"Dec. 13, 2016",6.768B
"Dec. 12, 2016",6.761B
"Dec. 9, 2016",6.743B
"Dec. 8, 2016",6.721B
"Dec. 7, 2016",6.712B
"Dec. 6, 2016",6.733B
"Dec. 5, 2016",6.786B
"Dec. 2, 2016",6.740B
"Dec. 1, 2016",6.668B
"Nov. 30, 2016",6.701B
"Nov. 29, 2016",6.445B
"Nov. 28, 2016",6.425B
"Nov. 25, 2016",6.481B
"Nov. 23, 2016",6.447B
"Nov. 22, 2016",6.431B
"Nov. 21, 2016",6.587B
"Nov. 18, 2016",6.673B
"Nov. 17, 2016",6.717B
"Nov. 16, 2016",6.754B
"Nov. 15, 2016",6.781B
"Nov. 14, 2016",6.682B
"Nov. 11, 2016",6.742B
"Nov. 10, 2016",6.785B
