date,us_retail_sales
"July 31, 1999",233.93B
"June 30, 1999",231.93B
"May 31, 1999",231.24B
"April 30, 1999",228.98B
"March 31, 1999",227.41B
"Feb. 28, 1999",226.24B
"Jan. 31, 1999",224.02B
"Dec. 31, 1998",223.23B
"Nov. 30, 1998",221.15B
"Oct. 31, 1998",219.46B
"Sept. 30, 1998",215.71B
"Aug. 31, 1998",213.67B
"July 31, 1998",214.85B
"June 30, 1998",216.32B
"May 31, 1998",214.62B
"April 30, 1998",213.62B
"March 31, 1998",210.79B
"Feb. 28, 1998",209.53B
"Jan. 31, 1998",209.68B
"Dec. 31, 1997",209.38B
"Nov. 30, 1997",208.98B
"Oct. 31, 1997",208.06B
"Sept. 30, 1997",208.30B
"Aug. 31, 1997",207.64B
"July 31, 1997",207.05B
"June 30, 1997",204.67B
"May 31, 1997",201.68B
"April 30, 1997",203.37B
"March 31, 1997",204.96B
"Feb. 28, 1997",204.27B
"Jan. 31, 1997",202.41B
"Dec. 31, 1996",201.19B
"Nov. 30, 1996",200.20B
"Oct. 31, 1996",200.49B
"Sept. 30, 1996",198.84B
"Aug. 31, 1996",196.22B
"July 31, 1996",196.23B
"June 30, 1996",196.13B
"May 31, 1996",196.21B
"April 30, 1996",194.71B
"March 31, 1996",193.99B
"Feb. 29, 1996",192.27B
"Jan. 31, 1996",189.17B
"Dec. 31, 1995",190.81B
"Nov. 30, 1995",189.05B
"Oct. 31, 1995",186.55B
"Sept. 30, 1995",187.34B
"Aug. 31, 1995",186.81B
"July 31, 1995",185.47B
"June 30, 1995",186.09B
"May 31, 1995",183.54B
"April 30, 1995",181.70B
"March 31, 1995",181.00B
"Feb. 28, 1995",179.47B
"Jan. 31, 1995",182.42B
"Dec. 31, 1994",181.49B
"Nov. 30, 1994",180.70B
"Oct. 31, 1994",180.57B
"Sept. 30, 1994",178.78B
"Aug. 31, 1994",177.29B
"July 31, 1994",174.80B
"June 30, 1994",174.31B
"May 31, 1994",172.34B
"April 30, 1994",173.10B
"March 31, 1994",172.78B
"Feb. 28, 1994",169.65B
"Jan. 31, 1994",167.50B
"Dec. 31, 1993",168.10B
"Nov. 30, 1993",166.59B
"Oct. 31, 1993",164.71B
"Sept. 30, 1993",163.28B
"Aug. 31, 1993",162.49B
"July 31, 1993",162.83B
"June 30, 1993",160.17B
"May 31, 1993",160.62B
"April 30, 1993",159.00B
"March 31, 1993",154.77B
"Feb. 28, 1993",156.29B
"Jan. 31, 1993",157.52B
"Dec. 31, 1992",155.50B
"Nov. 30, 1992",153.60B
"Oct. 31, 1992",153.58B
"Sept. 30, 1992",152.60B
"Aug. 31, 1992",151.06B
"July 31, 1992",150.81B
"June 30, 1992",149.82B
"May 31, 1992",149.02B
"April 30, 1992",148.08B
"March 31, 1992",146.83B
"Feb. 29, 1992",147.27B
"Jan. 31, 1992",146.91B
