date,us_total_vehicle_sales
"Oct. 31, 1994",15.89M
"Sept. 30, 1994",15.27M
"Aug. 31, 1994",15.36M
"July 31, 1994",14.88M
"June 30, 1994",15.11M
"May 31, 1994",14.58M
"April 30, 1994",16.01M
"March 31, 1994",15.30M
"Feb. 28, 1994",15.52M
"Jan. 31, 1994",15.38M
"Dec. 31, 1993",15.00M
"Nov. 30, 1993",14.88M
"Oct. 31, 1993",14.91M
"Sept. 30, 1993",13.99M
"Aug. 31, 1993",13.58M
"July 31, 1993",14.45M
"June 30, 1993",14.49M
"May 31, 1993",14.52M
"April 30, 1993",14.53M
"March 31, 1993",13.33M
"Feb. 28, 1993",12.97M
"Jan. 31, 1993",13.46M
"Dec. 31, 1992",13.78M
"Nov. 30, 1992",13.22M
"Oct. 31, 1992",13.66M
"Sept. 30, 1992",13.38M
"Aug. 31, 1992",12.87M
"July 31, 1992",12.85M
"June 30, 1992",13.54M
"May 31, 1992",13.10M
"April 30, 1992",12.55M
"March 31, 1992",12.82M
"Feb. 29, 1992",12.93M
"Jan. 31, 1992",12.59M
"Dec. 31, 1991",12.66M
"Nov. 30, 1991",12.58M
"Oct. 31, 1991",12.22M
"Sept. 30, 1991",13.11M
"Aug. 31, 1991",12.56M
"July 31, 1991",12.97M
"June 30, 1991",12.72M
"May 31, 1991",12.49M
"April 30, 1991",12.04M
"March 31, 1991",12.85M
"Feb. 28, 1991",12.41M
"Jan. 31, 1991",11.83M
"Dec. 31, 1990",12.96M
"Nov. 30, 1990",13.13M
"Oct. 31, 1990",13.75M
"Sept. 30, 1990",14.30M
"Aug. 31, 1990",13.86M
"July 31, 1990",14.08M
"June 30, 1990",14.15M
"May 31, 1990",14.02M
"April 30, 1990",14.28M
"March 31, 1990",14.49M
"Feb. 28, 1990",14.36M
"Jan. 31, 1990",16.31M
"Dec. 31, 1989",13.55M
"Nov. 30, 1989",13.37M
"Oct. 31, 1989",13.58M
"Sept. 30, 1989",15.66M
"Aug. 31, 1989",16.55M
"July 31, 1989",14.70M
"June 30, 1989",14.38M
"May 31, 1989",15.27M
"April 30, 1989",16.02M
"March 31, 1989",14.66M
"Feb. 28, 1989",14.99M
"Jan. 31, 1989",15.37M
"Dec. 31, 1988",16.44M
"Nov. 30, 1988",15.39M
"Oct. 31, 1988",15.16M
"Sept. 30, 1988",15.05M
"Aug. 31, 1988",15.38M
"July 31, 1988",15.70M
"June 30, 1988",15.85M
"May 31, 1988",15.94M
"April 30, 1988",15.54M
"March 31, 1988",16.18M
"Feb. 29, 1988",16.51M
"Jan. 31, 1988",16.08M
"Dec. 31, 1987",15.64M
"Nov. 30, 1987",14.54M
"Oct. 31, 1987",14.26M
"Sept. 30, 1987",16.12M
"Aug. 31, 1987",17.09M
"July 31, 1987",15.66M
"June 30, 1987",15.62M
"May 31, 1987",14.57M
"April 30, 1987",15.45M
"March 31, 1987",15.30M
"Feb. 28, 1987",15.11M
"Jan. 31, 1987",12.41M
"Dec. 31, 1986",18.08M
"Nov. 30, 1986",14.82M
"Oct. 31, 1986",14.79M
"Sept. 30, 1986",21.50M
"Aug. 31, 1986",17.28M
"July 31, 1986",15.74M
"June 30, 1986",15.92M
"May 31, 1986",16.30M
"April 30, 1986",15.85M
"March 31, 1986",14.16M
"Feb. 28, 1986",15.37M
"Jan. 31, 1986",16.06M
"Dec. 31, 1985",15.71M
"Nov. 30, 1985",14.62M
"Oct. 31, 1985",14.18M
"Sept. 30, 1985",19.10M
"Aug. 31, 1985",16.91M
"July 31, 1985",15.50M
"June 30, 1985",15.09M
"May 31, 1985",15.56M
"April 30, 1985",15.52M
"March 31, 1985",15.36M
"Feb. 28, 1985",15.72M
"Jan. 31, 1985",15.56M
"Dec. 31, 1984",14.60M
"Nov. 30, 1984",14.77M
"Oct. 31, 1984",14.64M
"Sept. 30, 1984",13.96M
"Aug. 31, 1984",14.28M
"July 31, 1984",14.76M
"June 30, 1984",14.67M
"May 31, 1984",14.86M
"April 30, 1984",14.36M
"March 31, 1984",14.21M
"Feb. 29, 1984",14.38M
"Jan. 31, 1984",14.21M
"Dec. 31, 1983",14.50M
"Nov. 30, 1983",13.12M
"Oct. 31, 1983",13.31M
"Sept. 30, 1983",12.45M
"Aug. 31, 1983",12.25M
"July 31, 1983",12.92M
"June 30, 1983",12.96M
"May 31, 1983",12.03M
"April 30, 1983",11.67M
"March 31, 1983",11.02M
"Feb. 28, 1983",10.61M
"Jan. 31, 1983",10.86M
"Dec. 31, 1982",11.25M
"Nov. 30, 1982",12.03M
"Oct. 31, 1982",10.14M
"Sept. 30, 1982",11.13M
"Aug. 31, 1982",9.947M
"July 31, 1982",9.759M
"June 30, 1982",9.613M
"May 31, 1982",11.10M
"April 30, 1982",9.747M
"March 31, 1982",10.65M
"Feb. 28, 1982",10.92M
"Jan. 31, 1982",10.28M
"Dec. 31, 1981",9.055M
"Nov. 30, 1981",9.494M
"Oct. 31, 1981",9.418M
"Sept. 30, 1981",11.08M
"Aug. 31, 1981",12.68M
"July 31, 1981",10.43M
"June 30, 1981",10.42M
"May 31, 1981",10.35M
"April 30, 1981",10.49M
"March 31, 1981",12.43M
"Feb. 28, 1981",12.35M
"Jan. 31, 1981",11.28M
"Dec. 31, 1980",10.94M
"Nov. 30, 1980",11.26M
"Oct. 31, 1980",11.41M
"Sept. 30, 1980",10.91M
"Aug. 31, 1980",11.15M
"July 31, 1980",11.66M
"June 30, 1980",10.45M
"May 31, 1980",9.54M
"April 30, 1980",10.44M
"March 31, 1980",12.08M
"Feb. 29, 1980",13.28M
"Jan. 31, 1980",14.44M
"Dec. 31, 1979",13.50M
"Nov. 30, 1979",13.02M
"Oct. 31, 1979",13.11M
"Sept. 30, 1979",14.29M
"Aug. 31, 1979",14.34M
"July 31, 1979",14.11M
"June 30, 1979",12.74M
"May 31, 1979",14.37M
"April 30, 1979",14.74M
"March 31, 1979",15.28M
"Feb. 28, 1979",15.32M
"Jan. 31, 1979",15.06M
"Dec. 31, 1978",15.34M
"Nov. 30, 1978",15.48M
"Oct. 31, 1978",15.84M
"Sept. 30, 1978",14.64M
"Aug. 31, 1978",16.04M
"July 31, 1978",15.53M
"June 30, 1978",16.35M
"May 31, 1978",16.30M
"April 30, 1978",16.20M
"March 31, 1978",15.17M
"Feb. 28, 1978",14.36M
"Jan. 31, 1978",13.70M
"Dec. 31, 1977",15.18M
"Nov. 30, 1977",14.80M
"Oct. 31, 1977",14.90M
"Sept. 30, 1977",14.65M
"Aug. 31, 1977",14.86M
"July 31, 1977",14.64M
"June 30, 1977",14.95M
"May 31, 1977",14.98M
"April 30, 1977",15.14M
"March 31, 1977",15.17M
"Feb. 28, 1977",14.71M
"Jan. 31, 1977",14.40M
"Dec. 31, 1976",14.53M
"Nov. 30, 1976",13.33M
"Oct. 31, 1976",12.82M
"Sept. 30, 1976",13.61M
"Aug. 31, 1976",12.95M
"July 31, 1976",13.47M
"June 30, 1976",13.05M
"May 31, 1976",12.96M
"April 30, 1976",13.22M
"March 31, 1976",13.38M
"Feb. 29, 1976",13.34M
"Jan. 31, 1976",12.81M
