date,us_crude_oil_production
"June 30, 2004",162.21M
"May 31, 2004",172.24M
"April 30, 2004",166.81M
"March 31, 2004",174.12M
"Feb. 29, 2004",161.58M
"Jan. 31, 2004",173.13M
"Dec. 31, 2003",172.72M
"Nov. 30, 2003",166.40M
"Oct. 31, 2003",174.02M
"Sept. 30, 2003",168.27M
"Aug. 31, 2003",172.79M
"July 31, 2003",170.45M
"June 30, 2003",169.77M
"May 31, 2003",175.57M
"April 30, 2003",171.77M
"March 31, 2003",179.91M
"Feb. 28, 2003",161.92M
"Jan. 31, 2003",178.41M
"Dec. 31, 2002",177.37M
"Nov. 30, 2002",168.71M
"Oct. 31, 2002",166.10M
"Sept. 30, 2002",162.34M
"Aug. 31, 2002",179.67M
"July 31, 2002",178.28M
"June 30, 2002",176.53M
"May 31, 2002",183.06M
"April 30, 2002",175.33M
"March 31, 2002",182.46M
"Feb. 28, 2002",164.67M
"Jan. 31, 2002",182.08M
"Dec. 31, 2001",182.51M
"Nov. 30, 2001",176.44M
"Oct. 31, 2001",178.13M
"Sept. 30, 2001",171.27M
"Aug. 31, 2001",177.49M
"July 31, 2001",178.21M
"June 30, 2001",172.97M
"May 31, 2001",180.71M
"April 30, 2001",175.88M
"March 31, 2001",182.29M
"Feb. 28, 2001",161.84M
"Jan. 31, 2001",179.77M
"Dec. 31, 2000",181.51M
"Nov. 30, 2000",174.98M
"Oct. 31, 2000",180.08M
"Sept. 30, 2000",172.73M
"Aug. 31, 2000",179.45M
"July 31, 2000",177.92M
"June 30, 2000",174.69M
"May 31, 2000",181.24M
"April 30, 2000",175.62M
"March 31, 2000",183.46M
"Feb. 29, 2000",169.70M
"Jan. 31, 2000",179.32M
"Dec. 31, 1999",184.72M
"Nov. 30, 1999",178.81M
"Oct. 31, 1999",184.36M
"Sept. 30, 1999",174.11M
"Aug. 31, 1999",179.19M
"July 31, 1999",179.74M
"June 30, 1999",172.81M
"May 31, 1999",182.12M
"April 30, 1999",176.62M
"March 31, 1999",182.36M
"Feb. 28, 1999",167.03M
"Jan. 31, 1999",184.86M
"Dec. 31, 1998",187.35M
"Nov. 30, 1998",184.20M
"Oct. 31, 1998",190.42M
"Sept. 30, 1998",173.68M
"Aug. 31, 1998",192.28M
"July 31, 1998",192.03M
"June 30, 1998",188.02M
"May 31, 1998",196.75M
"April 30, 1998",194.48M
"March 31, 1998",198.64M
"Feb. 28, 1998",181.32M
"Jan. 31, 1998",202.76M
"Dec. 31, 1997",202.46M
"Nov. 30, 1997",193.78M
"Oct. 31, 1997",200.48M
"Sept. 30, 1997",194.58M
"Aug. 31, 1997",196.77M
"July 31, 1997",198.69M
"June 30, 1997",193.25M
"May 31, 1997",200.70M
"April 30, 1997",193.24M
