date,us_gdp
"June 30, 1971",1.156T
"March 31, 1971",1.135T
"Dec. 31, 1970",1.089T
"Sept. 30, 1970",1.086T
"June 30, 1970",1.067T
"March 31, 1970",1.051T
"Dec. 31, 1969",1.038T
"Sept. 30, 1969",1.030T
"June 30, 1969",1.009T
"March 31, 1969",993.34B
"Dec. 31, 1968",968.03B
"Sept. 30, 1968",950.82B
"June 30, 1968",934.34B
"March 31, 1968",909.39B
"Dec. 31, 1967",881.44B
"Sept. 30, 1967",865.23B
"June 30, 1967",848.98B
"March 31, 1967",844.17B
"Dec. 31, 1966",833.30B
"Sept. 30, 1966",819.64B
"June 30, 1966",804.98B
"March 31, 1966",795.73B
"Dec. 31, 1965",771.86B
"Sept. 30, 1965",749.32B
"June 30, 1965",730.19B
"March 31, 1965",717.79B
"Dec. 31, 1964",697.32B
"Sept. 30, 1964",692.03B
"June 30, 1964",678.67B
"March 31, 1964",669.82B
"Dec. 31, 1963",653.94B
"Sept. 30, 1963",644.44B
"June 30, 1963",629.75B
"March 31, 1963",621.67B
"Dec. 31, 1962",612.28B
"Sept. 30, 1962",609.03B
"June 30, 1962",600.37B
"March 31, 1962",594.01B
"Dec. 31, 1961",580.61B
"Sept. 30, 1961",567.66B
"June 30, 1961",555.54B
"March 31, 1961",545.02B
"Dec. 31, 1960",540.20B
"Sept. 30, 1960",545.60B
"June 30, 1960",541.08B
"March 31, 1960",542.65B
"Dec. 31, 1959",528.60B
"Sept. 30, 1959",525.03B
"June 30, 1959",522.65B
"March 31, 1959",510.33B
"Dec. 31, 1958",499.56B
"Sept. 30, 1958",485.84B
"June 30, 1958",471.98B
"March 31, 1958",467.54B
"Dec. 31, 1957",474.86B
"Sept. 30, 1957",479.49B
"June 30, 1957",472.02B
"March 31, 1957",469.78B
"Dec. 31, 1956",460.46B
"Sept. 30, 1956",451.19B
"June 30, 1956",446.01B
"March 31, 1956",439.75B
"Dec. 31, 1955",437.09B
"Sept. 30, 1955",430.22B
"June 30, 1955",421.53B
"March 31, 1955",413.07B
"Dec. 31, 1954",399.73B
"Sept. 30, 1954",391.00B
"June 30, 1954",386.12B
"March 31, 1954",385.34B
"Dec. 31, 1953",385.97B
"Sept. 30, 1953",391.17B
"June 30, 1953",391.75B
"March 31, 1953",387.98B
"Dec. 31, 1952",380.81B
"Sept. 30, 1952",367.70B
"June 30, 1952",361.03B
"March 31, 1952",359.82B
"Dec. 31, 1951",356.18B
"Sept. 30, 1951",351.38B
"June 30, 1951",344.09B
"March 31, 1951",336.00B
"Dec. 31, 1950",319.94B
"Sept. 30, 1950",308.15B
"June 30, 1950",290.38B
"March 31, 1950",280.83B
"Dec. 31, 1949",270.63B
"Sept. 30, 1949",272.89B
"June 30, 1949",271.35B
"March 31, 1949",275.03B
"Dec. 31, 1948",280.37B
"Sept. 30, 1948",279.20B
"June 30, 1948",272.57B
"March 31, 1948",265.74B
"Dec. 31, 1947",259.74B
"Sept. 30, 1947",249.58B
"June 30, 1947",245.97B
"March 31, 1947",243.16B
