date,us_total_population
"April 30, 1985",237.90M
"March 31, 1985",237.73M
"Feb. 28, 1985",237.60M
"Jan. 31, 1985",237.47M
"Dec. 31, 1984",237.32M
"Nov. 30, 1984",237.16M
"Oct. 31, 1984",236.98M
"Sept. 30, 1984",236.76M
"Aug. 31, 1984",236.55M
"July 31, 1984",236.35M
"June 30, 1984",236.16M
"May 31, 1984",235.99M
"April 30, 1984",235.84M
"March 31, 1984",235.68M
"Feb. 29, 1984",235.53M
"Jan. 31, 1984",235.38M
"Dec. 31, 1983",235.24M
"Nov. 30, 1983",235.08M
"Oct. 31, 1983",234.91M
"Sept. 30, 1983",234.70M
"Aug. 31, 1983",234.50M
"July 31, 1983",234.31M
"June 30, 1983",234.12M
"May 31, 1983",233.92M
"April 30, 1983",233.78M
"March 31, 1983",233.61M
"Feb. 28, 1983",233.47M
"Jan. 31, 1983",233.32M
"Dec. 31, 1982",233.16M
"Nov. 30, 1982",232.99M
"Oct. 31, 1982",232.82M
"Sept. 30, 1982",232.60M
"Aug. 31, 1982",232.39M
"July 31, 1982",232.19M
"June 30, 1982",231.99M
"May 31, 1982",231.81M
"April 30, 1982",231.64M
"March 31, 1982",231.47M
"Feb. 28, 1982",231.31M
"Jan. 31, 1982",231.16M
"Dec. 31, 1981",230.99M
"Nov. 30, 1981",230.82M
"Oct. 31, 1981",230.64M
"Sept. 30, 1981",230.41M
"Aug. 31, 1981",230.19M
"July 31, 1981",229.97M
"June 30, 1981",229.76M
"May 31, 1981",229.58M
"April 30, 1981",229.40M
"March 31, 1981",229.22M
"Feb. 28, 1981",229.07M
"Jan. 31, 1981",228.94M
"Dec. 31, 1980",228.78M
"Nov. 30, 1980",228.61M
"Oct. 31, 1980",228.42M
"Sept. 30, 1980",228.19M
"Aug. 31, 1980",227.95M
"July 31, 1980",227.73M
"June 30, 1980",227.52M
"May 31, 1980",227.25M
"April 30, 1980",227.06M
"March 31, 1980",226.85M
"Feb. 29, 1980",226.66M
"Jan. 31, 1980",226.45M
"Dec. 31, 1979",226.24M
"Nov. 30, 1979",226.03M
"Oct. 31, 1979",225.80M
"Sept. 30, 1979",225.55M
"Aug. 31, 1979",225.30M
"July 31, 1979",225.06M
"June 30, 1979",224.84M
"May 31, 1979",224.63M
"April 30, 1979",224.44M
"March 31, 1979",224.24M
"Feb. 28, 1979",224.05M
"Jan. 31, 1979",223.86M
"Dec. 31, 1978",223.67M
"Nov. 30, 1978",223.48M
"Oct. 31, 1978",223.27M
"Sept. 30, 1978",223.05M
"Aug. 31, 1978",222.80M
"July 31, 1978",222.58M
"June 30, 1978",222.38M
"May 31, 1978",222.18M
"April 30, 1978",221.99M
"March 31, 1978",221.79M
"Feb. 28, 1978",221.63M
"Jan. 31, 1978",221.48M
"Dec. 31, 1977",221.30M
"Nov. 30, 1977",221.11M
"Oct. 31, 1977",220.90M
"Sept. 30, 1977",220.69M
"Aug. 31, 1977",220.46M
"July 31, 1977",220.24M
"June 30, 1977",220.05M
"May 31, 1977",219.86M
"April 30, 1977",219.68M
"March 31, 1977",219.50M
"Feb. 28, 1977",219.34M
"Jan. 31, 1977",219.18M
"Dec. 31, 1976",219.01M
"Nov. 30, 1976",218.83M
"Oct. 31, 1976",218.64M
"Sept. 30, 1976",218.44M
"Aug. 31, 1976",218.23M
"July 31, 1976",218.04M
"June 30, 1976",217.86M
"May 31, 1976",217.68M
"April 30, 1976",217.53M
"March 31, 1976",217.38M
"Feb. 29, 1976",217.25M
"Jan. 31, 1976",217.10M
"Dec. 31, 1975",216.93M
"Nov. 30, 1975",216.77M
"Oct. 31, 1975",216.59M
"Sept. 30, 1975",216.39M
"Aug. 31, 1975",216.20M
"July 31, 1975",215.97M
"June 30, 1975",215.77M
"May 31, 1975",215.52M
"April 30, 1975",215.35M
"March 31, 1975",215.20M
"Feb. 28, 1975",215.06M
"Jan. 31, 1975",214.93M
"Dec. 31, 1974",214.78M
"Nov. 30, 1974",214.62M
"Oct. 31, 1974",214.45M
"Sept. 30, 1974",214.25M
"Aug. 31, 1974",214.04M
"July 31, 1974",213.85M
"June 30, 1974",213.69M
"May 31, 1974",213.51M
"April 30, 1974",213.36M
"March 31, 1974",213.21M
"Feb. 28, 1974",213.07M
"Jan. 31, 1974",212.93M
"Dec. 31, 1973",212.78M
"Nov. 30, 1973",212.63M
"Oct. 31, 1973",212.48M
"Sept. 30, 1973",212.29M
"Aug. 31, 1973",212.09M
"July 31, 1973",211.91M
"June 30, 1973",211.75M
"May 31, 1973",211.58M
"April 30, 1973",211.42M
"March 31, 1973",211.25M
"Feb. 28, 1973",211.12M
"Jan. 31, 1973",210.98M
"Dec. 31, 1972",210.82M
"Nov. 30, 1972",210.66M
"Oct. 31, 1972",210.48M
"Sept. 30, 1972",210.28M
"Aug. 31, 1972",210.08M
"July 31, 1972",209.90M
"June 30, 1972",209.72M
"May 31, 1972",209.54M
"April 30, 1972",209.39M
"March 31, 1972",209.21M
"Feb. 29, 1972",209.06M
"Jan. 31, 1972",208.92M
"Dec. 31, 1971",208.74M
"Nov. 30, 1971",208.56M
"Oct. 31, 1971",208.34M
"Sept. 30, 1971",208.11M
"Aug. 31, 1971",207.88M
"July 31, 1971",207.66M
"June 30, 1971",207.46M
"May 31, 1971",207.26M
"April 30, 1971",207.06M
"March 31, 1971",206.86M
"Feb. 28, 1971",206.67M
"Jan. 31, 1971",206.47M
"Dec. 31, 1970",206.24M
"Nov. 30, 1970",206.02M
"Oct. 31, 1970",205.79M
"Sept. 30, 1970",205.54M
"Aug. 31, 1970",205.30M
"July 31, 1970",205.05M
"June 30, 1970",204.83M
"May 31, 1970",204.61M
"April 30, 1970",204.40M
"March 31, 1970",204.16M
"Feb. 28, 1970",204.01M
"Jan. 31, 1970",203.85M
"Dec. 31, 1969",203.68M
"Nov. 30, 1969",203.50M
"Oct. 31, 1969",203.30M
"Sept. 30, 1969",203.09M
"Aug. 31, 1969",202.88M
"July 31, 1969",202.68M
"June 30, 1969",202.51M
"May 31, 1969",202.33M
"April 30, 1969",202.16M
"March 31, 1969",202.02M
"Feb. 28, 1969",201.88M
"Jan. 31, 1969",201.76M
"Dec. 31, 1968",201.62M
"Nov. 30, 1968",201.47M
"Oct. 31, 1968",201.29M
"Sept. 30, 1968",201.10M
"Aug. 31, 1968",200.90M
"July 31, 1968",200.71M
"June 30, 1968",200.54M
"May 31, 1968",200.36M
"April 30, 1968",200.21M
"March 31, 1968",200.06M
"Feb. 29, 1968",199.92M
"Jan. 31, 1968",199.81M
"Dec. 31, 1967",199.66M
"Nov. 30, 1967",199.50M
"Oct. 31, 1967",199.31M
"Sept. 30, 1967",199.11M
"Aug. 31, 1967",198.91M
"July 31, 1967",198.71M
"June 30, 1967",198.54M
"May 31, 1967",198.36M
"April 30, 1967",198.21M
"March 31, 1967",198.04M
"Feb. 28, 1967",197.89M
"Jan. 31, 1967",197.74M
"Dec. 31, 1966",197.57M
"Nov. 30, 1966",197.40M
"Oct. 31, 1966",197.21M
"Sept. 30, 1966",196.98M
"Aug. 31, 1966",196.76M
"July 31, 1966",196.56M
"June 30, 1966",196.37M
"May 31, 1966",196.18M
"April 30, 1966",196.00M
"March 31, 1966",195.83M
"Feb. 28, 1966",195.69M
"Jan. 31, 1966",195.54M
"Dec. 31, 1965",195.37M
"Nov. 30, 1965",195.20M
"Oct. 31, 1965",195.00M
"Sept. 30, 1965",194.76M
"Aug. 31, 1965",194.53M
"July 31, 1965",194.30M
"June 30, 1965",194.09M
"May 31, 1965",193.89M
"April 30, 1965",193.71M
"March 31, 1965",193.54M
"Feb. 28, 1965",193.39M
"Jan. 31, 1965",193.22M
"Dec. 31, 1964",193.04M
"Nov. 30, 1964",192.85M
"Oct. 31, 1964",192.63M
"Sept. 30, 1964",192.38M
"Aug. 31, 1964",192.13M
"July 31, 1964",191.89M
"June 30, 1964",191.67M
"May 31, 1964",191.45M
"April 30, 1964",191.24M
"March 31, 1964",191.05M
"Feb. 29, 1964",190.86M
"Jan. 31, 1964",190.67M
"Dec. 31, 1963",190.47M
"Nov. 30, 1963",190.26M
"Oct. 31, 1963",190.03M
"Sept. 30, 1963",189.76M
"Aug. 31, 1963",189.50M
"July 31, 1963",189.24M
"June 30, 1963",189.02M
"May 31, 1963",188.79M
"April 30, 1963",188.58M
"March 31, 1963",188.39M
"Feb. 28, 1963",188.21M
"Jan. 31, 1963",188.01M
"Dec. 31, 1962",187.80M
"Nov. 30, 1962",187.57M
"Oct. 31, 1962",187.32M
"Sept. 30, 1962",187.06M
"Aug. 31, 1962",186.79M
"July 31, 1962",186.54M
"June 30, 1962",186.31M
"May 31, 1962",186.09M
"April 30, 1962",185.87M
"March 31, 1962",185.65M
"Feb. 28, 1962",185.45M
"Jan. 31, 1962",185.24M
"Dec. 31, 1961",185.02M
"Nov. 30, 1961",184.78M
"Oct. 31, 1961",184.52M
"Sept. 30, 1961",184.24M
"Aug. 31, 1961",183.96M
"July 31, 1961",183.69M
"June 30, 1961",183.45M
"May 31, 1961",183.22M
"April 30, 1961",182.99M
"March 31, 1961",182.74M
"Feb. 28, 1961",182.52M
"Jan. 31, 1961",182.29M
"Dec. 31, 1960",182.04M
"Nov. 30, 1960",181.80M
"Oct. 31, 1960",181.53M
"Sept. 30, 1960",181.24M
"Aug. 31, 1960",180.94M
"July 31, 1960",180.67M
"June 30, 1960",180.44M
"May 31, 1960",180.22M
"April 30, 1960",180.01M
"March 31, 1960",179.79M
"Feb. 29, 1960",179.60M
"Jan. 31, 1960",179.39M
"Dec. 31, 1959",179.15M
"Nov. 30, 1959",178.92M
"Oct. 31, 1959",178.66M
"Sept. 30, 1959",178.38M
"Aug. 31, 1959",178.10M
"July 31, 1959",177.83M
"June 30, 1959",177.59M
"May 31, 1959",177.36M
"April 30, 1959",177.15M
"March 31, 1959",176.90M
"Feb. 28, 1959",176.68M
"Jan. 31, 1959",176.45M
"Dec. 31, 1958",176.21M
"Nov. 30, 1958",175.97M
"Oct. 31, 1958",175.70M
"Sept. 30, 1958",175.41M
"Aug. 31, 1958",175.14M
"July 31, 1958",174.88M
"June 30, 1958",174.64M
"May 31, 1958",174.40M
"April 30, 1958",174.18M
"March 31, 1958",173.94M
"Feb. 28, 1958",173.75M
"Jan. 31, 1958",173.53M
"Dec. 31, 1957",173.30M
"Nov. 30, 1957",173.07M
"Oct. 31, 1957",172.82M
"Sept. 30, 1957",172.54M
"Aug. 31, 1957",172.26M
"July 31, 1957",171.98M
"June 30, 1957",171.74M
"May 31, 1957",171.50M
"April 30, 1957",171.27M
"March 31, 1957",171.03M
"Feb. 28, 1957",170.81M
"Jan. 31, 1957",170.57M
"Dec. 31, 1956",170.32M
"Nov. 30, 1956",170.06M
"Oct. 31, 1956",169.78M
"Sept. 30, 1956",169.49M
"Aug. 31, 1956",169.19M
"July 31, 1956",168.90M
"June 30, 1956",168.66M
"May 31, 1956",168.44M
"April 30, 1956",168.22M
"March 31, 1956",167.98M
"Feb. 29, 1956",167.75M
"Jan. 31, 1956",167.51M
"Dec. 31, 1955",167.27M
"Nov. 30, 1955",167.02M
"Oct. 31, 1955",166.76M
"Sept. 30, 1955",166.47M
"Aug. 31, 1955",166.19M
"July 31, 1955",165.93M
"June 30, 1955",165.70M
"May 31, 1955",165.46M
"April 30, 1955",165.25M
"March 31, 1955",165.02M
