date,year_high
"Jan. 22, 2019",144.15
"Jan. 18, 2019",144.15
"Jan. 17, 2019",144.15
"Jan. 16, 2019",144.15
"Jan. 15, 2019",144.15
"Jan. 14, 2019",144.15
"Jan. 11, 2019",144.15
"Jan. 10, 2019",144.15
"Jan. 9, 2019",144.15
"Jan. 8, 2019",144.15
"Jan. 7, 2019",144.15
"Jan. 4, 2019",144.15
"Jan. 3, 2019",144.15
"Jan. 2, 2019",144.15
"Dec. 31, 2018",144.15
"Dec. 28, 2018",144.15
"Dec. 27, 2018",144.15
"Dec. 26, 2018",144.15
"Dec. 24, 2018",144.15
"Dec. 21, 2018",144.15
"Dec. 20, 2018",144.15
"Dec. 19, 2018",144.15
"Dec. 18, 2018",144.15
"Dec. 17, 2018",144.15
"Dec. 14, 2018",144.15
"Dec. 13, 2018",144.15
"Dec. 12, 2018",144.15
"Dec. 11, 2018",144.15
"Dec. 10, 2018",144.15
"Dec. 7, 2018",144.15
"Dec. 6, 2018",144.15
"Dec. 4, 2018",144.15
"Dec. 3, 2018",144.15
"Nov. 30, 2018",144.15
"Nov. 29, 2018",144.15
"Nov. 28, 2018",144.15
"Nov. 27, 2018",144.15
"Nov. 26, 2018",144.15
"Nov. 23, 2018",144.15
"Nov. 21, 2018",144.15
"Nov. 20, 2018",144.15
"Nov. 19, 2018",144.15
"Nov. 16, 2018",144.15
"Nov. 15, 2018",144.15
"Nov. 14, 2018",144.15
"Nov. 13, 2018",144.15
"Nov. 12, 2018",144.15
"Nov. 9, 2018",144.15
"Nov. 8, 2018",144.15
"Nov. 7, 2018",144.15
"Nov. 6, 2018",144.15
"Nov. 5, 2018",144.15
"Nov. 2, 2018",144.15
"Nov. 1, 2018",144.15
"Oct. 31, 2018",144.15
"Oct. 30, 2018",144.15
"Oct. 29, 2018",144.15
"Oct. 26, 2018",144.15
"Oct. 25, 2018",144.15
"Oct. 24, 2018",144.15
"Oct. 23, 2018",144.15
"Oct. 22, 2018",144.15
"Oct. 19, 2018",144.15
"Oct. 18, 2018",144.15
"Oct. 17, 2018",144.15
"Oct. 16, 2018",144.15
"Oct. 15, 2018",144.15
"Oct. 12, 2018",144.15
"Oct. 11, 2018",144.15
"Oct. 10, 2018",144.15
"Oct. 9, 2018",144.15
"Oct. 8, 2018",144.15
"Oct. 5, 2018",144.15
"Oct. 4, 2018",144.15
"Oct. 3, 2018",144.15
"Oct. 2, 2018",144.15
"Oct. 1, 2018",144.15
"Sept. 28, 2018",144.15
"Sept. 27, 2018",144.15
"Sept. 26, 2018",144.15
"Sept. 25, 2018",144.15
"Sept. 24, 2018",144.15
"Sept. 21, 2018",144.15
"Sept. 20, 2018",142.61
"Sept. 19, 2018",140.87
"Sept. 18, 2018",140.33
"Sept. 17, 2018",139.24
"Sept. 14, 2018",139.24
"Sept. 13, 2018",139.24
"Sept. 12, 2018",139.24
"Sept. 11, 2018",139.24
"Sept. 10, 2018",139.24
"Sept. 7, 2018",139.24
"Sept. 6, 2018",139.24
"Sept. 5, 2018",139.24
"Sept. 4, 2018",139.24
"Aug. 31, 2018",139.24
"Aug. 30, 2018",139.24
"Aug. 29, 2018",139.24
"Aug. 28, 2018",139.24
"Aug. 27, 2018",139.24
"Aug. 24, 2018",139.24
"Aug. 23, 2018",139.24
"Aug. 22, 2018",139.24
"Aug. 21, 2018",139.24
"Aug. 20, 2018",139.24
"Aug. 17, 2018",139.24
"Aug. 16, 2018",139.24
"Aug. 15, 2018",139.24
"Aug. 14, 2018",139.24
"Aug. 13, 2018",139.24
"Aug. 10, 2018",139.24
"Aug. 9, 2018",139.24
"Aug. 8, 2018",139.24
"Aug. 7, 2018",139.24
"Aug. 6, 2018",139.24
"Aug. 3, 2018",139.24
"Aug. 2, 2018",139.24
"Aug. 1, 2018",139.24
"July 31, 2018",139.24
"July 30, 2018",139.24
"July 27, 2018",139.24
"July 26, 2018",139.24
"July 25, 2018",139.24
"July 24, 2018",139.24
"July 23, 2018",139.24
"July 20, 2018",139.24
"July 19, 2018",139.24
"July 18, 2018",139.24
"July 17, 2018",139.24
"July 16, 2018",139.24
"July 13, 2018",139.24
"July 12, 2018",139.24
"July 11, 2018",139.24
"July 10, 2018",139.24
"July 9, 2018",139.24
"July 6, 2018",139.24
"July 5, 2018",139.24
"July 3, 2018",139.24
"July 2, 2018",139.24
"June 29, 2018",139.24
"June 28, 2018",139.24
"June 27, 2018",139.24
"June 26, 2018",139.24
"June 25, 2018",139.24
"June 22, 2018",139.24
