date,market_cap
"June 14, 2018",543.12M
"June 13, 2018",565.38M
"June 12, 2018",565.38M
"June 11, 2018",563.90M
"June 8, 2018",560.93M
"June 7, 2018",547.57M
"June 6, 2018",543.12M
"June 5, 2018",549.06M
"June 4, 2018",557.96M
"June 1, 2018",552.03M
"May 31, 2018",550.54M
"May 30, 2018",550.54M
"May 29, 2018",552.03M
"May 25, 2018",534.22M
"May 24, 2018",544.61M
"May 23, 2018",540.15M
"May 22, 2018",547.57M
"May 21, 2018",540.15M
"May 18, 2018",534.22M
"May 17, 2018",550.54M
"May 16, 2018",590.61M
"May 15, 2018",587.64M
"May 14, 2018",602.48M
"May 11, 2018",602.48M
"May 10, 2018",605.45M
"May 9, 2018",601.00M
"May 8, 2018",601.00M
"May 7, 2018",614.35M
"May 4, 2018",612.87M
"May 3, 2018",606.93M
"May 2, 2018",608.42M
"May 1, 2018",612.87M
"April 30, 2018",618.80M
"April 27, 2018",614.35M
"April 26, 2018",602.48M
"April 25, 2018",599.51M
"April 24, 2018",599.51M
"April 23, 2018",611.38M
"April 20, 2018",627.71M
"April 19, 2018",645.51M
"April 18, 2018",649.97M
"April 17, 2018",663.32M
"April 16, 2018",664.81M
"April 13, 2018",655.90M
"April 12, 2018",652.93M
"April 11, 2018",657.39M
"April 10, 2018",658.87M
"April 9, 2018",654.42M
"April 6, 2018",666.29M
"April 5, 2018",672.23M
"April 4, 2018",666.29M
"April 3, 2018",660.35M
"April 2, 2018",641.06M
"March 29, 2018",652.72M
"March 28, 2018",648.27M
"March 27, 2018",645.31M
"March 26, 2018",645.31M
"March 23, 2018",655.69M
"March 22, 2018",666.08M
"March 21, 2018",680.91M
"March 20, 2018",686.84M
"March 19, 2018",679.43M
"March 16, 2018",689.81M
"March 15, 2018",691.29M
"March 14, 2018",691.29M
"March 13, 2018",703.16M
"March 12, 2018",710.58M
"March 9, 2018",706.13M
"March 8, 2018",713.55M
"March 7, 2018",710.58M
"March 6, 2018",709.10M
"March 5, 2018",712.06M
"March 2, 2018",707.61M
"March 1, 2018",712.06M
"Feb. 28, 2018",715.03M
"Feb. 27, 2018",718.34M
"Feb. 26, 2018",721.28M
"Feb. 23, 2018",713.94M
"Feb. 22, 2018",719.81M
"Feb. 21, 2018",733.03M
"Feb. 20, 2018",728.63M
"Feb. 16, 2018",735.97M
"Feb. 15, 2018",727.16M
"Feb. 14, 2018",724.22M
"Feb. 13, 2018",741.85M
"Feb. 12, 2018",716.87M
"Feb. 9, 2018",663.99M
"Feb. 8, 2018",672.80M
"Feb. 7, 2018",593.48M
"Feb. 6, 2018",600.82M
"Feb. 5, 2018",581.73M
"Feb. 2, 2018",596.42M
"Feb. 1, 2018",609.64M
"Jan. 31, 2018",625.80M
"Jan. 30, 2018",625.80M
"Jan. 29, 2018",633.14M
"Jan. 26, 2018",637.55M
"Jan. 25, 2018",637.55M
"Jan. 24, 2018",630.20M
"Jan. 23, 2018",628.73M
"Jan. 22, 2018",636.08M
"Jan. 19, 2018",621.39M
"Jan. 18, 2018",609.64M
"Jan. 17, 2018",611.11M
"Jan. 16, 2018",605.23M
"Jan. 12, 2018",605.23M
"Jan. 11, 2018",605.23M
"Jan. 10, 2018",590.54M
"Jan. 9, 2018",602.29M
"Jan. 8, 2018",615.51M
"Jan. 5, 2018",625.80M
"Jan. 4, 2018",640.49M
"Jan. 3, 2018",643.42M
"Jan. 2, 2018",646.36M
"Dec. 29, 2017",630.00M
"Dec. 28, 2017",632.93M
"Dec. 27, 2017",634.40M
"Dec. 26, 2017",638.81M
"Dec. 22, 2017",634.40M
"Dec. 21, 2017",643.21M
"Dec. 20, 2017",637.34M
"Dec. 19, 2017",643.21M
"Dec. 18, 2017",659.37M
"Dec. 15, 2017",628.53M
"Dec. 14, 2017",605.03M
"Dec. 13, 2017",612.37M
"Dec. 12, 2017",613.84M
"Dec. 11, 2017",610.91M
"Dec. 8, 2017",625.59M
"Dec. 7, 2017",613.84M
"Dec. 6, 2017",605.03M
"Dec. 5, 2017",606.50M
"Dec. 4, 2017",625.59M
"Dec. 1, 2017",640.28M
"Nov. 30, 2017",634.40M
"Nov. 29, 2017",615.31M
"Nov. 28, 2017",613.84M
"Nov. 27, 2017",609.44M
"Nov. 24, 2017",640.28M
"Nov. 22, 2017",652.03M
"Nov. 21, 2017",650.56M
"Nov. 20, 2017",657.90M
"Nov. 17, 2017",665.24M
"Nov. 16, 2017",662.30M
"Nov. 15, 2017",660.84M
"Nov. 14, 2017",652.03M
"Nov. 13, 2017",671.12M
"Nov. 10, 2017",687.27M
"Nov. 9, 2017",735.73M
"Nov. 8, 2017",809.16M
"Nov. 7, 2017",807.69M
"Nov. 6, 2017",816.50M
"Nov. 3, 2017",816.50M
"Nov. 2, 2017",819.44M
"Nov. 1, 2017",819.44M
"Oct. 31, 2017",816.50M
"Oct. 30, 2017",825.31M
"Oct. 27, 2017",819.44M
"Oct. 26, 2017",816.50M
"Oct. 25, 2017",820.91M
"Oct. 24, 2017",842.93M
"Oct. 23, 2017",853.21M
"Oct. 20, 2017",863.49M
"Oct. 19, 2017",862.02M
"Oct. 18, 2017",863.49M
"Oct. 17, 2017",850.28M
"Oct. 16, 2017",851.74M
"Oct. 13, 2017",859.09M
"Oct. 12, 2017",863.49M
"Oct. 11, 2017",859.09M
"Oct. 10, 2017",850.28M
"Oct. 9, 2017",809.16M
"Oct. 6, 2017",835.59M
"Oct. 5, 2017",838.53M
"Oct. 4, 2017",841.46M
"Oct. 3, 2017",853.21M
"Oct. 2, 2017",847.34M
"Sept. 29, 2017",852.87M
"Sept. 28, 2017",851.40M
"Sept. 27, 2017",827.91M
"Sept. 26, 2017",846.99M
"Sept. 25, 2017",829.38M
"Sept. 22, 2017",813.23M
"Sept. 21, 2017",817.64M
"Sept. 20, 2017",817.64M
"Sept. 19, 2017",822.04M
